Datetime,Open,High,Low,Close,Volume
2022-01-19 04:00:00-05:00,18.29,18.46,18.21,18.39,0
2022-01-19 04:05:00-05:00,18.39,18.4,18.33,18.34,0
2022-01-19 04:10:00-05:00,18.34,18.51,18.34,18.51,0
2022-01-19 04:15:00-05:00,18.51,18.54,18.47,18.52,0
2022-01-19 04:20:00-05:00,18.53,18.54,18.5,18.54,0
2022-01-19 04:25:00-05:00,18.54,18.55,18.32,18.35,0
2022-01-19 04:30:00-05:00,18.34,18.51,18.31,18.51,0
2022-01-19 04:35:00-05:00,18.5,18.5,18.4,18.45,0
2022-01-19 04:40:00-05:00,18.45,18.56,18.44,18.56,0
2022-01-19 04:45:00-05:00,18.56,18.58,18.53,18.55,0
2022-01-19 04:50:00-05:00,18.53,18.56,18.52,18.56,0
2022-01-19 04:55:00-05:00,18.55,18.6,18.55,18.57,0
2022-01-19 05:00:00-05:00,18.57,18.78,18.57,18.61,0
2022-01-19 05:05:00-05:00,18.63,18.74,18.63,18.72,0
2022-01-19 05:10:00-05:00,18.72,18.72,18.6,18.61,0
2022-01-19 05:15:00-05:00,18.61,18.66,18.61,18.66,0
2022-01-19 05:20:00-05:00,18.66,18.66,18.63,18.63,0
2022-01-19 05:25:00-05:00,18.63,18.65,18.57,18.61,0
2022-01-19 05:30:00-05:00,18.58,18.6,18.55,18.56,0
2022-01-19 05:35:00-05:00,18.57,18.57,18.54,18.56,0
2022-01-19 05:40:00-05:00,18.56,18.63,18.55,18.63,0
2022-01-19 05:45:00-05:00,18.63,18.65,18.59,18.65,0
2022-01-19 05:50:00-05:00,18.64,18.64,18.57,18.57,0
2022-01-19 05:55:00-05:00,18.57,18.57,18.54,18.54,0
2022-01-19 06:00:00-05:00,18.54,18.65,18.53,18.65,0
2022-01-19 06:05:00-05:00,18.65,18.65,18.63,18.65,0
2022-01-19 06:10:00-05:00,18.65,18.66,18.63,18.65,0
2022-01-19 06:15:00-05:00,18.65,18.65,18.5,18.58,0
2022-01-19 06:20:00-05:00,18.53,18.62,18.53,18.61,0
2022-01-19 06:25:00-05:00,18.63,18.64,18.61,18.64,0
2022-01-19 06:30:00-05:00,18.62,18.64,18.57,18.61,0
2022-01-19 06:35:00-05:00,18.61,18.72,18.61,18.72,0
2022-01-19 06:40:00-05:00,18.72,18.76,18.67,18.72,0
2022-01-19 06:45:00-05:00,18.7,18.7,18.66,18.68,0
2022-01-19 06:50:00-05:00,18.67,18.7,18.65,18.67,0
2022-01-19 06:55:00-05:00,18.65,18.66,18.6,18.65,0
2022-01-19 07:00:00-05:00,18.64,18.73,18.54,18.7,0
2022-01-19 07:05:00-05:00,18.72,18.84,18.7,18.82,0
2022-01-19 07:10:00-05:00,18.84,18.86,18.78,18.78,0
2022-01-19 07:15:00-05:00,18.8,18.83,18.73,18.73,0
2022-01-19 07:20:00-05:00,18.74,18.75,18.63,18.75,0
2022-01-19 07:25:00-05:00,18.75,18.78,18.69,18.71,0
2022-01-19 07:30:00-05:00,18.72,18.78,18.71,18.72,0
2022-01-19 07:35:00-05:00,18.72,18.72,18.6,18.63,0
2022-01-19 07:40:00-05:00,18.62,18.63,18.53,18.59,0
2022-01-19 07:45:00-05:00,18.57,18.63,18.45,18.45,0
2022-01-19 07:50:00-05:00,18.49,18.63,18.46,18.63,0
2022-01-19 07:55:00-05:00,18.62,18.69,18.61,18.63,0
2022-01-19 08:00:00-05:00,18.59,18.85,18.47,18.7,0
2022-01-19 08:05:00-05:00,18.7,18.75,18.68,18.72,0
2022-01-19 08:10:00-05:00,18.71,18.74,18.63,18.63,0
2022-01-19 08:15:00-05:00,18.65,18.73,18.64,18.7,0
2022-01-19 08:20:00-05:00,18.7,18.7,18.63,18.69,0
2022-01-19 08:25:00-05:00,18.68,18.7,18.66,18.68,0
2022-01-19 08:30:00-05:00,18.6899,18.79,18.65,18.78,0
2022-01-19 08:35:00-05:00,18.78,18.79,18.71,18.73,0
2022-01-19 08:40:00-05:00,18.75,19.01,18.73,18.84,0
2022-01-19 08:45:00-05:00,18.84,19.0,18.81,18.92,0
2022-01-19 08:50:00-05:00,18.94,18.94,18.85,18.85,0
2022-01-19 08:55:00-05:00,18.85,18.92,18.85,18.9001,0
2022-01-19 09:00:00-05:00,18.9,19.0,18.75,18.8,0
2022-01-19 09:05:00-05:00,18.79,18.86,18.68,18.79,0
2022-01-19 09:10:00-05:00,18.76,18.91,18.76,18.9,0
2022-01-19 09:30:00-05:00,18.530000686645508,19.18000030517578,18.520000457763672,19.129899978637695,2404975
2022-01-19 09:35:00-05:00,19.100099563598633,19.420000076293945,18.90999984741211,19.18000030517578,1556509
2022-01-19 09:40:00-05:00,19.170000076293945,19.209999084472656,18.86079978942871,18.950000762939453,884703
2022-01-19 09:45:00-05:00,18.969999313354492,19.149900436401367,18.780099868774414,18.80500030517578,712734
2022-01-19 09:50:00-05:00,18.80500030517578,18.920000076293945,18.709999084472656,18.8799991607666,692718
2022-01-19 09:55:00-05:00,18.871400833129883,19.1299991607666,18.8700008392334,18.9950008392334,845306
2022-01-19 10:00:00-05:00,18.9950008392334,19.269899368286133,18.84000015258789,19.204999923706055,799878
2022-01-19 10:05:00-05:00,19.209999084472656,19.25,18.940000534057617,18.949899673461914,601403
2022-01-19 10:10:00-05:00,18.950000762939453,19.04990005493164,18.84000015258789,18.960100173950195,732989
2022-01-19 10:15:00-05:00,18.96500015258789,19.06999969482422,18.709999084472656,18.77989959716797,592910
2022-01-19 10:20:00-05:00,18.770099639892578,18.79010009765625,18.65999984741211,18.665000915527344,565810
2022-01-19 10:25:00-05:00,18.670000076293945,18.670000076293945,18.540000915527344,18.549999237060547,581965
2022-01-19 10:30:00-05:00,18.569900512695312,18.6200008392334,18.413400650024414,18.413400650024414,573501
2022-01-19 10:35:00-05:00,18.411800384521484,18.434999465942383,18.219999313354492,18.225000381469727,863324
2022-01-19 10:40:00-05:00,18.225000381469727,18.329999923706055,18.160999298095703,18.295000076293945,890100
2022-01-19 10:45:00-05:00,18.290000915527344,18.34000015258789,18.149999618530273,18.150100708007812,611057
2022-01-19 10:50:00-05:00,18.155000686645508,18.34779930114746,18.155000686645508,18.225000381469727,606648
2022-01-19 10:55:00-05:00,18.219999313354492,18.360000610351562,18.209999084472656,18.334999084472656,414662
2022-01-19 11:00:00-05:00,18.329999923706055,18.450000762939453,18.30500030517578,18.360000610351562,463696
2022-01-19 11:05:00-05:00,18.360000610351562,18.389999389648438,18.229999542236328,18.370100021362305,389249
2022-01-19 11:10:00-05:00,18.3700008392334,18.3700008392334,18.190000534057617,18.190000534057617,442364
2022-01-19 11:15:00-05:00,18.200000762939453,18.260000228881836,18.100000381469727,18.141000747680664,542281
