Open,High,Low,Close,Volume
43.56,43.76,43.5,43.5,0
43.55,43.55,43.55,43.55,0
43.6,43.7,43.6,43.7,0
43.7,43.7,43.7,43.7,0
43.73,43.73,43.73,43.73,0
43.72,43.73,43.72,43.73,0
43.73,43.73,43.72,43.72,0
43.72,43.72,43.72,43.72,0
43.68,43.68,43.68,43.68,0
43.6,43.6,43.51,43.51,0
43.51,43.51,43.51,43.51,0
43.5,43.5,43.5,43.5,0
43.4,43.4,43.4,43.4,0
43.5,43.5,43.5,43.5,0
43.51,43.51,43.51,43.51,0
43.41,43.41,43.4,43.4,0
43.4,43.4,43.4,43.4,0
43.41,43.41,43.4,43.41,0
43.41,43.41,43.41,43.41,0
43.47,43.47,43.47,43.47,0
43.45,43.5,43.45,43.5,0
43.46,43.56,43.46,43.56,0
43.56,43.56,43.56,43.56,0
43.56,43.56,43.56,43.56,0
43.56,43.6,43.56,43.6,0
43.6,43.6,43.6,43.6,0
43.69,43.69,43.69,43.69,0
43.69,43.69,43.69,43.69,0
43.69,43.72,43.69,43.7,0
43.68,43.68,43.68,43.68,0
43.68,43.68,43.68,43.68,0
43.7,43.71,43.7,43.71,0
43.72,43.72,43.7,43.7,0
43.6,43.6,43.6,43.6,0
43.62,43.62,43.62,43.62,0
43.67,43.67,43.67,43.67,0
43.69,43.76,43.69,43.76,0
43.77,43.77,43.77,43.77,0
43.77,43.77,43.77,43.77,0
43.8,43.8,43.74,43.74,0
43.74,43.74,43.74,43.74,0
43.77,43.79,43.71,43.71,0
43.77,43.85,43.7,43.83,0
43.85,43.85,43.8,43.8,0
43.83,43.83,43.8,43.8,0
43.88,43.92,43.87,43.9,0
43.91,43.91,43.91,43.91,0
43.9,43.9,43.9,43.9,0
43.95,44.06,43.95,44.03,0
44.05,44.05,44.01,44.01,0
44.0,44.25,44.0,44.25,0
44.25,44.25,44.18,44.19,0
44.24,44.24,44.18,44.18,0
44.19,44.19,44.18,44.18,0
44.2,44.2,44.18,44.18,0
44.13,44.13,44.1,44.1,0
44.1,44.1,44.1,44.1,0
44.1,44.1,44.1,44.1,0
44.06,44.06,44.05,44.05,0
44.08,44.13,44.08,44.1,0
44.1,44.1,44.07,44.1,0
44.11,44.12,44.1,44.11,0
44.19,44.25,44.19,44.25,0
44.08,44.08,44.06,44.06,0
44.06,44.06,44.05,44.05,0
44.08,44.08,44.03,44.06,0
44.04,44.1,44.03,44.06,0
44.11,44.11,44.1,44.1,0
44.09,44.09,44.08,44.08,0
44.06,44.06,44.01,44.03,0
44.0,44.0,43.93,43.94,0
43.98,44.02,43.98,44.01,0
44.09,44.09,44.09,44.09,0
44.08,44.09,44.08,44.09,0
44.04,44.06,44.04,44.06,0
44.04,44.04,44.04,44.04,0
44.05,44.05,44.05,44.05,0
44.0,44.0,43.95,43.95,0
44.2497,44.29,43.65,44.0001,0
44.0,44.0,44.0,44.0,0
43.96,44.05,43.96,44.05,0
44.05,44.05,44.01,44.01,0
44.04,44.06,44.0,44.01,0
44.0,44.06,44.0,44.0,0
44.0,44.0,44.0,44.0,0
44.05,44.1,44.05,44.1,0
44.19,44.19,44.0,44.0,0
44.09,44.09,44.0,44.0,0
44.0,44.04,43.94,43.94,0
43.94,43.94,43.9,43.94,0
43.99,44.0,43.99,44.0,0
43.9,43.9,43.9,43.9,0
43.9,43.9,43.9,43.9,0
43.96,43.96,43.96,43.96,0
43.89,43.89,43.89,43.89,0
43.91,43.91,43.9,43.9,0
43.95,43.95,43.95,43.95,0
44.0,44.0,44.0,44.0,0
44.0,44.0,44.0,44.0,0
43.8904,43.8904,43.89,43.89,0
43.9,43.9,43.9,43.9,0
43.89,43.99,43.89,43.9899,0
43.89,43.9,43.75,43.75,0
43.7,43.7,43.7,43.7,0
43.7,43.8,43.7,43.7,0
43.61,43.695,43.49,43.5,0
43.44,43.49,43.3,43.32,0
43.32,43.49,43.3,43.49,0
43.69,43.69,43.3,43.3,0
43.35,43.45,43.35,43.45,0
43.49,43.58,43.47,43.47,0
43.57,43.6,43.57,43.6,0
43.68,43.7,43.6,43.67,0
43.58,43.7,43.58,43.61,0
43.62,43.62,43.5,43.51,0
43.59,43.59,43.59,43.59,0
43.56,43.56,43.56,43.56,0
43.59,43.6,43.5,43.5,0
43.5,43.5,43.3,43.39,0
43.39,43.42,43.3,43.3,0
43.31,43.4,43.3,43.3,0
43.32,43.32,43.32,43.32,0
43.32,43.5,43.3,43.5,0
43.53,43.53,43.53,43.53,0
43.5,43.69,43.5,43.65,0
43.5,43.7,43.5,43.7,0
43.58,43.7,43.58,43.6,0
43.62,43.69,43.6,43.6,0
43.58,43.6,43.58,43.6,0
43.6,43.62,43.5,43.5,0
43.55,43.55,43.49,43.5,0
43.52,43.55,43.37,43.37,0
43.37,43.44,43.25,43.3,0
43.3,43.3,43.21,43.26,0
43.22,43.22,43.07,43.18,0
43.08,43.12,43.05,43.08,0
43.08,43.22,43.05,43.2,0
43.08,43.2,43.08,43.2,0
43.2,43.2,43.14,43.14,0
43.12,43.2,43.12,43.12,0
43.15,43.15,43.12,43.14,0
43.12,43.17,43.11,43.11,0
43.12,43.2,43.11,43.15,0
43.16,43.16,43.15,43.15,0
43.19,43.36,43.19,43.26,0
42.86000061035156,43.2400016784668,42.79999923706055,43.060001373291016,668578
43.06999969482422,43.560001373291016,43.029998779296875,43.470001220703125,122578
43.47999954223633,43.679901123046875,43.349998474121094,43.669898986816406,95673
43.65999984741211,43.939998626708984,43.630001068115234,43.939998626708984,112227
43.93000030517578,44.20000076293945,43.88999938964844,44.18000030517578,255380
44.18000030517578,44.18000030517578,44.029998779296875,44.15999984741211,126242
44.15999984741211,44.439998626708984,44.15999984741211,44.41999816894531,126747
44.40999984741211,44.619998931884766,44.400001525878906,44.61000061035156,184205
44.61000061035156,44.68000030517578,44.55009841918945,44.56999969482422,147919
44.58000183105469,44.720001220703125,44.56999969482422,44.63710021972656,118841
44.63999938964844,44.779998779296875,44.58000183105469,44.720001220703125,95783
44.709999084472656,44.709999084472656,44.59709930419922,44.62009811401367,60290
44.63999938964844,44.72999954223633,44.59000015258789,44.650001525878906,76267
44.63999938964844,44.70000076293945,44.60100173950195,44.63999938964844,108637
44.63999938964844,44.85499954223633,44.63999938964844,44.85499954223633,208715
44.85499954223633,44.959999084472656,44.83000183105469,44.93000030517578,94598
44.81999969482422,44.83000183105469,44.69499969482422,44.77000045776367,151667
44.7599983215332,44.790000915527344,44.61000061035156,44.630001068115234,69477
44.619998931884766,44.619998931884766,44.45500183105469,44.470001220703125,69822
44.459999084472656,44.560001373291016,44.43000030517578,44.5099983215332,102035
44.5099983215332,44.88999938964844,44.49879837036133,44.8650016784668,183425
44.869998931884766,44.97999954223633,44.849998474121094,44.8849983215332,97717
44.880001068115234,44.97999954223633,44.86000061035156,44.95000076293945,59712
44.95000076293945,44.97999954223633,44.810001373291016,44.83000183105469,84332
44.84000015258789,44.875,44.79999923706055,44.82500076293945,57520
44.810001373291016,44.84000015258789,44.72999954223633,44.79999923706055,88179
44.790000915527344,44.86000061035156,44.7327995300293,44.7599983215332,66819
44.77000045776367,44.84920120239258,44.73500061035156,44.790000915527344,83776
44.79999923706055,44.845001220703125,44.73500061035156,44.78499984741211,56177
44.790000915527344,44.810001373291016,44.71500015258789,44.75,53085
44.7599983215332,44.83000183105469,44.71500015258789,44.81520080566406,67889
44.81999969482422,44.900001525878906,44.78010177612305,44.869998931884766,92875
44.8650016784668,44.93000030517578,44.849998474121094,44.849998474121094,49628
44.84000015258789,44.880001068115234,44.83000183105469,44.86000061035156,62578
44.875,44.95000076293945,44.86000061035156,44.939998626708984,74767
44.93000030517578,45.16999816894531,44.900001525878906,45.16999816894531,713584
45.16999816894531,45.189998626708984,45.084999084472656,45.13999938964844,184956
45.130001068115234,45.13999938964844,44.959999084472656,45.005001068115234,122497
45.0099983215332,45.150001525878906,44.970001220703125,45.130001068115234,129239
45.130001068115234,45.25,45.130001068115234,45.20000076293945,145481
45.20500183105469,45.22999954223633,45.09000015258789,45.14500045776367,196098
45.13999938964844,45.16999816894531,45.11249923706055,45.119998931884766,81020
45.112998962402344,45.12699890136719,45.040000915527344,45.10499954223633,59974
45.11000061035156,45.119998931884766,44.9900016784668,45.005001068115234,73583
45.0099983215332,45.01499938964844,44.84000015258789,44.849998474121094,110175
44.845001220703125,44.845001220703125,44.640201568603516,44.689998626708984,112279
44.68000030517578,44.69499969482422,44.560001373291016,44.584999084472656,85243
44.58000183105469,44.599998474121094,44.5,44.51110076904297,75356
44.529998779296875,44.6150016784668,44.45500183105469,44.61000061035156,69814
44.61000061035156,44.61970138549805,44.45500183105469,44.47999954223633,65584
44.474998474121094,44.47999954223633,44.369998931884766,44.369998931884766,46085
44.375,44.459999084472656,44.375,44.415000915527344,59147
44.40999984741211,44.47719955444336,44.4010009765625,44.435001373291016,30226
44.43000030517578,44.4900016784668,44.415000915527344,44.470001220703125,53401
44.47999954223633,44.5,44.33000183105469,44.35499954223633,119410
44.35499954223633,44.38999938964844,44.20000076293945,44.38999938964844,96103
44.38999938964844,44.45000076293945,44.36000061035156,44.435001373291016,62291
44.43000030517578,44.45000076293945,44.36000061035156,44.38999938964844,65210
44.39500045776367,44.470001220703125,44.349998474121094,44.404998779296875,49989
44.404998779296875,44.43000030517578,44.2400016784668,44.2599983215332,117490
44.26499938964844,44.40999984741211,44.26499938964844,44.400001525878906,100929
44.400001525878906,44.459999084472656,44.375,44.45500183105469,147152
44.45500183105469,44.540000915527344,44.44499969482422,44.52000045776367,79289
44.52000045776367,44.58000183105469,44.51499938964844,44.529998779296875,62493
44.52000045776367,44.59000015258789,44.505001068115234,44.5099983215332,125211
44.5,44.599998474121094,44.474998474121094,44.599998474121094,39410
44.61000061035156,44.689998626708984,44.56999969482422,44.6599006652832,75709
44.654998779296875,44.69499969482422,44.619998931884766,44.69499969482422,51861
44.70000076293945,44.869998931884766,44.689998626708984,44.850101470947266,94943
44.86000061035156,44.9900016784668,44.85499954223633,44.970001220703125,162208
44.96500015258789,45.02000045776367,44.935001373291016,45.005001068115234,163120
45.003501892089844,45.029998779296875,44.96500015258789,44.97999954223633,57285
44.970001220703125,45.08000183105469,44.959999084472656,45.0099983215332,104390
45.01250076293945,45.01250076293945,44.935001373291016,44.96580123901367,73673
44.959999084472656,44.97999954223633,44.875,44.97999954223633,53157
44.974998474121094,44.9900016784668,44.95500183105469,44.962501525878906,121104
45.04999923706055,45.04999923706055,45.0,45.0,31322
45.0099983215332,45.01499938964844,44.88999938964844,44.93389892578125,33206
44.93000030517578,45.040000915527344,44.912899017333984,45.029998779296875,41451
45.029998779296875,45.095001220703125,45.025001525878906,45.04990005493164,141780
45.040000915527344,45.04999923706055,44.810001373291016,44.81999969482422,127935
44.834999084472656,44.848201751708984,44.720001220703125,44.720001220703125,51529
44.72999954223633,44.739898681640625,44.650001525878906,44.65999984741211,57636
44.68000030517578,44.709999084472656,44.61000061035156,44.68000030517578,54870
44.689998626708984,44.70000076293945,44.56999969482422,44.625,59572
44.619998931884766,44.68000030517578,44.52000045776367,44.68000030517578,53140
44.720001220703125,44.779998779296875,44.630001068115234,44.685001373291016,35324
44.71500015258789,44.77410125732422,44.70500183105469,44.7599983215332,38659
44.7599983215332,44.810001373291016,44.7400016784668,44.79499816894531,38580
44.790000915527344,44.86000061035156,44.78499984741211,44.85580062866211,87722
44.849998474121094,44.88999938964844,44.810001373291016,44.869998931884766,73083
44.86000061035156,44.954498291015625,44.86000061035156,44.94499969482422,63620
44.95500183105469,45.0,44.935001373291016,44.9900016784668,57588
44.9900016784668,45.02000045776367,44.96500015258789,45.005001068115234,77897
44.99440002441406,45.0,44.95000076293945,45.0,75891
44.9900016784668,45.029998779296875,44.93000030517578,45.029998779296875,110196
45.029998779296875,45.11000061035156,45.025001525878906,45.09000015258789,53045
45.09989929199219,45.1150016784668,45.04999923706055,45.09000015258789,39035
45.11000061035156,45.150001525878906,45.09000015258789,45.125,52194
45.12289810180664,45.209999084472656,45.119998931884766,45.125,151385
45.119998931884766,45.18000030517578,45.1150016784668,45.150001525878906,276596
45.130001068115234,45.1593017578125,45.08000183105469,45.09000015258789,35807
45.10499954223633,45.125,45.04499816894531,45.119998931884766,48557
45.11989974975586,45.21500015258789,45.1150016784668,45.20000076293945,61724
45.20000076293945,45.27000045776367,45.154998779296875,45.15999984741211,71747
45.15999984741211,45.17499923706055,45.04999923706055,45.15999984741211,46071
45.16999816894531,45.2599983215332,45.154998779296875,45.25019836425781,60624
45.25080108642578,45.31999969482422,45.22999954223633,45.26499938964844,71842
45.26890182495117,45.279998779296875,45.185001373291016,45.189998626708984,55531
45.180198669433594,45.22999954223633,45.165000915527344,45.20500183105469,38980
45.220699310302734,45.279998779296875,45.185001373291016,45.209999084472656,40434
45.239898681640625,45.25,45.150001525878906,45.20000076293945,59073
45.19499969482422,45.20000076293945,45.1349983215332,45.165000915527344,55624
45.16999816894531,45.2599983215332,45.15999984741211,45.25749969482422,43184
45.27000045776367,45.40999984741211,45.27000045776367,45.40999984741211,91833
45.404998779296875,45.46799850463867,45.349998474121094,45.439998626708984,99855
45.45000076293945,45.560001373291016,45.439998626708984,45.474998474121094,297142
45.48500061035156,45.5,45.39500045776367,45.470001220703125,84788
45.47999954223633,45.540000915527344,45.45000076293945,45.53499984741211,147083
45.525001525878906,45.55500030517578,45.47999954223633,45.53499984741211,193996
45.529998779296875,45.529998779296875,45.36000061035156,45.380001068115234,93190
