Open,High,Low,Close,Volume
7.75,8.0,4.5,4.625,278500
5.5,5.5,4.75,5.125,176700
5.75,6.75,5.75,6.75,145600
6.75,8.0,6.5,7.75,125500
7.75,8.0,7.25,8.0,35900
7.25,8.75,7.25,8.75,208500
8.25,9.5,8.25,8.75,213400
9.5,9.5,8.75,8.9375,124600
9.5,9.5,8.75,9.0,44900
8.875,9.0,8.25,8.25,59100
9.0,10.0,7.25,9.75,181000
9.25,10.0,8.25,8.5,88100
9.0,9.0,8.25,9.0,31600
9.0,9.0,7.5,7.5,31200
8.25,8.25,7.5,7.625,67600
8.0,9.0,8.0,8.0,99400
8.5,8.5,7.75,8.5,60400
8.5,8.5,8.0,8.5,146300
8.5,8.5,8.25,8.5,96100
8.5,8.75,8.25,8.5,195800
8.75,9.0,8.375,9.0,91600
9.375,9.375,8.5,9.0,217100
9.0,9.0,8.5,9.0,120400
9.0,9.0,8.5,9.0,60400
9.0,9.0,8.5,9.0,67600
9.0,9.5,8.5,9.5,122800
9.5,9.5,8.75,9.5,102000
9.5,9.5,9.0,9.5,29000
9.5,9.5,9.0,9.5,26000
9.0,9.5,8.25,8.25,49800
8.75,8.75,8.0,8.75,13900
8.75,8.75,8.0,8.0,34100
8.25,8.75,8.0,8.0,7900
8.0,8.5,7.25,7.75,34200
7.75,7.75,7.75,7.75,1100
8.0,8.0,8.0,8.0,3700
8.0,8.0,7.25,8.0,6500
7.5,8.0,7.5,7.5,6500
8.0,8.0,7.25,8.0,7400
7.25,8.25,7.25,8.25,23900
8.25,8.25,7.5,8.125,39500
8.0,8.25,8.0,8.25,147200
8.25,8.25,7.5,7.6875,32400
8.0,8.0,7.5,8.0,5200
8.0,8.0,7.5,7.5,23200
7.75,7.75,7.25,7.375,17600
7.75,7.75,7.25,7.75,2000
7.75,8.0,7.5,8.0,29400
8.0,8.0,7.75,8.0,2900
8.0,8.0,7.25,7.25,1600
7.5,8.0,7.25,7.25,18500
8.0,8.0,7.25,7.3125,16300
7.5,7.75,7.0,7.75,36800
7.75,7.75,7.0,7.0,25000
7.75,7.75,7.125,7.75,5400
7.0,7.75,7.0,7.25,6700
7.0,7.75,7.0,7.75,26800
7.25,7.75,7.125,7.5,38300
7.75,7.75,7.25,7.25,31500
7.75,7.75,7.25,7.25,10500
7.625,7.75,7.25,7.25,27600
7.5,7.75,7.25,7.75,12300
7.75,7.75,7.25,7.25,2900
7.75,7.75,7.25,7.25,16900
7.75,7.75,7.25,7.75,13500
7.75,7.75,7.25,7.75,18400
7.75,7.75,7.25,7.25,27800
7.25,7.75,7.25,7.5,12900
7.5,7.5,7.25,7.25,11000
7.5,7.5,7.25,7.25,17800
7.25,7.5,7.25,7.5,15400
7.25,7.5,7.25,7.25,21600
7.25,7.5,7.25,7.25,28400
7.375,7.5,7.0,7.5,13000
7.5,7.5,7.0,7.0,16200
7.0,7.5,7.0,7.5,12500
7.25,7.5,7.0,7.375,63700
7.5,7.5,7.25,7.5,90700
7.5,7.5,7.25,7.25,63700
7.5,7.5,7.25,7.375,23300
7.5,7.5,7.25,7.5,19400
7.25,7.5,7.25,7.375,76100
7.5,7.5,7.25,7.375,70900
7.25,7.5,7.25,7.5,44300
7.25,7.5,7.25,7.25,33500
7.25,7.5,7.25,7.5,35600
7.25,7.5,7.25,7.5,15000
7.5,7.5,6.75,6.75,18100
6.75,7.25,6.5,7.0,29200
6.5,7.0,6.5,7.0,18900
7.0,7.0,6.5,7.0,21200
6.5,6.75,6.25,6.5,43100
6.25,6.75,6.25,6.25,23700
6.25,6.625,6.25,6.25,58800
6.5,6.5,6.0,6.5,50300
6.5,6.75,6.375,6.75,21700
7.125,9.0,7.0,8.5,339200
8.75,8.75,7.75,8.25,113500
8.25,8.25,7.6875,8.0,29500
8.25,8.25,7.5,8.25,4800
7.5,8.125,7.5,7.625,64200
8.125,8.125,7.625,8.0,8800
7.75,8.125,7.5,7.5,25400
7.5,8.125,7.5,7.75,37200
