Datetime,Open,High,Low,Close,Volume
2022-01-21 04:00:00-05:00,52.11,52.27,52.0,52.18,0
2022-01-21 04:05:00-05:00,52.04,52.13,52.04,52.11,0
2022-01-21 04:10:00-05:00,52.14,52.15,52.05,52.08,0
2022-01-21 04:15:00-05:00,52.13,52.18,52.06,52.1,0
2022-01-21 04:20:00-05:00,52.09,52.15,52.09,52.14,0
2022-01-21 04:25:00-05:00,52.13,52.19,52.13,52.15,0
2022-01-21 04:30:00-05:00,52.12,52.19,52.12,52.12,0
2022-01-21 04:35:00-05:00,52.15,52.15,52.1,52.1,0
2022-01-21 04:40:00-05:00,52.16,52.2,52.12,52.12,0
2022-01-21 04:45:00-05:00,52.16,52.19,52.13,52.13,0
2022-01-21 04:50:00-05:00,52.17,52.31,52.17,52.22,0
2022-01-21 04:55:00-05:00,52.3,52.4,52.3,52.35,0
2022-01-21 05:00:00-05:00,52.35,52.35,52.27,52.35,0
2022-01-21 05:05:00-05:00,52.39,52.39,52.32,52.37,0
2022-01-21 05:10:00-05:00,52.31,52.4,52.31,52.39,0
2022-01-21 05:15:00-05:00,52.39,52.39,52.35,52.36,0
2022-01-21 05:20:00-05:00,52.35,52.4,52.31,52.34,0
2022-01-21 05:25:00-05:00,52.31,52.35,52.25,52.29,0
2022-01-21 05:30:00-05:00,52.32,52.34,52.22,52.26,0
2022-01-21 05:35:00-05:00,52.33,52.34,52.25,52.29,0
2022-01-21 05:40:00-05:00,52.28,52.31,52.28,52.31,0
2022-01-21 05:45:00-05:00,52.34,52.36,52.23,52.25,0
2022-01-21 05:50:00-05:00,52.33,52.35,52.24,52.24,0
2022-01-21 05:55:00-05:00,52.25,52.34,52.19,52.33,0
2022-01-21 06:00:00-05:00,52.32,52.33,52.24,52.24,0
2022-01-21 06:05:00-05:00,52.24,52.24,52.04,52.08,0
2022-01-21 06:10:00-05:00,52.08,52.15,52.04,52.05,0
2022-01-21 06:15:00-05:00,52.05,52.16,51.9,51.9,0
2022-01-21 06:20:00-05:00,51.93,51.93,51.84,51.84,0
2022-01-21 06:25:00-05:00,51.84,51.9,51.84,51.87,0
2022-01-21 06:30:00-05:00,51.86,51.86,51.86,51.86,0
2022-01-21 06:35:00-05:00,51.86,51.99,51.83,51.99,0
2022-01-21 06:40:00-05:00,52.0,52.0,51.95,51.97,0
2022-01-21 06:45:00-05:00,51.94,51.94,51.82,51.83,0
2022-01-21 06:50:00-05:00,51.83,51.89,51.83,51.89,0
2022-01-21 06:55:00-05:00,51.93,52.04,51.9,52.02,0
2022-01-21 07:00:00-05:00,51.96,52.11,51.94,52.0,0
2022-01-21 07:05:00-05:00,51.97,52.0,51.88,51.89,0
2022-01-21 07:10:00-05:00,51.9,51.97,51.89,51.95,0
2022-01-21 07:15:00-05:00,51.94,51.99,51.93,51.99,0
2022-01-21 07:20:00-05:00,52.0,52.09,52.0,52.01,0
2022-01-21 07:25:00-05:00,52.01,52.02,51.94,51.98,0
2022-01-21 07:30:00-05:00,52.0,52.0,51.97,51.98,0
2022-01-21 07:35:00-05:00,51.98,52.02,51.98,52.01,0
2022-01-21 07:40:00-05:00,52.02,52.06,52.01,52.05,0
2022-01-21 07:45:00-05:00,52.05,52.13,52.01,52.02,0
2022-01-21 07:50:00-05:00,52.02,52.05,51.98,51.98,0
2022-01-21 07:55:00-05:00,51.98,52.03,51.94,52.02,0
2022-01-21 08:00:00-05:00,51.95,52.13,51.89,51.95,0
2022-01-21 08:05:00-05:00,51.99,52.1,51.99,52.02,0
2022-01-21 08:10:00-05:00,52.02,52.02,51.88,51.92,0
2022-01-21 08:15:00-05:00,51.94,52.01,51.85,51.97,0
2022-01-21 08:20:00-05:00,51.97,51.99,51.91,51.92,0
2022-01-21 08:25:00-05:00,51.92,51.97,51.92,51.95,0
2022-01-21 08:30:00-05:00,51.93,51.94,51.88,51.91,0
2022-01-21 08:35:00-05:00,51.91,51.97,51.91,51.96,0
2022-01-21 08:40:00-05:00,51.96,51.97,51.77,51.8,0
2022-01-21 08:45:00-05:00,51.8,51.87,51.76,51.87,0
2022-01-21 08:50:00-05:00,51.87,51.93,51.84,51.9,0
2022-01-21 08:55:00-05:00,51.89,51.91,51.86,51.86,0
2022-01-21 09:00:00-05:00,51.91,51.91,51.86,51.88,0
2022-01-21 09:05:00-05:00,51.89,51.895,51.75,51.8,0
2022-01-21 09:10:00-05:00,51.81,51.9,51.77,51.86,0
2022-01-21 09:15:00-05:00,51.86,51.89,51.85,51.88,0
2022-01-21 09:20:00-05:00,51.88,51.95,51.84,51.95,0
2022-01-21 09:25:00-05:00,51.95,52.47,51.94,52.16,0
2022-01-21 09:30:00-05:00,52.08000183105469,52.595001220703125,52.0,52.560001373291016,3189821
2022-01-21 09:35:00-05:00,52.5,52.70000076293945,52.41999816894531,52.625,764562
2022-01-21 09:40:00-05:00,52.630001068115234,52.65909957885742,52.209999084472656,52.224998474121094,608492
2022-01-21 09:45:00-05:00,52.25,52.57500076293945,52.25,52.492401123046875,738148
2022-01-21 09:50:00-05:00,52.64500045776367,52.649898529052734,52.400001525878906,52.48500061035156,515353
2022-01-21 09:55:00-05:00,52.459999084472656,52.525001525878906,52.310001373291016,52.494998931884766,437351
2022-01-21 10:00:00-05:00,52.48320007324219,52.58000183105469,52.2400016784668,52.260101318359375,535722
2022-01-21 10:05:00-05:00,52.27000045776367,52.5099983215332,52.27000045776367,52.34000015258789,357366
2022-01-21 10:10:00-05:00,52.33000183105469,52.349998474121094,52.150001525878906,52.22999954223633,472936
2022-01-21 10:15:00-05:00,52.22999954223633,52.33000183105469,52.172000885009766,52.189998626708984,392166
2022-01-21 10:20:00-05:00,52.19070053100586,52.42499923706055,52.11000061035156,52.36000061035156,516070
2022-01-21 10:25:00-05:00,52.349998474121094,52.65999984741211,52.32500076293945,52.5,631193
2022-01-21 10:30:00-05:00,52.51499938964844,52.90999984741211,52.440101623535156,52.81909942626953,618109
2022-01-21 10:35:00-05:00,52.810001373291016,53.0,52.66999816894531,52.67499923706055,525526
2022-01-21 10:40:00-05:00,52.679901123046875,52.79999923706055,52.630699157714844,52.71500015258789,524037
2022-01-21 10:45:00-05:00,52.720001220703125,52.900001525878906,52.60499954223633,52.880001068115234,388788
2022-01-21 10:50:00-05:00,52.869998931884766,53.08000183105469,52.84000015258789,53.01499938964844,848701
2022-01-21 10:55:00-05:00,53.0,53.04999923706055,52.81999969482422,52.869998931884766,708553
2022-01-21 11:00:00-05:00,52.869998931884766,52.880001068115234,52.69499969482422,52.81999969482422,354567
2022-01-21 11:05:00-05:00,52.83000183105469,53.11000061035156,52.77000045776367,53.04930114746094,419657
2022-01-21 11:10:00-05:00,53.040000915527344,53.04499816894531,52.79999923706055,52.810001373291016,336147
2022-01-21 11:15:00-05:00,52.8291015625,52.88999938964844,52.744998931884766,52.810001373291016,383441
2022-01-21 11:20:00-05:00,52.810001373291016,53.09000015258789,52.80699920654297,53.064998626708984,445907
2022-01-21 11:25:00-05:00,53.060001373291016,53.09000015258789,52.91999816894531,53.02000045776367,423516
2022-01-21 11:30:00-05:00,53.025001525878906,53.119998931884766,52.90999984741211,53.099998474121094,508225
2022-01-21 11:35:00-05:00,53.10499954223633,53.12990188598633,52.73899841308594,52.768798828125,508690
2022-01-21 11:40:00-05:00,52.77000045776367,52.869998931884766,52.72999954223633,52.849998474121094,336801
2022-01-21 11:45:00-05:00,52.849998474121094,52.92300033569336,52.68000030517578,52.7599983215332,442781
2022-01-21 11:50:00-05:00,52.7599983215332,52.810001373291016,52.580101013183594,52.63010025024414,300819
2022-01-21 11:55:00-05:00,52.630001068115234,52.724998474121094,52.599998474121094,52.67179870605469,949400
2022-01-21 12:00:00-05:00,52.67499923706055,52.720001220703125,52.52000045776367,52.6150016784668,394838
2022-01-21 12:05:00-05:00,52.61000061035156,52.709999084472656,52.56999969482422,52.56999969482422,319160
2022-01-21 12:10:00-05:00,52.564998626708984,52.59000015258789,52.470001220703125,52.52000045776367,462745
2022-01-21 12:15:00-05:00,52.5099983215332,52.595001220703125,52.415000915527344,52.470001220703125,444859
2022-01-21 12:20:00-05:00,52.459999084472656,52.54140090942383,52.40999984741211,52.529998779296875,275652
2022-01-21 12:25:00-05:00,52.52000045776367,52.584999084472656,52.45500183105469,52.560298919677734,258819
2022-01-21 12:30:00-05:00,52.560001373291016,52.57500076293945,52.47999954223633,52.525001525878906,293264
2022-01-21 12:35:00-05:00,52.529998779296875,52.599998474121094,52.369998931884766,52.46689987182617,285534
2022-01-21 12:40:00-05:00,52.46500015258789,52.560001373291016,52.45500183105469,52.49140167236328,282604
2022-01-21 12:45:00-05:00,52.494998931884766,52.60499954223633,52.36000061035156,52.384700775146484,306319
2022-01-21 12:50:00-05:00,52.3849983215332,52.5099983215332,52.36399841308594,52.470001220703125,300972
2022-01-21 12:55:00-05:00,52.470001220703125,52.55649948120117,52.41999816894531,52.55649948120117,276977
2022-01-21 13:00:00-05:00,52.54999923706055,52.6150016784668,52.41999816894531,52.45000076293945,770700
2022-01-21 13:05:00-05:00,52.43000030517578,52.5,52.42499923706055,52.45000076293945,701607
2022-01-21 13:10:00-05:00,52.459999084472656,52.650001525878906,52.45500183105469,52.63999938964844,376951
2022-01-21 13:15:00-05:00,52.630001068115234,52.650001525878906,52.5,52.540000915527344,246624
2022-01-21 13:20:00-05:00,52.540000915527344,52.549800872802734,52.380001068115234,52.45000076293945,364748
2022-01-21 13:25:00-05:00,52.44499969482422,52.540000915527344,52.419898986816406,52.51499938964844,294078
2022-01-21 13:30:00-05:00,52.5099983215332,52.630001068115234,52.46500015258789,52.54499816894531,320663
2022-01-21 13:35:00-05:00,52.54999923706055,52.69499969482422,52.529998779296875,52.63999938964844,285120
2022-01-21 13:40:00-05:00,52.63999938964844,52.779998779296875,52.61000061035156,52.68000030517578,259910
2022-01-21 13:45:00-05:00,52.68000030517578,52.70000076293945,52.56999969482422,52.630001068115234,292693
2022-01-21 13:50:00-05:00,52.619998931884766,52.7400016784668,52.599998474121094,52.720001220703125,360498
2022-01-21 13:55:00-05:00,52.71500015258789,52.71500015258789,52.459999084472656,52.52539825439453,302456
2022-01-21 14:00:00-05:00,52.529998779296875,52.599998474121094,52.5099983215332,52.58000183105469,281924
2022-01-21 14:05:00-05:00,52.58000183105469,52.68330001831055,52.52000045776367,52.54999923706055,300360
2022-01-21 14:10:00-05:00,52.560001373291016,52.689998626708984,52.54999923706055,52.65999984741211,207495
2022-01-21 14:15:00-05:00,52.650001525878906,52.720001220703125,52.599998474121094,52.619998931884766,237374
2022-01-21 14:20:00-05:00,52.619998931884766,52.724998474121094,52.58000183105469,52.71500015258789,278679
2022-01-21 14:25:00-05:00,52.71500015258789,52.720001220703125,52.41999816894531,52.439998626708984,357781
2022-01-21 14:30:00-05:00,52.439998626708984,52.47999954223633,52.400001525878906,52.404998779296875,238665
2022-01-21 14:35:00-05:00,52.40439987182617,52.494998931884766,52.349998474121094,52.470001220703125,293484
2022-01-21 14:40:00-05:00,52.47850036621094,52.532100677490234,52.41999816894531,52.439998626708984,247983
2022-01-21 14:45:00-05:00,52.435001373291016,52.4900016784668,52.400001525878906,52.44559860229492,212527
2022-01-21 14:50:00-05:00,52.439998626708984,52.44499969482422,52.334999084472656,52.349998474121094,294974
2022-01-21 14:55:00-05:00,52.36000061035156,52.399600982666016,52.20000076293945,52.21009826660156,329725
2022-01-21 15:00:00-05:00,52.209999084472656,52.35110092163086,52.209999084472656,52.244998931884766,265005
2022-01-21 15:05:00-05:00,52.25,52.255001068115234,52.11000061035156,52.185001373291016,378872
2022-01-21 15:10:00-05:00,52.185001373291016,52.18510055541992,52.06999969482422,52.16999816894531,365581
2022-01-21 15:15:00-05:00,52.165000915527344,52.43000030517578,52.150001525878906,52.349998474121094,446643
2022-01-21 15:20:00-05:00,52.349998474121094,52.349998474121094,52.189998626708984,52.224998474121094,406179
2022-01-21 15:25:00-05:00,52.22930145263672,52.244998931884766,52.060001373291016,52.15999984741211,354921
2022-01-21 15:30:00-05:00,52.150001525878906,52.33000183105469,52.13999938964844,52.220001220703125,739898
2022-01-21 15:35:00-05:00,52.220001220703125,52.34000015258789,52.19499969482422,52.32619857788086,522006
2022-01-21 15:40:00-05:00,52.31999969482422,52.470001220703125,52.28499984741211,52.29999923706055,703233
2022-01-21 15:45:00-05:00,52.29999923706055,52.400001525878906,52.224998474121094,52.380001068115234,786872
2022-01-21 15:50:00-05:00,52.375,52.380001068115234,51.95000076293945,52.029998779296875,1733483
2022-01-21 15:55:00-05:00,52.029998779296875,52.27000045776367,52.0,52.02000045776367,3038563
2022-01-21 16:00:00-05:00,52.02,52.44,52.0,52.3,0
2022-01-21 16:05:00-05:00,52.3,52.3,52.04,52.09,0
2022-01-21 16:10:00-05:00,52.05,52.11,51.95,51.98,0
2022-01-21 16:15:00-05:00,52.0,52.0,51.8,51.88,0
2022-01-21 16:20:00-05:00,51.87,51.99,51.86,51.98,0
2022-01-21 16:25:00-05:00,51.99,51.99,51.88,51.94,0
2022-01-21 16:30:00-05:00,51.97,52.04,51.9,51.98,0
2022-01-21 16:35:00-05:00,51.98,52.04,51.9,51.9,0
2022-01-21 16:40:00-05:00,51.94,52.04,51.88,51.99,0
2022-01-21 16:45:00-05:00,51.99,52.05,51.95,52.04,0
2022-01-21 16:50:00-05:00,52.04,52.11,52.0,52.0,0
2022-01-21 16:55:00-05:00,52.11,52.13,52.02,52.1,0
2022-01-21 17:00:00-05:00,52.075,52.13,48.22311,48.22311,0
2022-01-21 17:05:00-05:00,52.0,52.03,51.95,52.0,0
2022-01-21 17:10:00-05:00,51.975,52.03,51.95,52.03,0
2022-01-21 17:15:00-05:00,52.0,52.03,51.95,51.98,0
2022-01-21 17:20:00-05:00,51.99,51.99,51.96,51.99,0
2022-01-21 17:25:00-05:00,51.99,52.0,51.95,51.975,0
2022-01-21 17:30:00-05:00,51.96,52.04,51.95,51.97,0
2022-01-21 17:35:00-05:00,51.98,52.03,51.97,52.0,0
2022-01-21 17:40:00-05:00,52.02,52.03,51.94,51.97,0
2022-01-21 17:45:00-05:00,51.925,51.95,51.84,51.9,0
2022-01-21 17:50:00-05:00,51.89,51.915,51.85,51.9,0
2022-01-21 17:55:00-05:00,51.88,52.02,51.86,52.02,0
2022-01-21 18:00:00-05:00,52.02,52.02,51.89,51.89,0
2022-01-21 18:05:00-05:00,51.91,52.02,51.9,51.97,0
2022-01-21 18:10:00-05:00,51.97,52.08,51.97,52.0,0
2022-01-21 18:15:00-05:00,52.05,52.1,51.91,52.03,0
2022-01-21 18:20:00-05:00,52.0,52.1,52.0,52.05,0
2022-01-21 18:25:00-05:00,52.03,52.1,52.03,52.05,0
2022-01-21 18:30:00-05:00,52.05,52.05,52.02,52.05,0
2022-01-21 18:35:00-05:00,52.05,52.05,52.0,52.0,0
2022-01-21 18:40:00-05:00,52.0,52.0,52.0,52.0,0
2022-01-21 18:45:00-05:00,52.0,52.0,51.93,51.95,0
2022-01-21 18:50:00-05:00,52.0,52.01,51.9,51.97,0
2022-01-21 18:55:00-05:00,51.91,52.0,51.91,52.0,0
2022-01-25 14:45:00-05:00,51.505001068115234,51.505001068115234,51.505001068115234,51.505001068115234,26219377
2022-01-25 15:00:00-05:00,51.525001525878906,51.540000915527344,51.404998779296875,51.41999816894531,1473023
2022-01-25 15:05:00-05:00,51.41999816894531,51.41999816894531,51.209999084472656,51.220001220703125,450917
2022-01-25 15:10:00-05:00,51.220001220703125,51.439998626708984,51.18009948730469,51.38999938964844,639096
2022-01-25 15:15:00-05:00,51.3849983215332,51.564998626708984,51.3650016784668,51.494998931884766,361837
2022-01-25 15:20:00-05:00,51.4900016784668,51.5,51.28200149536133,51.28200149536133,309627
2022-01-25 15:25:00-05:00,51.279998779296875,51.290000915527344,51.08000183105469,51.1349983215332,384366
2022-01-25 15:30:00-05:00,51.13999938964844,51.15570068359375,51.029998779296875,51.11000061035156,519951
2022-01-25 15:35:00-05:00,51.11000061035156,51.209999084472656,50.97999954223633,51.17499923706055,544201
2022-01-25 15:40:00-05:00,51.17499923706055,51.29999923706055,51.125,51.19499969482422,523640
2022-01-25 15:45:00-05:00,51.20000076293945,51.32609939575195,51.19499969482422,51.25,316456
2022-01-25 16:00:00-05:00,51.0,51.0,51.0,51.0,0
2022-01-25 17:05:00-05:00,50.8,50.8,50.7,50.7,0
2022-01-25 17:10:00-05:00,50.74,50.9,50.73,50.75,0
2022-01-25 17:15:00-05:00,50.9,50.9,50.73,50.8,0
2022-01-25 17:20:00-05:00,50.89,50.9,50.76,50.825,0
2022-01-25 17:25:00-05:00,50.9,50.9799,50.835,50.97,0
2022-01-25 17:30:00-05:00,50.82,50.97,50.8,50.84,0
2022-01-25 17:35:00-05:00,50.85,50.85,50.81,50.825,0
2022-01-25 17:40:00-05:00,50.825,50.85,50.8,50.85,0
2022-01-25 17:45:00-05:00,50.85,50.9,50.8,50.83,0
2022-01-25 17:50:00-05:00,50.85,50.97,50.83,50.89,0
2022-01-25 17:55:00-05:00,50.85,50.9,50.85,50.89,0
2022-01-25 18:00:00-05:00,50.89,51.07,50.89,51.07,0
2022-01-25 18:05:00-05:00,51.02,51.2,51.02,51.05,0
2022-01-25 18:10:00-05:00,51.06,51.2,50.88,51.16,0
2022-01-25 18:15:00-05:00,51.16,51.16,51.16,51.16,0
2022-01-25 18:20:00-05:00,50.9,50.9,50.81,50.9,0
2022-01-25 18:25:00-05:00,50.9,50.92,50.78,50.8,0
2022-01-25 18:30:00-05:00,51.0,51.0,50.95,51.0,0
2022-01-25 18:35:00-05:00,51.0,51.01,50.95,50.96,0
2022-01-25 18:40:00-05:00,51.0,51.2,50.96,51.2,0
2022-01-25 18:45:00-05:00,51.19,51.3,51.14,51.29,0
2022-01-25 18:50:00-05:00,51.28,51.39,51.2,51.29,0
2022-01-25 18:55:00-05:00,51.2,51.25,51.06,51.08,0
2022-01-26 04:00:00-05:00,51.41,51.69,51.41,51.69,0
2022-01-26 04:05:00-05:00,51.63,51.72,51.52,51.72,0
2022-01-26 04:10:00-05:00,51.72,51.72,51.68,51.69,0
2022-01-26 04:15:00-05:00,51.68,51.8,51.68,51.8,0
2022-01-26 04:20:00-05:00,51.78,51.8,51.77,51.78,0
2022-01-26 04:25:00-05:00,51.73,51.78,51.71,51.71,0
2022-01-26 04:30:00-05:00,51.72,51.72,51.65,51.65,0
2022-01-26 04:40:00-05:00,51.74,51.77,51.74,51.77,0
2022-01-26 04:45:00-05:00,51.74,51.78,51.73,51.73,0
2022-01-26 04:50:00-05:00,51.76,51.78,51.74,51.74,0
2022-01-26 04:55:00-05:00,51.77,51.78,51.77,51.78,0
2022-01-26 05:00:00-05:00,51.77,51.78,51.74,51.77,0
2022-01-26 05:05:00-05:00,51.76,51.78,51.74,51.78,0
2022-01-26 05:10:00-05:00,51.78,51.8,51.75,51.8,0
2022-01-26 05:15:00-05:00,51.79,51.79,51.79,51.79,0
2022-01-26 05:20:00-05:00,51.77,51.79,51.77,51.78,0
2022-01-26 05:25:00-05:00,51.78,51.79,51.78,51.79,0
2022-01-26 05:30:00-05:00,51.78,51.91,51.78,51.89,0
2022-01-26 05:35:00-05:00,51.9,51.94,51.83,51.83,0
2022-01-26 05:40:00-05:00,51.83,51.85,51.81,51.82,0
2022-01-26 05:45:00-05:00,51.83,51.83,51.81,51.81,0
2022-01-26 05:50:00-05:00,51.85,51.85,51.85,51.85,0
2022-01-26 05:55:00-05:00,51.9,51.92,51.9,51.92,0
2022-01-26 06:00:00-05:00,51.9,51.9,51.88,51.88,0
2022-01-26 06:05:00-05:00,51.88,51.88,51.83,51.83,0
2022-01-26 06:10:00-05:00,51.87,51.87,51.87,51.87,0
2022-01-26 06:15:00-05:00,51.87,51.87,51.87,51.87,0
2022-01-26 06:20:00-05:00,51.87,51.94,51.87,51.88,0
2022-01-26 06:25:00-05:00,51.88,51.88,51.82,51.87,0
2022-01-26 06:30:00-05:00,51.82,51.89,51.82,51.89,0
2022-01-26 06:35:00-05:00,51.86,51.9,51.83,51.9,0
2022-01-26 06:40:00-05:00,51.93,51.97,51.89,51.89,0
2022-01-26 06:45:00-05:00,51.95,51.97,51.9,51.9,0
2022-01-26 06:50:00-05:00,51.96,51.96,51.92,51.93,0
2022-01-26 06:55:00-05:00,51.92,51.98,51.92,51.98,0
2022-01-26 07:00:00-05:00,51.95,52.0,51.92,51.92,0
2022-01-26 07:05:00-05:00,51.91,51.91,51.82,51.9,0
2022-01-26 07:10:00-05:00,51.87,51.93,51.85,51.92,0
2022-01-26 07:15:00-05:00,51.86,51.9,51.78,51.78,0
2022-01-26 07:20:00-05:00,51.78,51.8,51.73,51.79,0
2022-01-26 07:25:00-05:00,51.74,51.8,51.71,51.77,0
2022-01-26 07:30:00-05:00,51.86,51.86,51.81,51.83,0
2022-01-26 07:35:00-05:00,51.83,51.85,51.82,51.82,0
2022-01-26 07:40:00-05:00,51.82,51.83,51.77,51.77,0
2022-01-26 07:45:00-05:00,51.82,51.82,51.76,51.8,0
2022-01-26 07:50:00-05:00,51.81,51.86,51.77,51.86,0
2022-01-26 07:55:00-05:00,51.86,51.95,51.82,51.92,0
2022-01-26 08:00:00-05:00,51.85,51.9,51.83,51.83,0
2022-01-26 08:05:00-05:00,51.95,51.97,51.89,51.95,0
2022-01-26 08:10:00-05:00,51.95,51.97,51.906,51.906,0
2022-01-26 08:15:00-05:00,51.9,51.9,51.83,51.84,0
2022-01-26 08:20:00-05:00,51.88,51.97,51.8531,51.96,0
2022-01-26 08:25:00-05:00,51.97,52.0,51.95,51.98,0
2022-01-26 08:30:00-05:00,51.88,51.88,51.8,51.81,0
2022-01-26 08:35:00-05:00,51.85,51.88,51.8,51.8,0
2022-01-26 08:40:00-05:00,51.77,51.82,51.7,51.82,0
2022-01-26 08:45:00-05:00,51.8,51.8,51.72,51.75,0
