Datetime,Open,High,Low,Close,Volume
2022-01-21 04:00:00-05:00,15.0,15.0,14.71,14.76,0
2022-01-21 04:05:00-05:00,14.76,14.83,14.7,14.8,0
2022-01-21 04:10:00-05:00,14.83,14.97,14.8,14.91,0
2022-01-21 04:15:00-05:00,14.91,15.02,14.86,14.98,0
2022-01-21 04:20:00-05:00,14.94,15.59,14.94,15.19,0
2022-01-21 04:25:00-05:00,15.19,15.4,15.17,15.4,0
2022-01-21 04:30:00-05:00,15.38,15.39,15.16,15.16,0
2022-01-21 04:35:00-05:00,15.16,15.35,15.13,15.34,0
2022-01-21 04:40:00-05:00,15.33,15.38,15.28,15.31,0
2022-01-21 04:45:00-05:00,15.3,15.31,15.08,15.15,0
2022-01-21 04:50:00-05:00,15.15,15.19,15.15,15.17,0
2022-01-21 04:55:00-05:00,15.18,15.2,15.11,15.15,0
2022-01-21 05:00:00-05:00,15.15,15.17,15.11,15.12,0
2022-01-21 05:05:00-05:00,15.13,15.16,15.11,15.16,0
2022-01-21 05:10:00-05:00,15.15,15.19,15.14,15.16,0
2022-01-21 05:15:00-05:00,15.16,15.2,15.16,15.2,0
2022-01-21 05:20:00-05:00,15.2,15.3,15.2,15.24,0
2022-01-21 05:25:00-05:00,15.25,15.34,15.21,15.28,0
2022-01-21 05:30:00-05:00,15.28,15.28,15.21,15.22,0
2022-01-21 05:35:00-05:00,15.21,15.23,15.19,15.19,0
2022-01-21 05:40:00-05:00,15.19,15.21,15.15,15.19,0
2022-01-21 05:45:00-05:00,15.18,15.19,15.15,15.19,0
2022-01-21 05:50:00-05:00,15.19,15.19,15.15,15.17,0
2022-01-21 05:55:00-05:00,15.16,15.18,15.15,15.15,0
2022-01-21 06:00:00-05:00,15.15,15.15,15.12,15.12,0
2022-01-21 06:05:00-05:00,15.12,15.12,15.02,15.02,0
2022-01-21 06:10:00-05:00,15.03,15.1,15.02,15.09,0
2022-01-21 06:15:00-05:00,15.1,15.11,15.06,15.07,0
2022-01-21 06:20:00-05:00,15.07,15.08,15.02,15.07,0
2022-01-21 06:25:00-05:00,15.07,15.09,15.0,15.01,0
2022-01-21 06:30:00-05:00,15.01,15.06,15.0,15.0,0
2022-01-21 06:35:00-05:00,15.0,15.07,15.0,15.05,0
2022-01-21 06:40:00-05:00,15.06,15.06,15.01,15.04,0
2022-01-21 06:45:00-05:00,15.05,15.1,15.03,15.06,0
2022-01-21 06:50:00-05:00,15.1,15.13,15.03,15.1,0
2022-01-21 06:55:00-05:00,15.1,15.16,15.09,15.13,0
2022-01-21 07:00:00-05:00,15.13,15.17,14.94,14.95,0
2022-01-21 07:05:00-05:00,14.95,15.0,14.87,14.88,0
2022-01-21 07:10:00-05:00,14.88,14.89,14.8,14.87,0
2022-01-21 07:15:00-05:00,14.86,14.92,14.82,14.92,0
2022-01-21 07:20:00-05:00,14.91,14.95,14.83,14.95,0
2022-01-21 07:25:00-05:00,14.94,14.96,14.92,14.95,0
2022-01-21 07:30:00-05:00,14.94,14.95,14.89,14.93,0
2022-01-21 07:35:00-05:00,14.94,15.0,14.92,14.98,0
2022-01-21 07:40:00-05:00,14.98,14.98,14.93,14.95,0
2022-01-21 07:45:00-05:00,14.96,14.98,14.85,14.86,0
2022-01-21 07:50:00-05:00,14.86,14.89,14.86,14.87,0
2022-01-21 07:55:00-05:00,14.87,14.89,14.86,14.88,0
2022-01-21 08:00:00-05:00,15.02,15.12,14.8,14.89,0
2022-01-21 08:05:00-05:00,14.88,14.99,14.88,14.97,0
2022-01-21 08:10:00-05:00,14.96,15.0,14.92,14.93,0
2022-01-21 08:15:00-05:00,14.92,14.97,14.92,14.96,0
2022-01-21 08:20:00-05:00,14.97,15.1,14.96,15.09,0
2022-01-21 08:25:00-05:00,15.09,15.12,15.06,15.1,0
2022-01-21 08:30:00-05:00,15.11,15.14,15.1,15.13,0
2022-01-21 08:35:00-05:00,15.13,15.22,15.11,15.17,0
2022-01-21 08:40:00-05:00,15.18,15.25,15.15,15.15,0
2022-01-21 08:45:00-05:00,15.15,15.24,15.15,15.24,0
2022-01-21 08:50:00-05:00,15.23,15.25,15.21,15.21,0
2022-01-21 08:55:00-05:00,15.21,15.22,15.18,15.19,0
2022-01-21 09:00:00-05:00,15.18,15.2,14.95,14.98,0
2022-01-21 09:05:00-05:00,14.97,15.0,14.9,14.91,0
2022-01-21 09:10:00-05:00,14.92,14.97,14.9,14.95,0
