Open,High,Low,Close,Volume
40.0,45.0,35.0,41.25,70520
42.5,42.5,35.0,41.25,59600
37.5,41.25,36.25,40.0,13320
36.25,40.0,35.625,38.75,25200
36.25,38.75,36.25,38.75,17840
36.875,42.5,36.875,42.5,35440
40.0,42.5,40.0,42.5,12340
40.0,42.5,40.0,40.0,20760
40.0,42.5,40.0,41.25,31580
41.25,42.5,40.0,40.0,16580
40.0,42.5,40.0,40.0,10400
42.5,42.5,40.0,42.5,13100
42.5,42.5,40.0,40.0,29860
42.5,42.5,40.0,40.0,22240
42.5,42.5,38.75,42.5,18760
42.5,42.5,38.75,42.5,14140
40.0,42.5,40.0,40.0,8140
41.25,42.5,40.0,40.0,10700
40.0,42.5,40.0,40.0,11000
42.5,42.5,40.0,40.0,8040
40.0,42.5,40.0,42.1875,9080
40.0,42.5,40.0,42.5,4100
40.0,42.5,40.0,42.5,9360
42.5,42.5,40.0,40.0,9820
41.25,42.5,40.0,41.25,5200
40.0,42.5,40.0,40.0,4700
42.5,42.5,40.0,40.0,8820
42.5,42.5,40.0,41.875,15180
42.5,42.5,40.0,42.5,9460
40.0,45.0,40.0,45.0,29520
43.125,45.0,43.125,43.125,18440
43.125,45.0,43.125,45.0,13540
45.0,45.0,43.75,43.75,12140
45.0,45.0,43.75,43.75,13040
45.0,45.0,43.75,43.75,6140
43.75,45.0,43.75,43.75,2480
43.75,45.0,43.75,43.75,10260
43.75,45.0,43.75,43.75,19780
45.0,45.0,43.75,45.0,11220
45.0,45.0,43.75,43.75,8940
43.75,45.0,43.75,45.0,4340
45.0,45.0,42.5,43.75,10220
43.75,45.0,43.125,45.0,10640
45.0,47.5,43.75,46.25,20980
46.25,47.5,46.25,47.5,11940
47.5,47.5,46.25,46.25,5840
46.25,47.5,46.25,47.5,10860
46.25,47.5,46.25,46.25,7740
47.5,47.5,45.0,46.25,12080
45.0,47.5,45.0,45.0,5520
45.0,47.5,45.0,47.5,11140
45.0,47.5,45.0,47.5,15000
45.0,45.0,43.75,45.0,6820
43.75,45.0,41.25,41.25,5140
43.75,48.75,42.5,46.25,20080
48.75,48.75,46.25,46.25,10220
46.875,48.75,46.25,46.25,5580
48.75,48.75,46.25,46.25,6580
46.25,48.75,46.25,46.25,8300
48.75,48.75,46.25,48.125,12160
46.25,46.25,46.25,46.25,740
48.75,48.75,46.25,48.75,4960
48.125,48.75,46.25,48.75,6760
48.75,48.75,46.25,48.75,4940
47.5,48.75,46.25,47.5,10780
48.75,48.75,46.25,48.75,7060
46.25,48.75,46.25,48.125,8640
46.25,52.5,46.25,50.0,31880
52.5,52.5,50.0,50.0,21680
50.0,52.5,50.0,51.25,13720
51.25,52.5,50.0,52.5,16900
50.0,52.5,50.0,50.0,12100
50.0,52.5,49.375,50.0,6740
52.5,52.5,49.375,50.0,12020
50.0,52.5,50.0,50.625,2760
52.5,52.5,50.0,50.0,5580
50.0,52.5,50.0,50.0,19740
52.5,52.5,50.0,52.5,8680
50.0,52.5,50.0,52.5,14740
50.0,52.5,50.0,50.0,19600
52.5,55.0,50.0,52.5,11280
52.5,55.0,52.5,55.0,9160
52.5,55.0,52.5,52.5,11380
52.5,55.0,52.5,55.0,5500
52.5,55.0,52.5,53.75,5440
55.0,55.0,52.5,55.0,5460
55.0,55.0,52.5,55.0,11700
52.5,55.0,52.5,52.5,6660
55.0,55.0,52.5,52.5,8420
