Open,High,Low,Close,Volume
34.45,34.56,34.44,34.44,0
34.32,34.32,34.32,34.32,0
34.34,34.34,34.34,34.34,0
34.44,34.44,34.41,34.41,0
34.36,34.36,34.3,34.3,0
34.32,34.32,34.32,34.32,0
34.27,34.27,34.27,34.27,0
34.26,34.26,34.24,34.24,0
34.25,34.25,34.2,34.2,0
34.2,34.2,34.2,34.2,0
34.23,34.26,34.22,34.22,0
34.25,34.25,34.25,34.25,0
34.25,34.25,34.25,34.25,0
34.31,34.32,34.31,34.32,0
34.34,34.34,34.34,34.34,0
34.31,34.31,34.31,34.31,0
34.31,34.31,34.31,34.31,0
34.38,34.38,34.38,34.38,0
34.38,34.38,34.38,34.38,0
34.5,34.54,34.5,34.54,0
34.55,34.55,34.52,34.52,0
34.52,34.52,34.52,34.52,0
34.48,34.48,34.48,34.48,0
34.56,34.56,34.56,34.56,0
34.48,34.48,34.48,34.48,0
34.48,34.48,34.48,34.48,0
34.45,34.45,34.45,34.45,0
34.47,34.47,34.47,34.47,0
34.44,34.44,34.44,34.44,0
34.38,34.38,34.38,34.38,0
34.38,34.38,34.38,34.38,0
34.38,34.38,34.38,34.38,0
34.35,34.35,34.35,34.35,0
34.36,34.36,34.33,34.33,0
34.33,34.33,34.32,34.32,0
34.35,34.35,34.35,34.35,0
34.31,34.31,34.31,34.31,0
34.33,34.33,34.33,34.33,0
34.32,34.32,34.32,34.32,0
34.32,34.32,34.32,34.32,0
34.35,34.35,34.35,34.35,0
34.33,34.33,34.33,34.33,0
34.35,34.35,34.35,34.35,0
34.4,34.4,34.4,34.4,0
34.32,34.32,34.32,34.32,0
34.32,34.32,34.32,34.32,0
34.3,34.3,34.3,34.3,0
34.29,34.29,34.29,34.29,0
34.25,34.26,34.22,34.22,0
34.24,34.24,34.21,34.23,0
34.24,34.24,34.21,34.21,0
34.26,34.26,34.26,34.26,0
34.24,34.24,34.24,34.24,0
34.2,34.2,34.2,34.2,0
34.18,34.18,34.18,34.18,0
34.14,34.15,34.14,34.15,0
34.15,34.15,34.15,34.15,0
34.22,34.22,34.22,34.22,0
34.24,34.24,34.24,34.24,0
34.25,34.25,34.25,34.25,0
34.32,34.32,34.32,34.32,0
34.36,34.36,34.36,34.36,0
34.36,34.36,34.35,34.35,0
34.31,34.31,34.26,34.26,0
34.28,34.28,34.28,34.28,0
34.26,34.26,34.26,34.26,0
34.24,34.24,34.21,34.21,0
34.24,34.24,34.24,34.24,0
34.2,34.2,34.2,34.2,0
34.19,34.2,34.19,34.2,0
34.21,34.21,34.21,34.21,0
34.32,34.32,34.32,34.32,0
34.27,34.27,34.25,34.25,0
34.24,34.24,34.2,34.2,0
34.19,34.2,34.15,34.15,0
34.2,34.28,34.2,34.28,0
34.34,34.34,34.33,34.33,0
34.33,34.33,34.3,34.3,0
34.26,34.26,34.26,34.26,0
34.28,34.28,34.25,34.25,0
34.21,34.21,34.2,34.2,0
34.2,34.2,34.11,34.11,0
34.13,34.13,34.03,34.05,0
34.03,34.03,34.03,34.03,0
34.05,34.05,34.04,34.05,0
34.04,34.04,34.01,34.01,0
34.02,34.02,33.96,33.96,0
33.96,33.97,33.93,33.97,0
33.94,33.96,33.93,33.96,0
33.96,33.96,33.96,33.96,0
33.96,33.99,33.96,33.99,0
34.0,34.0,34.0,34.0,0
33.95,33.95,33.92,33.92,0
33.9,33.9,33.9,33.9,0
33.86,33.86,33.84,33.84,0
33.85,33.9,33.85,33.9,0
33.87,33.87,33.87,33.87,0
33.83,33.83,33.75,33.75,0
33.74,33.74,33.69,33.69,0
33.68,33.68,33.64,33.64,0
33.65,33.661,33.63,33.63,0
33.69,33.69,33.69,33.69,0
33.69,33.7,33.62,33.62,0
33.6,33.61,33.6,33.61,0
33.59,33.59,33.59,33.59,0
33.66,33.7,33.66,33.69,0
33.75,33.75,33.72,33.72,0
33.71,33.72,33.7,33.71,0
33.69,33.69,33.69,33.69,0
33.7,33.7,33.7,33.7,0
33.72,33.77,33.72,33.77,0
33.71,33.74,33.71,33.73,0
33.74,33.75,33.74,33.75,0
33.75,33.85,33.75,33.85,0
33.85,33.87,33.85,33.85,0
33.89,33.9,33.89,33.9,0
33.88,33.88,33.87,33.87,0
33.88,33.88,33.88,33.88,0
33.87,33.87,33.87,33.87,0
33.86,33.87,33.86,33.87,0
33.89,33.89,33.871,33.871,0
33.88,33.88,33.88,33.88,0
33.89,33.89,33.89,33.89,0
33.88,33.88,33.83,33.84,0
33.82,33.82,33.82,33.82,0
33.83,33.83,33.83,33.83,0
33.8701,34.34,33.59,33.9,0
