contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
ACB220211P00002500,2.5,USD,0.01,0.0,0.0,3.0,36,0.0,0.01,REGULAR,2022-02-11,2022-02-07 18:07:36,3.0000025,False
ACB220211P00003000,3.0,USD,0.01,-0.01,-50.0,1.0,162,0.0,0.03,REGULAR,2022-02-11,2022-02-09 14:42:34,2.68750328125,False
ACB220211P00003500,3.5,USD,0.02,-0.030000001,-60.000004,166.0,901,0.02,0.03,REGULAR,2022-02-11,2022-02-09 17:34:05,2.0625048437499998,False
ACB220211P00004000,4.0,USD,0.07,-0.080000006,-53.333336,304.0,1282,0.07,0.08,REGULAR,2022-02-11,2022-02-09 17:18:01,1.75000125,False
ACB220211P00004500,4.5,USD,0.23,-0.24999999,-52.083332,121.0,214,0.22,0.23,REGULAR,2022-02-11,2022-02-09 17:33:21,1.5781271093749998,False
ACB220211P00005000,5.0,USD,0.55,-0.34999996,-38.888885,134.0,160,0.55,0.58,REGULAR,2022-02-11,2022-02-09 16:58:54,1.75000125,True
ACB220211P00005500,5.5,USD,1.02,-0.38,-27.142859,37.0,91,1.0,1.02,REGULAR,2022-02-11,2022-02-09 17:36:14,2.0625048437499998,True
ACB220211P00006000,6.0,USD,1.53,-0.18000007,-10.52632,61.0,122,1.47,1.51,REGULAR,2022-02-11,2022-02-09 16:03:04,2.43750390625,True
ACB220211P00006500,6.5,USD,2.19,-0.29999995,-12.048191,11.0,15,1.95,2.0,REGULAR,2022-02-11,2022-02-09 14:59:43,2.718753203125,True
ACB220211P00007000,7.0,USD,2.9,0.0,0.0,12.0,26,2.46,2.49,REGULAR,2022-02-11,2022-02-08 17:11:40,3.0937522656249996,True
ACB220211P00007500,7.5,USD,3.32,0.0,0.0,4.0,17,2.95,2.99,REGULAR,2022-02-11,2022-02-04 19:43:36,3.3750015624999996,True
ACB220211P00008000,8.0,USD,3.86,0.0,0.0,3.0,4,3.45,3.5,REGULAR,2022-02-11,2022-02-08 17:53:35,3.81250046875,True
ACB220211P00008500,8.5,USD,4.29,0.0,0.0,1.0,9,3.95,4.0,REGULAR,2022-02-11,2022-02-07 18:23:41,4.0937548828125,True
ACB220211P00009000,9.0,USD,4.65,0.0,0.0,,3,4.45,4.5,REGULAR,2022-02-11,2022-02-01 15:31:14,4.375004531249999,True
ACB220211P00009500,9.5,USD,5.05,0.0,0.0,,4,4.95,5.0,REGULAR,2022-02-11,2022-02-01 17:19:31,4.62500421875,True
ACB220211P00010000,10.0,USD,5.7,0.0,0.0,4.0,10,5.4,5.5,REGULAR,2022-02-11,2022-02-07 16:01:51,4.2500046875,True
ACB220211P00010500,10.5,USD,6.31,0.0,0.0,4.0,4,5.95,6.0,REGULAR,2022-02-11,2022-02-07 17:08:43,5.0937536328125,True
ACB220211P00011000,11.0,USD,6.51,0.010000229,0.15384968,108.0,108,6.45,6.5,REGULAR,2022-02-11,2022-02-09 17:17:27,5.312503359374999,True
