contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
AMKR220218C00016000,16.0,USD,6.05,0.0,0.0,1,6.5,9.1,REGULAR,2022-02-18,2022-01-26 19:51:50,2.5761754345703123,True,
AMKR220218C00018000,18.0,USD,3.9,0.0,0.0,2,4.5,6.7,REGULAR,2022-02-18,2022-01-31 17:47:00,1.787110439453125,True,
AMKR220218C00019000,19.0,USD,4.26,0.0,0.0,2,3.1,4.1,REGULAR,2022-02-18,2022-01-19 17:33:28,0.96679720703125,True,2.0
AMKR220218C00020000,20.0,USD,2.11,0.0,0.0,148,2.7,3.3,REGULAR,2022-02-18,2022-02-03 17:42:31,0.6269568554687501,True,6.0
AMKR220218C00021000,21.0,USD,1.3,0.0,0.0,68,2.2,2.45,REGULAR,2022-02-18,2022-02-08 16:53:46,0.7812521875,True,10.0
AMKR220218C00022000,22.0,USD,1.44,0.5400001,60.00001,139,1.45,1.65,REGULAR,2022-02-18,2022-02-09 15:43:19,0.70117486328125,True,16.0
AMKR220218C00023000,23.0,USD,1.0,0.35000002,53.846157,302,0.95,1.05,REGULAR,2022-02-18,2022-02-09 17:15:35,0.69336244140625,False,35.0
AMKR220218C00024000,24.0,USD,0.6,0.33,122.22222,473,0.55,0.7,REGULAR,2022-02-18,2022-02-09 17:15:35,0.70312796875,False,26.0
AMKR220218C00025000,25.0,USD,0.33,0.13000001,65.0,751,0.3,0.4,REGULAR,2022-02-18,2022-02-09 16:33:59,0.69336244140625,False,11.0
AMKR220218C00026000,26.0,USD,0.15,0.050000004,50.000008,442,0.1,0.25,REGULAR,2022-02-18,2022-02-09 16:39:33,0.6757844921875001,False,5.0
AMKR220218C00027000,27.0,USD,0.05,0.0,0.0,257,0.0,0.15,REGULAR,2022-02-18,2022-02-08 15:50:59,0.6523472265625001,False,11.0
AMKR220218C00028000,28.0,USD,0.05,0.0,0.0,120,0.0,0.1,REGULAR,2022-02-18,2022-02-08 14:30:09,0.70312796875,False,1.0
AMKR220218C00029000,29.0,USD,0.6,0.0,0.0,68,0.0,0.75,REGULAR,2022-02-18,2022-01-24 15:08:42,1.29297228515625,False,8.0
AMKR220218C00030000,30.0,USD,0.05,0.0,0.0,201,0.0,0.15,REGULAR,2022-02-18,2022-02-02 15:56:14,0.9570316796874999,False,1.0
AMKR220218C00031000,31.0,USD,0.08,0.0,0.0,14,0.0,0.1,REGULAR,2022-02-18,2022-01-31 14:49:40,0.9765627343750001,False,10.0
AMKR220218C00032000,32.0,USD,0.35,0.0,0.0,0,0.0,0.0,REGULAR,2022-02-18,2022-01-04 14:45:06,0.500005,False,1.0
