contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
ASML220211P00465000,465.0,USD,0.05,0.0,0.0,62,0.0,0.05,REGULAR,2022-02-11,2022-02-01 16:19:42,1.3750031249999999,False,
ASML220211P00500000,500.0,USD,0.2,0.0,0.0,2,0.0,0.95,REGULAR,2022-02-11,2022-02-03 18:53:39,1.5673849755859375,False,
ASML220211P00520000,520.0,USD,0.22,-0.27,-55.102043,6,0.0,0.35,REGULAR,2022-02-11,2022-02-09 15:32:38,1.2158242333984375,False,2.0
ASML220211P00530000,530.0,USD,0.35,0.0,0.0,2,0.0,0.85,REGULAR,2022-02-11,2022-02-03 18:54:48,1.2802770361328122,False,
ASML220211P00540000,540.0,USD,0.31,0.0,0.0,67,0.0,0.85,REGULAR,2022-02-11,2022-02-07 16:35:04,1.1953165234375,False,10.0
ASML220211P00550000,550.0,USD,0.05,0.0,0.0,5,0.0,0.45,REGULAR,2022-02-11,2022-02-08 18:10:37,1.015629921875,False,4.0
ASML220211P00560000,560.0,USD,0.5,0.0,0.0,21,0.0,0.95,REGULAR,2022-02-11,2022-02-04 17:43:05,1.045414929199219,False,1.0
ASML220211P00570000,570.0,USD,1.05,-0.08000004,-7.07965,62,0.0,0.85,REGULAR,2022-02-11,2022-02-09 15:32:09,0.945313046875,False,4.0
ASML220211P00575000,575.0,USD,0.05,-1.5500001,-96.875,1,0.0,1.85,REGULAR,2022-02-11,2022-02-09 15:38:27,1.0324755407714847,False,1.0
ASML220211P00580000,580.0,USD,0.72,-0.32999992,-31.428566,506,0.0,0.85,REGULAR,2022-02-11,2022-02-09 15:03:35,0.8632826171875,False,1.0
ASML220211P00585000,585.0,USD,0.5,0.0,0.0,4,0.0,1.0,REGULAR,2022-02-11,2022-02-08 15:18:00,0.8447281152343749,False,1.0
ASML220211P00590000,590.0,USD,1.25,0.25,25.0,72,0.0,1.15,REGULAR,2022-02-11,2022-02-09 15:32:09,0.82226740234375,False,8.0
ASML220211P00595000,595.0,USD,0.47,-0.5799999,-55.23809,42,0.1,1.3,REGULAR,2022-02-11,2022-02-09 15:32:38,0.8085956640624999,False,7.0
ASML220211P00600000,600.0,USD,0.35,-0.37000003,-51.38889,148,0.05,0.4,REGULAR,2022-02-11,2022-02-09 17:25:00,0.6347692773437501,False,23.0
ASML220211P00605000,605.0,USD,0.85,-1.63,-65.7258,19,0.0,0.85,REGULAR,2022-02-11,2022-02-09 15:31:03,0.6606479248046876,False,4.0
ASML220211P00610000,610.0,USD,0.41,-1.19,-74.375,43,0.05,1.25,REGULAR,2022-02-11,2022-02-09 15:42:08,0.6694368994140626,False,14.0
