contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
ATVI220211P00035000,35.0,USD,0.09,0.050000004,125.000015,1,1,0.0,2.17,REGULAR,2022-02-11,2022-01-05 15:45:43,6.566408041992188,False
ATVI220211P00050000,50.0,USD,0.45,0.0,0.0,1,1,0.19,2.29,REGULAR,2022-02-11,2021-12-31 15:34:39,4.300785874023436,False
ATVI220211P00055000,55.0,USD,0.55,0.0,0.0,2,2,0.1,0.77,REGULAR,2022-02-11,2021-12-31 20:47:11,2.7851592871093755,False
ATVI220211P00057000,57.0,USD,0.63,0.0,0.0,1,2,0.41,2.86,REGULAR,2022-02-11,2022-01-04 18:33:42,3.674805500488282,False
ATVI220211P00059000,59.0,USD,1.08,-0.01999998,-1.8181801,2,38,0.9,1.41,REGULAR,2022-02-11,2022-01-05 17:07:08,3.0566429833984374,False
ATVI220211P00060000,60.0,USD,1.28,0.14999998,13.274334,3,14,1.05,1.45,REGULAR,2022-02-11,2022-01-05 16:32:25,3.0087915405273433,False
ATVI220211P00063000,63.0,USD,1.97,0.26999998,15.882352,3,12,1.82,2.24,REGULAR,2022-02-11,2022-01-05 15:12:04,3.1406271484375,False
ATVI220211P00065000,65.0,USD,2.38,-0.21999979,-8.461531,2,2,2.53,2.96,REGULAR,2022-02-11,2022-01-05 17:34:51,3.2617205957031246,False
ATVI220211P00067000,67.0,USD,3.56,0.0,0.0,3,74,3.6,3.95,REGULAR,2022-02-11,2022-01-04 19:11:10,3.4736341284179693,False
ATVI220211P00068000,68.0,USD,4.65,0.0,0.0,1,5,4.2,4.5,REGULAR,2022-02-11,2022-01-03 14:45:42,3.5820322949218752,False
ATVI220211P00069000,69.0,USD,4.86,0.26000023,5.652179,1,1,4.65,5.1,REGULAR,2022-02-11,2022-01-05 15:12:04,3.653321179199219,False
ATVI220211P00073000,73.0,USD,7.5,0.0,0.0,1,1,7.3,8.15,REGULAR,2022-02-11,2021-12-31 17:35:45,4.12842280822754,False
