Date,Dividends,Stock Splits
1985-02-01,0.32972,0.0
1985-05-03,0.33169,0.0
1985-08-01,0.32775,0.0
1985-11-01,0.35796,0.0
1986-02-03,0.35796,0.0
1986-05-05,0.36125,0.0
1986-08-01,0.36059,0.0
1986-11-03,0.36256,0.0
1987-02-10,0.38358,0.0
1987-05-04,0.3757,0.0
1987-08-03,0.38227,0.0
1987-11-03,0.38489,0.0
1988-02-02,0.40526,0.0
1988-05-10,0.41248,0.0
1988-08-09,0.41117,0.0
1988-11-08,0.41905,0.0
1989-02-09,0.41971,0.0
1989-05-09,0.41839,0.0
1989-08-09,0.42496,0.0
1989-11-08,0.43218,0.0
1990-02-09,0.42759,0.0
1990-05-10,0.43021,0.0
1990-08-09,0.03806,0.0
1990-11-07,0.43153,0.0
1991-02-11,0.43218,0.0
1991-05-06,0.0,1.642
1991-05-09,0.0625,0.0
1991-05-13,0.0,1.0
1991-08-12,0.0625,0.0
1991-11-08,0.0625,0.0
1992-01-09,0.0625,0.0
1992-02-10,0.0625,0.0
1992-05-11,0.0625,0.0
1992-08-11,0.0625,0.0
1992-11-06,0.0625,0.0
1993-02-08,0.0625,0.0
1993-05-11,0.0625,0.0
1993-08-10,0.0625,0.0
1993-11-08,0.0625,0.0
1994-02-07,0.0625,0.0
1994-05-11,0.0625,0.0
1994-08-15,0.0625,0.0
1994-11-08,0.0625,0.0
1995-02-07,0.0625,0.0
1995-05-22,0.0625,0.0
1995-08-11,0.0625,0.0
1995-11-17,0.0625,0.0
1996-02-14,0.0625,0.0
1996-05-13,0.0625,0.0
1996-08-16,0.06438,0.0
1996-11-13,0.06438,0.0
1997-02-12,0.06438,0.0
1997-05-14,0.06438,0.0
1997-08-20,0.06813,0.0
1997-11-19,0.06813,0.0
1998-02-11,0.06813,0.0
1998-05-13,0.06813,0.0
1998-08-12,0.07188,0.0
1998-11-17,0.07188,0.0
1999-02-10,0.07188,0.0
1999-05-06,0.0,2.0
1999-05-12,0.0755,0.0
1999-08-11,0.07575,0.0
1999-11-17,0.07575,0.0
2000-02-09,0.07575,0.0
2000-05-10,0.08075,0.0
2000-08-09,0.08075,0.0
2000-11-15,0.08075,0.0
2001-02-07,0.0875,0.0
2001-05-16,0.0875,0.0
2001-08-08,0.0875,0.0
2001-11-20,0.0875,0.0
2002-02-11,0.095,0.0
2002-05-15,0.095,0.0
2002-08-07,0.095,0.0
2002-11-18,0.095,0.0
2003-02-12,0.10375,0.0
2003-05-19,0.10375,0.0
2003-08-13,0.10375,0.0
2003-11-12,0.079,0.0
2004-02-11,0.1145,0.0
2004-05-13,0.1145,0.0
2004-08-12,0.1145,0.0
2004-11-10,0.1145,0.0
2005-02-11,0.1,0.0
2005-05-12,0.125,0.0
2005-05-18,0.0,2.0
2005-05-31,0.0,2.0
2005-08-11,0.125,0.0
2005-11-10,0.1215,0.0
2006-02-13,0.1255,0.0
2006-05-11,0.13,0.0
2006-08-11,0.1275,0.0
2006-11-13,0.128,0.0
2007-02-13,0.131,0.0
2007-05-11,0.139,0.0
2007-08-13,0.146,0.0
2007-11-13,0.163,0.0
2008-02-13,0.165,0.0
2008-05-13,0.1645,0.0
2008-08-13,0.154,0.0
2008-11-12,0.141,0.0
2009-02-11,0.1475,0.0
2009-05-13,0.159,0.0
2009-08-13,0.1675,0.0
2009-11-12,0.177,0.0
2010-02-10,0.1985,0.0
2010-05-12,0.2075,0.0
2010-08-11,0.2055,0.0
2010-11-10,0.2125,0.0
2011-02-11,0.2455,0.0
2011-05-11,0.2555,0.0
2011-05-20,0.0,2.0
2011-06-01,0.0,2.0
2011-08-11,0.249,0.0
2011-11-10,0.24,0.0
2012-02-13,0.282,0.0
2012-05-11,0.283,0.0
2012-08-13,0.284,0.0
2012-11-13,0.282,0.0
2013-02-13,0.318,0.0
2013-05-13,0.312,0.0
2013-08-13,0.306,0.0
2013-11-13,0.3,0.0
2014-02-12,0.318,0.0
2014-05-13,0.321,0.0
2014-08-13,0.32,0.0
2014-11-12,0.309,0.0
2015-02-11,0.4,0.0
2015-02-12,0.465,0.0
2015-05-13,0.387,0.0
2015-08-12,0.355,0.0
2015-11-12,0.351,0.0
2016-02-11,0.381,0.0
2016-05-12,0.412,0.0
2016-08-11,0.406,0.0
2016-11-10,0.395,0.0
2017-02-13,0.446,0.0
2017-05-11,0.447,0.0
2017-08-11,0.479,0.0
2017-11-14,0.479,0.0
2018-02-14,0.533,0.0
2018-05-14,0.524,0.0
2018-08-14,0.671,0.0
2018-11-14,0.051,0.0
2019-02-14,0.557,0.0
2019-05-14,0.738,0.0
2019-08-14,0.558,0.0
2019-11-14,0.557,0.0
2020-02-13,0.611,0.0
2020-05-14,0.81,0.0
2020-08-13,0.81,0.0
2020-11-12,0.81,0.0
2021-02-11,0.835,0.0
2021-05-13,0.688,0.0
2021-08-12,0.835,0.0
2021-11-12,0.835,0.0
2022-02-14,0.86,0.0
