Date,Dividends,Stock Splits
1983-04-07,0.0,2.0
1985-02-15,0.0,1.5
1987-01-07,0.0,2.0
1992-12-24,0.00304,0.0
1993-01-11,0.0,2.0
1993-11-24,0.03799,0.0
1994-12-09,0.03799,0.0
1995-11-16,0.0,2.0
1995-12-13,0.07598,0.0
1996-12-04,0.07598,0.0
1997-12-03,0.07598,0.0
1998-12-03,0.01884,0.0
1999-05-24,3.64685,0.0
1999-12-15,0.48017,0.0
2000-12-06,0.07598,0.0
2001-12-05,0.07598,0.0
2002-12-05,0.01915,0.0
2002-12-12,0.2502,0.0
2003-12-17,0.07598,0.0
2004-12-21,0.11396,0.0
2005-01-03,0.0,1.5
2005-12-19,0.11396,0.0
2006-06-15,0.0,2.0
2006-12-14,0.22793,0.0
2007-12-13,0.22793,0.0
2010-12-15,0.22793,0.0
2011-12-14,0.22793,0.0
2012-12-13,0.22793,0.0
2013-02-26,0.0,1.027
2013-03-14,0.05899,0.0
2013-06-13,0.05899,0.0
2013-09-12,0.05899,0.0
2013-12-12,0.05899,0.0
2014-03-13,0.05899,0.0
2014-06-12,0.05899,0.0
2014-09-11,0.05899,0.0
2014-12-11,0.05899,0.0
2015-03-12,0.05899,0.0
2015-06-11,0.05899,0.0
2015-09-10,0.05899,0.0
2015-12-10,0.05899,0.0
2016-03-10,0.05899,0.0
2016-06-09,0.05899,0.0
2016-09-15,0.05899,0.0
2016-12-12,0.05899,0.0
2017-03-16,0.05899,0.0
2017-06-15,0.05899,0.0
2017-09-15,0.09363,0.0
2017-12-12,0.09363,0.0
2018-03-16,0.09363,0.0
2018-06-15,0.09363,0.0
2018-09-14,0.11704,0.0
2018-11-16,0.11704,0.0
2019-02-14,0.11704,0.0
2019-05-17,0.125,0.0
2019-08-16,0.125,0.0
2019-09-27,0.0,1.068
2019-11-15,0.125,0.0
2020-02-13,0.15,0.0
2020-05-15,0.15,0.0
2020-08-14,0.15,0.0
2020-11-12,0.15,0.0
2021-02-11,0.2,0.0
2021-05-14,0.2,0.0
2021-08-13,0.25,0.0
2021-11-12,0.25,0.0
2022-02-11,0.3,0.0
