Date,Dividends,Stock Splits
1986-06-06,0.0,1.5
1989-08-15,0.0,2.0
2004-12-13,0.0625,0.0
2005-03-11,0.0625,0.0
2005-06-13,0.0625,0.0
2005-09-13,0.0625,0.0
2005-12-13,0.0375,0.0
2006-01-06,0.0,2.0
2006-03-13,0.075,0.0
2006-06-13,0.075,0.0
2006-09-13,0.075,0.0
2006-12-13,0.085,0.0
2007-03-13,0.085,0.0
2007-06-13,0.085,0.0
2007-09-13,0.085,0.0
2007-12-12,0.093,0.0
2008-03-13,0.093,0.0
2008-06-12,0.093,0.0
2008-09-11,0.093,0.0
2008-12-11,0.098,0.0
2009-03-12,0.098,0.0
2009-06-15,0.098,0.0
2009-09-11,0.098,0.0
2009-12-11,0.108,0.0
2010-03-11,0.108,0.0
2010-06-11,0.108,0.0
2010-09-13,0.108,0.0
2010-12-13,0.117,0.0
2011-03-11,0.118,0.0
2011-06-13,0.118,0.0
2011-09-13,0.118,0.0
2011-12-13,0.13,0.0
2012-03-13,0.13,0.0
2012-06-13,0.13,0.0
2012-09-12,0.13,0.0
2012-12-07,0.16,0.0
2013-03-07,0.16,0.0
2013-06-11,0.16,0.0
2013-09-12,0.16,0.0
2013-12-18,0.32,0.0
2014-03-12,0.32,0.0
2014-06-11,0.32,0.0
2014-09-11,0.32,0.0
2014-12-19,0.36,0.0
2015-03-11,0.36,0.0
2015-06-11,0.36,0.0
2015-09-11,0.36,0.0
2015-12-18,0.39,0.0
2016-03-11,0.39,0.0
2016-06-13,0.39,0.0
2016-09-13,0.39,0.0
2016-12-19,0.42,0.0
2017-03-13,0.42,0.0
2017-06-19,0.42,0.0
2017-09-13,0.42,0.0
2017-12-12,0.45,0.0
2018-03-14,0.45,0.0
2018-06-13,0.45,0.0
2018-09-13,0.45,0.0
2018-12-17,0.5,0.0
2019-03-13,0.5,0.0
2019-06-11,0.5,0.0
2019-09-18,0.5,0.0
2019-12-19,0.575,0.0
2020-03-16,0.575,0.0
2020-06-12,0.575,0.0
2020-09-28,0.575,0.0
2020-12-18,0.575,0.0
2021-03-19,0.575,0.0
2021-06-18,0.633,0.0
