Date,Dividends,Stock Splits
1994-07-07,0.15,0.0
1995-07-07,0.01267,0.0
1995-07-13,0.0999,0.0
1996-07-09,0.1242,0.0
1997-04-29,0.2655,0.0
1998-01-28,0.0,3.0
1998-04-29,0.022,0.0
1998-06-09,0.1052,0.0
1999-06-09,0.028,0.0
1999-08-13,0.1223,0.0
2000-06-23,0.1419,0.0
2001-04-06,0.1985,0.0
2002-05-06,0.4122,0.0
2004-05-11,0.244,0.0
2005-04-29,0.3037,0.0
2006-06-12,0.3265,0.0
2007-05-10,0.39709,0.0
2008-05-01,0.48457,0.0
2009-04-06,0.548351,0.0
2010-04-21,1.13217,0.0
2011-04-21,2.03654,0.0
2012-05-24,1.9336,0.0
2013-04-26,1.19048,0.0
2013-10-31,1.08209,0.0
2014-04-28,1.10899,0.0
2014-10-31,1.063,0.0
2015-04-30,1.01025,0.0
2015-10-28,0.932203,0.0
2016-04-28,0.938297,0.0
2016-10-27,0.866457,0.0
2017-04-28,0.892961,0.0
2017-11-03,0.871571,0.0
2018-05-01,0.873153,0.0
2018-05-02,0.873153,0.0
2018-10-30,0.829892,0.0
2019-05-03,0.928203,0.0
2019-10-30,0.894,0.0
2020-05-01,1.0,0.0
2020-10-29,1.16928,0.0
2021-04-30,1.24417,0.0
2021-10-29,1.22268,0.0
