Date,Dividends,Stock Splits
2006-09-15,0.382,0.0
2006-12-15,0.234,0.0
2007-03-16,0.269,0.0
2007-06-15,0.554,0.0
2007-09-21,0.468,0.0
2007-12-21,0.963,0.0
2008-06-20,0.164,0.0
2008-09-19,0.34,0.0
2008-12-19,0.578,0.0
2009-03-20,0.177,0.0
2009-06-19,0.126,0.0
2009-09-18,0.112,0.0
2009-12-18,0.043,0.0
2010-03-19,0.08,0.0
2010-06-18,0.093,0.0
2010-09-17,0.096,0.0
2010-12-17,0.095,0.0
2011-03-18,0.077,0.0
2011-06-17,0.098,0.0
2011-09-16,0.122,0.0
2011-12-16,0.141,0.0
2012-03-16,0.097,0.0
2012-06-15,0.117,0.0
2012-09-21,0.122,0.0
2012-12-21,0.229,0.0
2013-03-15,0.099,0.0
2013-06-21,0.144,0.0
2013-09-20,0.151,0.0
2013-12-20,0.162,0.0
2014-03-21,0.119,0.0
2014-06-20,0.167,0.0
2014-09-19,0.166,0.0
2014-12-19,0.199,0.0
2015-03-20,0.154,0.0
2015-06-19,0.183,0.0
2015-09-18,0.182,0.0
2015-12-18,0.234,0.0
2016-03-18,0.171,0.0
2016-06-17,0.201,0.0
2016-09-16,0.193,0.0
2016-12-16,0.21,0.0
2017-03-17,0.174,0.0
2017-06-16,0.199,0.0
2017-09-15,0.206,0.0
2017-12-15,0.246,0.0
2018-03-16,0.204,0.0
2018-06-15,0.242,0.0
2018-09-21,0.287,0.0
2018-12-21,0.319,0.0
2019-03-15,0.259,0.0
2019-06-21,0.332,0.0
2019-09-20,0.33,0.0
2019-12-20,0.365,0.0
2020-03-23,0.337,0.0
2020-06-22,0.354,0.0
2020-09-21,0.357,0.0
2020-12-21,0.395,0.0
2021-03-22,0.339,0.0
2021-06-21,0.324,0.0
