Date,Dividends,Stock Splits
2011-02-01,0.0616,0.0
2011-04-19,0.2725,0.0
2011-07-19,0.29,0.0
2011-10-19,0.3075,0.0
2012-01-19,0.33625,0.0
2012-04-19,0.365,0.0
2012-07-19,0.39375,0.0
2012-10-18,0.4225,0.0
2013-01-24,0.4575,0.0
2013-04-25,0.495,0.0
2013-07-25,0.5325,0.0
2013-10-29,0.57,0.0
2014-01-23,0.6075,0.0
2014-04-24,0.6475,0.0
2014-07-24,0.69,0.0
2014-10-30,0.7325,0.0
2015-01-29,0.775,0.0
2015-04-30,0.83,0.0
2015-07-30,0.875,0.0
2015-10-29,0.91,0.0
2016-01-29,0.91,0.0
2016-04-29,0.91,0.0
2016-07-29,0.91,0.0
2016-10-31,0.91,0.0
2017-01-30,0.91,0.0
2017-04-28,0.91,0.0
2017-07-28,0.91,0.0
2017-10-31,0.91,0.0
2018-01-31,0.91,0.0
2018-04-30,0.91,0.0
2018-07-31,0.91,0.0
2018-10-30,0.91,0.0
2019-01-30,0.91,0.0
2019-04-30,0.91,0.0
2019-07-30,0.91,0.0
2019-10-31,0.91,0.0
2020-01-30,0.91,0.0
2020-04-30,0.1,0.0
2020-07-30,0.1,0.0
2020-10-29,0.1,0.0
2021-01-29,0.1,0.0
2021-04-29,0.1,0.0
2021-07-29,0.1,0.0
2021-10-28,0.1,0.0
2022-01-28,0.35,0.0
