Date,Dividends,Stock Splits
1980-12-15,0.0,1.1
1981-12-11,0.0,1.15
1982-12-10,0.0,1.1
1983-12-12,0.0,1.1
1984-12-11,0.206411,1.1
1985-03-11,0.11346,0.0
1985-06-11,0.11346,0.0
1985-09-10,0.11346,0.0
1985-12-13,0.206494,1.1
1986-03-11,0.12466,0.0
1986-06-10,0.12466,0.0
1986-09-11,0.12466,0.0
1986-12-09,0.06544,0.0
1987-01-05,0.0,1.5
1987-03-12,0.06675,0.0
1987-06-11,0.06675,0.0
1987-09-10,0.06675,0.0
1987-12-08,0.06675,1.05
1988-03-10,0.06675,0.0
1988-03-16,0.13363,0.0
1988-06-13,0.06675,0.0
1988-09-12,0.06675,0.0
1988-12-09,0.06675,1.05
1989-03-13,0.06675,0.0
1989-06-09,0.07853,0.0
1989-09-11,0.07853,0.0
1989-12-08,0.1178,0.0
1990-03-09,0.07853,0.0
1990-06-11,0.07853,0.0
1990-09-11,0.07853,0.0
1990-12-10,0.07853,0.0
1991-03-11,0.07853,0.0
1991-06-10,0.07853,0.0
1991-09-10,0.16501,0.0
1991-12-09,0.07853,1.1
1992-03-06,0.07853,0.0
1992-06-08,0.07853,0.0
1992-09-09,0.07853,0.0
1992-12-08,0.07853,0.0
1993-03-09,0.07853,0.0
1993-06-08,0.18181,0.0
1993-09-09,0.07853,0.0
1993-12-07,0.07853,0.0
1994-03-09,0.18181,0.0
1994-06-08,0.2297,1.1
1994-09-12,0.07853,0.0
1994-12-06,0.07853,0.0
1995-03-09,0.07853,0.0
1995-06-13,0.07853,0.0
1995-09-13,0.07853,0.0
1995-12-08,0.20002,0.0
1995-12-11,0.07068,1.0
1996-03-13,0.07853,0.0
1996-06-12,0.07853,0.0
1996-09-11,0.07853,0.0
1996-12-09,0.07833,1.05
1997-03-12,0.07833,0.0
1997-06-11,0.07833,0.0
1997-09-10,0.07833,0.0
1997-12-09,0.08225,1.05
1998-03-11,0.08225,0.0
1998-06-10,0.08225,0.0
1998-09-09,0.08225,0.0
1998-12-10,0.08658,0.0
1999-03-10,0.08658,0.0
1999-06-09,0.08658,0.0
1999-09-09,0.08658,0.0
1999-12-09,0.08714,1.1
2000-03-08,0.09524,0.0
2000-06-08,0.09524,0.0
2000-09-12,0.09524,0.0
2000-12-08,0.09524,0.0
2001-03-08,0.09524,0.0
2001-06-07,0.09524,0.0
2001-09-11,0.20013,0.0
2001-12-10,0.1,1.05
2002-03-07,0.1,0.0
2002-06-06,0.1,0.0
2002-09-11,0.1,0.0
2002-12-10,0.1,0.0
2003-03-07,0.1,0.0
2003-06-06,0.1,0.0
2003-09-10,0.1,0.0
2003-12-10,0.105,0.0
2004-03-09,0.105,0.0
2004-06-08,0.105,0.0
2004-09-09,0.105,0.0
2004-12-09,0.11,0.0
2005-03-09,0.11,0.0
2005-06-08,0.11,0.0
2005-09-08,0.11,0.0
2005-12-09,0.125,0.0
2006-03-09,0.125,0.0
2006-05-31,0.0,2.0
2006-06-08,0.13,0.0
2006-09-07,0.13,0.0
2006-12-08,0.13,0.0
2007-03-08,0.14,0.0
2007-06-07,0.14,0.0
2007-09-10,0.14,0.0
2007-12-07,0.15,0.0
2008-03-07,0.15,0.0
2008-06-09,0.165,0.0
2008-09-08,0.165,0.0
2008-12-09,0.175,0.0
2009-03-09,0.175,0.0
2009-06-09,0.175,0.0
2009-09-08,0.175,0.0
2009-12-09,0.185,0.0
2010-03-09,0.185,0.0
2010-06-09,0.185,0.0
2010-09-08,0.185,0.0
2010-12-08,0.195,0.0
2011-03-09,0.195,0.0
2011-06-08,0.195,0.0
2011-09-07,0.195,0.0
2011-12-07,0.205,0.0
2012-03-07,0.205,0.0
2012-06-06,0.205,0.0
2012-09-06,0.205,0.0
2012-12-06,0.215,0.0
2013-03-06,0.215,0.0
2013-06-05,0.215,0.0
2013-09-06,0.215,0.0
2013-12-06,0.225,0.0
2014-03-06,0.225,0.0
2014-06-06,0.225,0.0
2014-09-08,0.225,0.0
2014-12-08,0.235,0.0
2015-03-06,0.235,0.0
2015-06-08,0.235,0.0
2015-09-08,0.235,0.0
2015-12-08,0.245,0.0
2016-03-08,0.245,0.0
2016-06-08,0.245,0.0
2016-09-07,0.245,0.0
2016-12-07,0.255,0.0
2017-03-08,0.255,0.0
2017-06-07,0.255,0.0
2017-09-07,0.255,0.0
2017-12-07,0.275,0.0
2018-03-08,0.29,0.0
2018-06-08,0.29,0.0
2018-09-07,0.29,0.0
2018-12-07,0.3,0.0
2019-03-08,0.3,0.0
2019-06-07,0.3,0.0
2019-09-09,0.3,0.0
2019-12-09,0.31,0.0
2020-03-09,0.31,0.0
2020-06-09,0.31,0.0
2020-09-09,0.31,0.0
2020-12-09,0.32,0.0
2021-03-09,0.32,0.0
2021-06-09,0.32,0.0
