Date,Dividends
2005-03-11,0.00375
2005-06-15,0.00375
2005-09-12,0.00375
2005-12-12,0.00375
2006-03-13,0.00375
2006-06-12,0.00375
2006-09-11,0.00375
2006-12-11,0.00375
2007-03-12,0.00375
2007-06-11,0.00375
2007-09-10,0.00375
2007-12-10,0.00375
2008-03-10,0.00375
2008-06-09,0.00375
2008-09-08,0.00375
2008-12-15,0.00375
2009-03-09,0.00375
2009-06-08,0.00375
2009-09-14,0.00375
2009-12-14,0.00375
2010-03-15,0.00375
2010-06-14,0.00375
2010-09-13,0.00375
2010-12-13,0.00375
2011-03-14,0.00375
2011-06-13,0.00375
2011-09-12,0.00375
2011-12-12,0.00375
2012-03-12,0.02625
2012-06-11,0.02625
2012-09-10,0.02625
2012-12-10,0.02625
2013-03-11,0.02625
2013-06-10,0.02625
2013-09-09,0.05
2013-12-09,0.05
2014-03-10,0.05
2014-06-09,0.05
2014-09-08,0.0625
2014-12-03,0.0625
2015-03-09,0.0625
2015-06-08,0.0625
2015-09-04,0.07
2015-12-11,0.07
2016-03-11,0.07
2016-06-10,0.07
2016-09-09,0.07
2016-12-09,0.08
2017-03-16,0.08
2017-06-15,0.08
2017-09-15,0.095
2017-12-15,0.095
2018-03-16,0.095
2018-06-15,0.115
2018-09-14,0.115
2018-12-14,0.115
2019-03-18,0.115
2019-06-18,0.115
2019-09-16,0.125
2019-12-16,0.125
2020-03-16,0.125
2020-06-15,0.125
2020-09-14,0.125
2020-12-14,0.29
2021-03-22,0.29
2021-06-21,0.145
2021-09-20,0.145
2021-12-20,0.2
