Date,Dividends
1984-12-24,0.2656
1985-03-26,0.2656
1985-06-25,0.3008
1985-09-25,0.1504
1985-12-26,0.16
1986-03-25,0.16
1986-06-25,0.1808
1986-09-25,0.0904
1986-12-26,0.1
1987-03-26,0.1
1987-06-25,0.1104
1987-09-25,0.0055
1987-12-28,0.015
1988-03-25,0.015
1988-06-27,0.01625
1988-09-27,0.01625
1988-12-27,0.0175
1989-03-28,0.0175
1989-06-27,0.01875
1989-09-26,0.01875
1989-12-26,0.02
1990-03-27,0.02
1990-06-26,0.02125
1990-09-25,0.02125
1990-12-26,0.0225
1991-03-25,0.0225
1991-06-25,0.02375
1991-09-25,0.02375
1991-12-26,0.02625
1992-03-26,0.02625
1992-06-25,0.0275
1992-09-25,0.0275
1992-12-28,0.03
1993-03-26,0.03
1993-06-25,0.0325
1993-09-27,0.0325
1993-12-28,0.035
1994-03-25,0.035
1994-06-27,0.0375
1994-09-27,0.0375
1994-12-23,0.04
1995-03-28,0.04
1995-06-29,0.0425
1995-09-28,0.0425
1995-12-28,0.045
1996-03-28,0.045
1996-06-27,0.0475
1996-09-26,0.19
1996-09-27,0.0475
1996-12-30,0.05
1997-03-27,0.05
1997-06-27,0.055
1997-09-29,0.055
1997-12-30,0.06
1998-03-30,0.06
1998-06-29,0.065
1998-09-29,0.065
1998-12-30,0.07
1999-03-30,0.07
1999-06-29,0.075
1999-09-29,0.075
1999-12-30,0.08
2000-03-30,0.08
2000-06-29,0.085
2000-09-28,0.085
2000-12-28,0.095
2001-03-29,0.095
2001-06-28,0.1
2001-09-27,0.1
2001-12-28,0.11
2002-03-27,0.11
2002-06-27,0.12
2002-09-27,0.12
2002-12-30,0.13
2003-03-28,0.13
2003-06-27,0.14
2003-09-29,0.14
2003-12-30,0.15
2004-03-30,0.15
2004-06-29,0.16
2004-09-29,0.16
2004-12-30,0.17
2005-03-30,0.17
2005-06-29,0.18
2005-09-29,0.18
2005-12-29,0.19
2006-03-30,0.19
2006-06-29,0.2
2006-09-28,0.2
2006-12-28,0.21
2007-03-29,0.21
2007-06-27,0.22
2007-09-27,0.22
2007-12-28,0.23
2008-03-28,0.23
2008-06-27,0.24
2008-09-29,0.24
2008-12-30,0.24
2009-03-30,0.01
2009-06-29,0.01
2009-09-29,0.01
2009-12-30,0.01
2010-03-30,0.01
2010-06-29,0.01
2010-09-29,0.01
2010-12-30,0.01
2011-03-30,0.18
2011-06-29,0.18
2011-09-29,0.18
2011-12-29,0.18
2012-03-29,0.24
2012-06-28,0.24
2012-09-27,0.24
2012-12-28,0.24
2013-03-27,0.26
2013-06-27,0.26
2013-09-27,0.26
2013-12-30,0.26
2014-03-28,0.26
2014-06-27,0.3
2014-09-29,0.3
2014-12-30,0.3
2015-03-30,0.3
2015-06-29,0.34
2015-09-29,0.34
2015-12-30,0.34
2016-03-30,0.34
2016-06-29,0.34
2016-09-29,0.38
2016-12-29,0.38
2017-03-30,0.38
2017-06-29,0.38
2017-09-29,0.42
2017-12-29,0.42
2018-03-29,0.42
2018-06-29,0.42
2018-09-28,0.47
2018-12-31,0.47
2019-03-29,0.47
2019-06-28,0.47
2019-09-30,0.52
2019-12-31,0.52
2020-03-31,0.52
2020-06-30,0.52
2020-09-30,0.52
2020-12-31,0.52
2021-03-31,0.52
2021-06-30,0.52
2021-09-30,0.57
2021-12-31,0.57
