,info
zip,94103
sector,Consumer Cyclical
fullTimeEmployees,5597
longBusinessSummary,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms and luxury villas. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California."
city,San Francisco
phone,415 510 4027
state,CA
country,United States
companyOfficers,[]
website,https://www.airbnb.com
maxAge,1
address1,888 Brannan Street
industry,Travel Services
ebitdaMargins,-0.48587
profitMargins,-0.80739
grossMargins,0.79877996
operatingCashflow,1669735040
revenueGrowth,0.667
operatingMargins,-0.50794
ebitda,-2584251904
targetLowPrice,140
recommendationKey,buy
grossProfits,2502157000
freeCashflow,2307960832
targetMedianPrice,194.5
currentPrice,174.9
earningsGrowth,0.664
currentRatio,1.863
returnOnAssets,-0.15137
numberOfAnalystOpinions,34
targetMeanPrice,196.29
debtToEquity,54.642
returnOnEquity,-1.3624
targetHighPrice,250
totalCash,7920702976
totalDebt,2430998016
totalRevenue,5318828032
totalCashPerShare,12.649
financialCurrency,USD
revenuePerShare,9.758
quickRatio,1.225
recommendationMean,2.4
exchange,NMS
shortName,"Airbnb, Inc."
longName,"Airbnb, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,ABNB
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_115705393
uuid,403113aa-7838-3345-9d32-d63a5f9da70b
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,18.517
beta3Year,
enterpriseToEbitda,-38.111
52WeekChange,
morningStarRiskRating,
forwardEps,0.93
revenueQuarterlyGrowth,
sharesOutstanding,346824000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,7.111
sharesShort,12548690
sharesPercentSharesOut,0.0198
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.5881
netIncomeToCommon,-4294385920
trailingEps,-7.886
lastDividendValue,
SandP52WeekChange,
priceToBook,24.595695
heldPercentInsiders,0.00219
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,1.91
sharesShortPreviousMonthDate,1636934400
floatShares,332424916
beta,
enterpriseValue,98488967168
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,2.802
priceToSalesTrailing12Months,20.893614
dateShortInterest,1639526400
pegRatio,-2.66
ytdReturn,
forwardPE,188.06451
lastCapGain,
shortPercentOfFloat,0.036199998
sharesShortPriorMonth,15091670
category,
fiveYearAverageReturn,
previousClose,183.6
regularMarketOpen,180.26
twoHundredDayAverage,160.19875
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,182.66
navPrice,
averageDailyVolume10Day,8403840
regularMarketPreviousClose,183.6
fiftyDayAverage,163.6382
trailingAnnualDividendRate,
open,180.26
averageVolume10days,8403840
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,173.66
currency,USD
regularMarketVolume,8848753
lastMarket,
maxSupply,
openInterest,
marketCap,111129534464
volumeAllCurrencies,
strikePrice,
averageVolume,6343200
dayLow,173.66
ask,173.9
askSize,1300
volume,8848753
fiftyTwoWeekHigh,215.49
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,129.71
bid,173.31
tradeable,False
dividendYield,
bidSize,1000
dayHigh,182.66
regularMarketPrice,174.9
preMarketPrice,
logo_url,https://logo.clearbit.com/airbnb.com
