,info
zip,43219
sector,Financial Services
fullTimeEmployees,8000
longBusinessSummary,"Alliance Data Systems Corporation provides data-driven marketing, loyalty, and payment solutions in the United States, Canada, Europe, the Middle East, Africa, the Asia Pacific, and internationally. It operates through two segments, LoyaltyOne and Card Services. The LoyaltyOne segment offers AIR MILES reward program; short term loyalty program; and loyalty services, which include loyalty consulting, customer analytics, creative services, and mobile solutions. The Card Services segment provides receivable financing services comprising underwriting and risk management, as well as receivables funding services, including comenity card, private label and co-brand credit card programs, and installment lending; processing services, such as new account processing, bill processing, remittance processing, and customer care; marketing services; and digital offerings, including Bread digital payments platform and enhanced digital suite. It serves clients across various end-markets, including financial services, specialty retail, grocery and drugstore chains, petroleum retail, home furnishing and hardware, beauty and jewelry, hospitality and travel, and telecommunications. Alliance Data Systems Corporation was founded in 1996 and is headquartered in Columbus, Ohio."
city,Columbus
phone,614-729-4000
state,OH
country,United States
companyOfficers,[]
website,https://www.alliancedata.com
maxAge,1
address1,3075 Loyalty Circle
industry,Credit Services
ebitdaMargins,0.3375
profitMargins,0.1847
grossMargins,0.34030998
operatingCashflow,1602099968
revenueGrowth,0.046
operatingMargins,0.30842
ebitda,1453400064
targetLowPrice,81
recommendationKey,buy
grossProfits,707100000
freeCashflow,1467212544
targetMedianPrice,114
currentPrice,70.5
earningsGrowth,0.602
currentRatio,1.499
returnOnAssets,0.03828
numberOfAnalystOpinions,15
targetMeanPrice,112.4
debtToEquity,778.407
returnOnEquity,0.4914
targetHighPrice,145
totalCash,3172199936
totalDebt,17479899136
totalRevenue,4306400256
totalCashPerShare,63.718
financialCurrency,USD
revenuePerShare,87.351
quickRatio,1.36
recommendationMean,2.1
exchange,NYQ
shortName,Alliance Data Systems Corporati
longName,Alliance Data Systems Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,ADS
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_24604
uuid,f657a47b-bdb9-3f97-b641-38eb933d13cb
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.143
beta3Year,
enterpriseToEbitda,12.276
52WeekChange,
morningStarRiskRating,
forwardEps,12.62
revenueQuarterlyGrowth,
sharesOutstanding,49785100
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,45.092
sharesShort,3460687
sharesPercentSharesOut,0.0695
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.94707
netIncomeToCommon,876700032
trailingEps,16.04
lastDividendValue,
SandP52WeekChange,
priceToBook,1.5634702
heldPercentInsiders,0.00441
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,3.95
sharesShortPreviousMonthDate,1636934400
floatShares,44784693
beta,2.353246
enterpriseValue,17841944576
priceHint,2
threeYearAverageReturn,
lastSplitDate,1149552000
lastSplitFactor,1:4
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,0.678
priceToSalesTrailing12Months,0.815031
dateShortInterest,1639526400
pegRatio,0.23
ytdReturn,
forwardPE,5.586371
lastCapGain,
shortPercentOfFloat,0.0696
sharesShortPriorMonth,3392500
category,
fiveYearAverageReturn,
previousClose,70.38
regularMarketOpen,70.03
twoHundredDayAverage,77.665436
trailingAnnualDividendYield,0.011935209
payoutRatio,0.0477
volume24Hr,
regularMarketDayHigh,71.29
navPrice,
averageDailyVolume10Day,774640
regularMarketPreviousClose,70.38
fiftyDayAverage,69.3886
trailingAnnualDividendRate,0.84
open,70.03
averageVolume10days,774640
expireDate,
algorithm,
dividendRate,0.84
exDividendDate,1636502400
circulatingSupply,
startDate,
regularMarketDayLow,69.6
currency,USD
trailingPE,4.395262
regularMarketVolume,669575
lastMarket,
maxSupply,
openInterest,
marketCap,3509849600
volumeAllCurrencies,
strikePrice,
averageVolume,955603
dayLow,69.6
ask,70.5
askSize,2200
volume,669575
fiftyTwoWeekHigh,102.282524
fromCurrency,
fiveYearAvgDividendYield,1.66
fiftyTwoWeekLow,62.49
bid,70.86
tradeable,False
dividendYield,0.0117999995
bidSize,800
dayHigh,71.29
regularMarketPrice,70.5
preMarketPrice,
logo_url,https://logo.clearbit.com/alliancedata.com
