,info
zip,85284
sector,Technology
longBusinessSummary,"Amkor Technology, Inc. provides outsourced semiconductor packaging and test services in the United States, Japan, Europe, the Middle East, Africa, and rest of the Asia Pacific. It offers turnkey packaging and test services, including semiconductor wafer bump, wafer probe, wafer back-grind, package design, packaging, and test and drop shipment services. The company also provides flip chip scale package products for use in smartphones, tablets, and other mobile consumer electronic devices; flip chip stacked chip scale packages that are used to stack memory, and as applications processors in mobile devices; and flip chip ball grid array products for various networking, storage, computing, and consumer applications. In addition, it offers wafer-level CSP packages that are used in power management, transceivers, sensors, wireless charging, codecs, and specialty silicon; wafer-level fan-out packages for use in ICs; and silicon wafer integrated fan-out technology, which replaces a laminate substrate with a thinner structure. Further, the company provides lead frame packages that are used in electronic devices for low to medium pin count applications; substrate-based wirebond packages, which are used to connect a die to a substrate; micro-electro-mechanical systems (MEMS) packages that are miniaturized mechanical and electro-mechanical devices; and advanced system-in-package modules, which are used in radio frequency and front end modules, basebands, connectivity, fingerprint sensors, display and touch screen drivers, sensors and MEMS, and NAND memory and solid state drives. It primarily serves integrated device manufacturers, fabless semiconductor companies, original equipment manufacturers, and contract foundries. Amkor Technology, Inc. was founded in 1968 and is headquartered in Tempe, Arizona."
city,Tempe
phone,480 821 5000
state,AZ
country,United States
companyOfficers,[]
website,https://amkor.com
maxAge,1
address1,2045 East Innovation Circle
fax,480 821 8276
industry,Semiconductors
ebitdaMargins,0.21619
profitMargins,0.10475001
grossMargins,0.19965
operatingCashflow,1121294976
revenueGrowth,0.258
operatingMargins,0.12437
ebitda,1327015040
targetLowPrice,26
recommendationKey,buy
grossProfits,1225554000
freeCashflow,109524128
targetMedianPrice,26
currentPrice,23.46
earningsGrowth,0.683
currentRatio,1.701
returnOnAssets,0.08628
numberOfAnalystOpinions,1
targetMeanPrice,26
debtToEquity,43.268
returnOnEquity,0.24240999
targetHighPrice,26
totalCash,1078274048
totalDebt,1286166016
totalRevenue,6138329088
totalCashPerShare,4.414
financialCurrency,USD
revenuePerShare,25.17
quickRatio,1.391
recommendationMean,2.5
exchange,NMS
shortName,"Amkor Technology, Inc."
longName,"Amkor Technology, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,AMKR
messageBoardId,finmb_124219
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.972
beta3Year,
enterpriseToEbitda,4.498
52WeekChange,-0.011794448
morningStarRiskRating,
forwardEps,2.8
revenueQuarterlyGrowth,
sharesOutstanding,244598000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,12.045
sharesShort,4042021
sharesPercentSharesOut,0.0165
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.39867002
netIncomeToCommon,642995008
trailingEps,2.62
lastDividendValue,0.05
SandP52WeekChange,0.12185478
priceToBook,1.9476961
heldPercentInsiders,0.64369005
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,4.19
sharesShortPreviousMonthDate,1640908800
floatShares,71619084
beta,1.533068
enterpriseValue,5968665600
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1638748800
morningStarOverallRating,
earningsQuarterlyGrowth,0.709
priceToSalesTrailing12Months,0.93482584
dateShortInterest,1643587200
pegRatio,0.49
ytdReturn,
forwardPE,8.3785715
lastCapGain,
shortPercentOfFloat,0.0398
sharesShortPriorMonth,5286016
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,24.19
regularMarketOpen,24.33
twoHundredDayAverage,23.622
trailingAnnualDividendYield,0.0070276973
payoutRatio,0.064899996
volume24Hr,
regularMarketDayHigh,24.35
navPrice,
averageDailyVolume10Day,1521580
regularMarketPreviousClose,24.19
fiftyDayAverage,22.9814
trailingAnnualDividendRate,0.17
open,24.33
toCurrency,
averageVolume10days,1521580
expireDate,
algorithm,
dividendRate,0.2
exDividendDate,1646006400
circulatingSupply,
startDate,
regularMarketDayLow,23.22
currency,USD
trailingPE,8.954199
regularMarketVolume,931515
lastMarket,
maxSupply,
openInterest,
marketCap,5738268672
volumeAllCurrencies,
strikePrice,
averageVolume,1022525
dayLow,23.22
ask,24
askSize,2200
volume,931515
fiftyTwoWeekHigh,29.5
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,18.04
bid,23
tradeable,False
dividendYield,0.0083
bidSize,800
dayHigh,24.35
regularMarketPrice,23.46
preMarketPrice,
logo_url,https://logo.clearbit.com/amkor.com
