,info
zip,N2K 0A7
sector,Technology
fullTimeEmployees,3497
longBusinessSummary,"BlackBerry Limited provides intelligent security software and services to enterprises and governments worldwide. The company leverages artificial intelligence and machine learning to deliver solutions in the areas of cybersecurity, safety, and data privacy; and endpoint security management, encryption, and embedded systems. It offers BlackBerry Spark software platform that includes a suite of security software products and services comprising BlackBerry UEM, BlackBerry Dynamics, and BlackBerry Workspaces solutions; and BlackBerry Spark SDK to promote the evolution of a platform ecosystem by enabling enterprise and independent software vendor developers to integrate the security features of BlackBerry Spark into their own mobile and web applications. The company also provides BlackBerry Internet of Things (IoT) solutions, including BlackBerry QNX, BlackBerry Certicom, BlackBerry Radar, BlackBerry Jarvis, BlackBerry AtHoc, BlackBerry Alert, SecuSUITE, and other IoT applications. As of February 28, 2021, it owned approximately 38,000 worldwide patents and applications. The company has a partnership with the University of Windsor to develop and deliver a cybersecurity curriculum for the university's graduate master's program in applied computing; and an agreement with Amazon Web Services, Inc. to develop and market BlackBerry's IVY, an intelligent vehicle data platform. It has a partnership with Okta, Inc. The company was formerly known as Research In Motion Limited and changed its name to BlackBerry Limited in July 2013. BlackBerry Limited was incorporated in 1984 and is headquartered in Waterloo, Canada."
city,Waterloo
state,ON
country,Canada
companyOfficers,[]
website,https://www.blackberry.com
maxAge,1
address1,2200 University Avenue East
industry,Software—Infrastructure
ebitdaMargins,-0.04038
profitMargins,-0.60161
grossMargins,0.66622
operatingCashflow,15000000
revenueGrowth,-0.156
operatingMargins,-0.29744
ebitda,-30000000
targetLowPrice,4.5
recommendationKey,underperform
grossProfits,643000000
freeCashflow,111500000
targetMedianPrice,9
currentPrice,6.65
earningsGrowth,
currentRatio,2.271
returnOnAssets,-0.05051
numberOfAnalystOpinions,7
targetMeanPrice,8.29
debtToEquity,55.397
returnOnEquity,-0.2792
targetHighPrice,10
totalCash,713000000
totalDebt,775000000
totalRevenue,743000000
totalCashPerShare,1.243
financialCurrency,USD
revenuePerShare,1.308
quickRatio,2.144
recommendationMean,3.9
exchange,NYQ
shortName,BlackBerry Limited
longName,BlackBerry Limited
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,BB
messageBoardId,finmb_399960
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.218
beta3Year,
enterpriseToEbitda,-129.231
52WeekChange,-0.37734085
morningStarRiskRating,
forwardEps,-0.03
revenueQuarterlyGrowth,
sharesOutstanding,573676032
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,2.439
sharesShort,34590121
sharesPercentSharesOut,0.060300004
fundFamily,
lastFiscalYearEnd,1614470400
heldPercentInstitutions,0.41849
netIncomeToCommon,-447000000
trailingEps,-0.863
lastDividendValue,
SandP52WeekChange,0.12185478
priceToBook,2.7265275
heldPercentInsiders,0.010880001
nextFiscalYearEnd,1677542400
yield,
mostRecentQuarter,1638230400
shortRatio,3.93
sharesShortPreviousMonthDate,1640908800
floatShares,517226184
beta,1.083599
enterpriseValue,3876944640
priceHint,2
threeYearAverageReturn,
lastSplitDate,1187654400
lastSplitFactor,3:1
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,5.1578765
dateShortInterest,1643587200
pegRatio,2.45
ytdReturn,
forwardPE,-221.66667
lastCapGain,
shortPercentOfFloat,0.0683
sharesShortPriorMonth,33999823
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,6.83
regularMarketOpen,6.85
twoHundredDayAverage,10.1292
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,6.945
navPrice,
averageDailyVolume10Day,6844340
regularMarketPreviousClose,6.83
fiftyDayAverage,8.4178
trailingAnnualDividendRate,0
open,6.85
toCurrency,
averageVolume10days,6844340
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,6.64
currency,USD
regularMarketVolume,7531122
lastMarket,
maxSupply,
openInterest,
marketCap,3832302080
volumeAllCurrencies,
strikePrice,
averageVolume,8750367
dayLow,6.64
ask,6.69
askSize,21500
volume,7531122
fiftyTwoWeekHigh,20.17
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,6.64
bid,6.65
tradeable,False
dividendYield,
bidSize,3200
dayHigh,6.945
regularMarketPrice,6.65
preMarketPrice,
logo_url,https://logo.clearbit.com/blackberry.com
