,info
zip,33139-3024
sector,Industrials
fullTimeEmployees,90
longBusinessSummary,"Blink Charging Co., through its subsidiaries, owns, operates, and provides electric vehicle (EV) charging equipment and networked EV charging services in the United States. The company offers residential and commercial EV charging equipment that enable EV drivers to recharge at various location types. It also provides Blink Network, a cloud-based system that operates, maintains, and tracks various Blink charging stations and associated charging data, back-end operations, and payment processing, as well as provides property owners, managers, parking companies, and state and municipal entities with cloud-based services that enable the remote monitoring and management of EV charging stations; and provides EV drivers with station information, including station location, availability, and applicable fees. In addition, the company provides EV charging hardware, software services, and service plans. It has strategic partnerships across transit/destination locations, including airports, auto dealers, healthcare/medicals, hotels, mixed-use, municipal locations, multifamily residential and condos, parks and recreation areas, parking lots, religious institutions, restaurants, retailers, schools and universities, stadiums, supermarkets, transportation hubs, and workplace locations. The company offers its services through field sales force and resellers, as well as sells residential Level 2 chargers through various internet channels. As of December 31, 2020, it deployed approximately 16,617 EV charging stations. Blink Charging Co. was founded in 2009 and is headquartered in Miami Beach, Florida."
city,Miami Beach
phone,305 521 0200
state,FL
country,United States
companyOfficers,[]
website,https://www.blinkcharging.com
maxAge,1
address1,605 Lincoln Road
industry,Engineering & Construction
address2,5th Floor
ebitdaMargins,-2.65413
profitMargins,-2.85474
grossMargins,0.20263
operatingCashflow,-37865952
revenueGrowth,6.066
operatingMargins,-2.78393
ebitda,-40988360
targetLowPrice,25
recommendationKey,buy
grossProfits,1861328
freeCashflow,-24511336
targetMedianPrice,40
currentPrice,23.55
earningsGrowth,
currentRatio,15.624
returnOnAssets,-0.20495
numberOfAnalystOpinions,7
targetMeanPrice,39.29
debtToEquity,1.175
returnOnEquity,-0.36646998
targetHighPrice,50
totalCash,186730000
totalDebt,2637000
totalRevenue,15443231
totalCashPerShare,4.425
financialCurrency,USD
revenuePerShare,0.389
quickRatio,14.984
recommendationMean,2.4
exchange,NCM
shortName,Blink Charging Co. Common Stock
longName,Blink Charging Co.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,BLNK
messageBoardId,finmb_83115902
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,52.432
beta3Year,
enterpriseToEbitda,-19.755
52WeekChange,-0.44273543
morningStarRiskRating,
forwardEps,-1.46
revenueQuarterlyGrowth,
sharesOutstanding,42200100
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,5.317
sharesShort,14939240
sharesPercentSharesOut,0.354
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.40677
netIncomeToCommon,-44086468
trailingEps,-1.114
lastDividendValue,
SandP52WeekChange,0.12185478
priceToBook,4.429189
heldPercentInsiders,0.1388
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,6.95
sharesShortPreviousMonthDate,1640908800
floatShares,36442698
beta,3.993535
enterpriseValue,809718208
priceHint,2
threeYearAverageReturn,
lastSplitDate,1503964800
lastSplitFactor,1:50
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,64.352615
dateShortInterest,1643587200
pegRatio,
ytdReturn,
forwardPE,-16.130136
lastCapGain,
shortPercentOfFloat,0.4104
sharesShortPriorMonth,13848157
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,24.19
regularMarketOpen,24.0634
twoHundredDayAverage,31.47135
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,24.35
navPrice,
averageDailyVolume10Day,1327530
regularMarketPreviousClose,24.19
fiftyDayAverage,24.592
trailingAnnualDividendRate,0
open,24.0634
toCurrency,
averageVolume10days,1327530
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,23.03
currency,USD
regularMarketVolume,924392
lastMarket,
maxSupply,
openInterest,
marketCap,993812352
volumeAllCurrencies,
strikePrice,
averageVolume,1944925
dayLow,23.03
ask,23.39
askSize,800
volume,924392
fiftyTwoWeekHigh,49
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,17.93
bid,23.05
tradeable,False
dividendYield,
bidSize,2200
dayHigh,24.35
regularMarketPrice,23.55
preMarketPrice,
logo_url,https://logo.clearbit.com/blinkcharging.com
