,info
zip,04543-011
sector,Financial Services
fullTimeEmployees,49286
longBusinessSummary,"Banco Santander (Brasil) S.A. provides various banking products and services to individuals, small and medium enterprises, and corporate customers in Brazil and internationally. The company operates in two segments, Commercial Banking and Global Wholesale Banking. It offers deposits and other bank funding instruments; debit and credit cards; digital pre-paid solutions; payment platform; loyalty programs; employee benefit vouchers; payroll loans; digital lending and online debt renegotiation services; mortgages; home equity financing products; consumer credit; and local loans, commercial and trade finance, guarantees, structured loans, and cash management and funding solutions, as well as on-lending transfer services. It also provides funding and financial advisory services related to projects, origination and distribution of fixed-income securities in the debt capital markets, financing of acquisitions and syndicated loans, other structured financing arrangements, and subordinated debt and energy efficiency transactions; advisory services for mergers and acquisitions, and equity capital markets transactions; and stock brokerage and advisory, equity, and equity research services. In addition, the company structures and offers foreign exchange, derivative, and investment products for institutional investors, and corporate and retail customers; and provides market making services. Further, it offers instant payment services; range of products and services focused on the agribusiness sector; microfinance services; and online automotive listing and digital car insurance solutions, as well as digital trading platform. The company provides its financial services and products to its customers through multichannel distribution network comprising branches, mini-branches, ATMs, call centers, Internet banking, and mobile banking. Banco Santander (Brasil) S.A. was incorporated in 1985 and is headquartered in SÃ£o Paulo, Brazil."
city,SÃ£o Paulo
phone,55 11 3553 3300
state,SP
country,Brazil
companyOfficers,[]
website,https://www.santander.com.br
maxAge,1
address1,Av. Pres Juscelino Kubitschek
industry,Banks—Regional
address2,2041 & 2235 Building A Vila OlImpia
ebitdaMargins,0
profitMargins,0.30083
grossMargins,0
operatingCashflow,4307033088
revenueGrowth,-0.076
operatingMargins,0.63332003
ebitda,
targetLowPrice,6
recommendationKey,hold
grossProfits,30355937000
freeCashflow,
targetMedianPrice,7.7
currentPrice,5.99
earningsGrowth,0.014
currentRatio,
returnOnAssets,0.01704
numberOfAnalystOpinions,6
targetMeanPrice,7.57
debtToEquity,
returnOnEquity,0.14929
targetHighPrice,10
totalCash,107168907264
totalDebt,264762212352
totalRevenue,51918749696
totalCashPerShare,28.705
financialCurrency,BRL
revenuePerShare,13.896
quickRatio,
recommendationMean,2.7
exchange,NYQ
shortName,Banco Santander Brasil SA
longName,Banco Santander (Brasil) S.A.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,BSBR
messageBoardId,finmb_34120227
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.485
beta3Year,
enterpriseToEbitda,
52WeekChange,-0.16981131
morningStarRiskRating,
forwardEps,0.84
revenueQuarterlyGrowth,
sharesOutstanding,7467019776
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,28.27
sharesShort,2965647
sharesPercentSharesOut,0.0004
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.06758
netIncomeToCommon,15618930688
trailingEps,0.794
lastDividendValue,0.012
SandP52WeekChange,0.15643954
priceToBook,0.21188538
heldPercentInsiders,0
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,3.11
sharesShortPreviousMonthDate,1639526400
floatShares,371627066
beta,0.949843
enterpriseValue,180929445888
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1641772800
morningStarOverallRating,
earningsQuarterlyGrowth,0.015
priceToSalesTrailing12Months,0.8614893
dateShortInterest,1642118400
pegRatio,0.67
ytdReturn,
forwardPE,7.1309524
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,3141603
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,6.16
regularMarketOpen,6.07
twoHundredDayAverage,6.97485
trailingAnnualDividendYield,0.2569805
payoutRatio,1.1391001
volume24Hr,
regularMarketDayHigh,6.061
navPrice,
averageDailyVolume10Day,1297140
regularMarketPreviousClose,6.16
fiftyDayAverage,5.7276
trailingAnnualDividendRate,1.583
open,6.07
toCurrency,
averageVolume10days,1297140
expireDate,
algorithm,
dividendRate,0.54
exDividendDate,1641772800
circulatingSupply,
startDate,
regularMarketDayLow,5.98
currency,USD
trailingPE,7.5440803
regularMarketVolume,548232
lastMarket,
maxSupply,
openInterest,
marketCap,44727447552
volumeAllCurrencies,
strikePrice,
averageVolume,965432
dayLow,5.98
ask,6
askSize,3200
volume,548232
fiftyTwoWeekHigh,9.27
fromCurrency,
fiveYearAvgDividendYield,4.69
fiftyTwoWeekLow,5.19
bid,5.99
tradeable,False
dividendYield,0.0874
bidSize,3200
dayHigh,6.061
regularMarketPrice,5.99
preMarketPrice,6.06
logo_url,https://logo.clearbit.com/santander.com.br
