,info
zip,10154
sector,Real Estate
longBusinessSummary,"Blackstone Mortgage Trust, Inc., a real estate finance company, originates senior loans collateralized by commercial properties in North America, Europe, and Australia. The company operates as a real estate investment trust for federal income tax purposes. It generally would not be subject to U.S. federal income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was formerly known as Capital Trust, Inc. and changed its name to Blackstone Mortgage Trust, Inc. in May 2013. Blackstone Mortgage Trust, Inc. was founded in 1997 and is headquartered in New York, New York."
city,New York
phone,212 655 0220
state,NY
country,United States
companyOfficers,[]
website,https://www.blackstonemortgagetrust.com
maxAge,1
address1,345 Park Avenue
fax,212 655 0044
industry,REIT—Mortgage
address2,24th Floor
ebitdaMargins,0
profitMargins,0.75621
grossMargins,1
operatingCashflow,382483008
revenueGrowth,0.426
operatingMargins,0.76252997
ebitda,
targetLowPrice,33
recommendationKey,buy
grossProfits,554331000
freeCashflow,
targetMedianPrice,34.5
currentPrice,31.82
earningsGrowth,0.341
currentRatio,127.513
returnOnAssets,0.021289999
numberOfAnalystOpinions,6
targetMeanPrice,34.67
debtToEquity,386.669
returnOnEquity,0.09909
targetHighPrice,38
totalCash,581684992
totalDebt,17859110912
totalRevenue,554331008
totalCashPerShare,3.45
financialCurrency,USD
revenuePerShare,3.658
quickRatio,127.507
recommendationMean,2.3
exchange,NYQ
shortName,"Blackstone Mortgage Trust, Inc."
longName,"Blackstone Mortgage Trust, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,BXMT
messageBoardId,finmb_258279
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,40.902
beta3Year,
enterpriseToEbitda,
52WeekChange,0.10486114
morningStarRiskRating,
forwardEps,2.59
revenueQuarterlyGrowth,
sharesOutstanding,168608000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,27.281
sharesShort,5940024
sharesPercentSharesOut,0.0353
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.56283003
netIncomeToCommon,419192992
trailingEps,2.767
lastDividendValue,0.62
SandP52WeekChange,0.12185478
priceToBook,1.1663796
heldPercentInsiders,0.00968
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,4.62
sharesShortPreviousMonthDate,1640908800
floatShares,166610065
beta,1.336648
enterpriseValue,22673057792
priceHint,2
threeYearAverageReturn,
lastSplitDate,1367884800
lastSplitFactor,1:10
legalType,
lastDividendDate,1640822400
morningStarOverallRating,
earningsQuarterlyGrowth,0.482
priceToSalesTrailing12Months,9.678525
dateShortInterest,1643587200
pegRatio,5.81
ytdReturn,
forwardPE,12.285714
lastCapGain,
shortPercentOfFloat,0.0356
sharesShortPriorMonth,5605982
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,31.78
regularMarketOpen,31.68
twoHundredDayAverage,31.76225
trailingAnnualDividendYield,0.0780365
payoutRatio,0.8953
volume24Hr,
regularMarketDayHigh,32.15
navPrice,
averageDailyVolume10Day,1593550
regularMarketPreviousClose,31.78
fiftyDayAverage,31.0934
trailingAnnualDividendRate,2.48
open,31.68
toCurrency,
averageVolume10days,1593550
expireDate,
algorithm,
dividendRate,2.48
exDividendDate,1640822400
circulatingSupply,
startDate,
regularMarketDayLow,31.68
currency,USD
trailingPE,11.49982
regularMarketVolume,1206629
lastMarket,
maxSupply,
openInterest,
marketCap,5365106688
volumeAllCurrencies,
strikePrice,
averageVolume,1566219
dayLow,31.68
ask,32.05
askSize,800
volume,1206629
fiftyTwoWeekHigh,34.04
fromCurrency,
fiveYearAvgDividendYield,8.11
fiftyTwoWeekLow,28.24
bid,31.5
tradeable,False
dividendYield,0.0779
bidSize,800
dayHigh,32.15
regularMarketPrice,31.82
preMarketPrice,
logo_url,https://logo.clearbit.com/blackstonemortgagetrust.com
