,info
zip,60015
sector,Industrials
fullTimeEmployees,107700
longBusinessSummary,"Caterpillar Inc. manufactures and sells construction and mining equipment, diesel and natural gas engines, and industrial gas turbines worldwide. Its Construction Industries segment offers asphalt pavers, backhoe loaders, compactors, cold planers, compact track and multi-terrain loaders, excavators, motorgraders, pipelayers, road reclaimers, site prep tractors, skid steer loaders, telehandlers, and utility vehicles; mini, small, medium, and large excavators; compact, small, and medium wheel loaders; track-type tractors and loaders; and wheel excavators. The Resource Industries segment provides electric rope shovels, draglines, hydraulic shovels, rotary drills, hard rock vehicles, track-type tractors, mining trucks, longwall miners, wheel loaders, off-highway trucks, articulated trucks, wheel tractor scrapers, wheel dozers, fleet management, landfill compactors, soil compactors, machinery components, autonomous ready vehicles and solutions, select work tools, and safety services and mining performance solutions. The Energy & Transportation segment offers reciprocating engines, generator sets, integrated systems and solutions, turbines and turbine-related services, remanufactured reciprocating engines and components, centrifugal gas compressors, diesel-electric locomotives and components, and other rail-related products and services for marine, oil and gas, industrial, and electric power generation sectors. The company's Financial Products segment provides operating and finance leases, installment sale contracts, working capital loans, and wholesale financing plans; and insurance and risk management products for vehicles, power generation facilities, and marine vessels. The All Other operating segment manufactures filters and fluids, undercarriage, ground engaging tools, etc. The company was formerly known as Caterpillar Tractor Co. and changed its name to Caterpillar Inc. in 1986. The company was founded in 1925 and is headquartered in Deerfield, Illinois."
city,Deerfield
phone,224-551-4000
state,IL
country,United States
companyOfficers,[]
website,https://www.caterpillar.com
maxAge,1
address1,510 Lake Cook Road
industry,Farm & Heavy Construction Machinery
address2,Suite 100
ebitdaMargins,0.2068
profitMargins,0.12731
grossMargins,0.25875
operatingCashflow,7198000128
revenueGrowth,0.228
operatingMargins,0.16233
ebitda,10540999680
targetLowPrice,171.87
recommendationKey,hold
grossProfits,13189000000
freeCashflow,5987250176
targetMedianPrice,171.87
currentPrice,191.95
earningsGrowth,1.764
currentRatio,1.456
returnOnAssets,0.06419
numberOfAnalystOpinions,1
targetMeanPrice,171.87
debtToEquity,232.78
returnOnEquity,0.40715998
targetHighPrice,171.87
totalCash,8428000256
totalDebt,38445998080
totalRevenue,50971000832
totalCashPerShare,15.727
financialCurrency,USD
revenuePerShare,93.697
quickRatio,0.884
recommendationMean,3
exchange,NYQ
shortName,"Caterpillar, Inc."
longName,Caterpillar Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,CAT
messageBoardId,finmb_259378
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.608
beta3Year,
enterpriseToEbitda,12.609
52WeekChange,-0.119737685
morningStarRiskRating,
forwardEps,12.77
revenueQuarterlyGrowth,
sharesOutstanding,540942016
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,30.76
sharesShort,6071720
sharesPercentSharesOut,0.0112
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.68975997
netIncomeToCommon,6488999936
trailingEps,11.83
lastDividendValue,1.11
SandP52WeekChange,0.12185478
priceToBook,6.240247
heldPercentInsiders,0.00198
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,1.4
sharesShortPreviousMonthDate,1640908800
floatShares,534521536
beta,0.897563
enterpriseValue,132913709056
priceHint,2
threeYearAverageReturn,
lastSplitDate,1121299200
lastSplitFactor,2:1
legalType,
lastDividendDate,1642550400
morningStarOverallRating,
earningsQuarterlyGrowth,1.718
priceToSalesTrailing12Months,2.0371156
dateShortInterest,1643587200
pegRatio,0.92
ytdReturn,
forwardPE,15.0313225
lastCapGain,
shortPercentOfFloat,0.0112
sharesShortPriorMonth,4764235
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,194.74
regularMarketOpen,193.36
twoHundredDayAverage,210.7225
trailingAnnualDividendYield,0.022388827
payoutRatio,0.36180001
volume24Hr,
regularMarketDayHigh,195.62
navPrice,
averageDailyVolume10Day,3173730
regularMarketPreviousClose,194.74
fiftyDayAverage,208.38
trailingAnnualDividendRate,4.36
open,193.36
toCurrency,
averageVolume10days,3173730
expireDate,
algorithm,
dividendRate,4.44
exDividendDate,1642550400
circulatingSupply,
startDate,
regularMarketDayLow,191.175
currency,USD
trailingPE,16.225697
regularMarketVolume,4211329
lastMarket,
maxSupply,
openInterest,
marketCap,103833821184
volumeAllCurrencies,
strikePrice,
averageVolume,3510404
dayLow,191.175
ask,192.9
askSize,800
volume,4211329
fiftyTwoWeekHigh,246.69
fromCurrency,
fiveYearAvgDividendYield,2.5
fiftyTwoWeekLow,186.98
bid,191.2
tradeable,False
dividendYield,0.0231
bidSize,900
dayHigh,195.62
regularMarketPrice,191.95
preMarketPrice,
logo_url,https://logo.clearbit.com/caterpillar.com
