,info
zip,8001
sector,Financial Services
fullTimeEmployees,31000
longBusinessSummary,"Chubb Limited provides insurance and reinsurance products worldwide. The company's North America Commercial P&C Insurance segment offers commercial property, casualty, workers' compensation, package policies, risk management, financial lines, marine, construction, environmental, medical, cyber risk, surety, and excess casualty; and group accident and health insurance to large, middle market, and small commercial businesses. Its North America Personal P&C Insurance segment provides affluent and high net worth individuals and families with homeowners, automobile and collector cars, valuable articles, personal and excess liability, travel insurance, and recreational marine insurance and services. The company's North America Agricultural Insurance segment offers multiple peril crop and crop-hail insurance; and coverage for farm and ranch property, and commercial agriculture products. Its Overseas General Insurance segment provides coverage for traditional commercial property and casualty; specialty categories, such as financial lines, marine, energy, aviation, political risk, and construction risk; and group accident and health, and traditional and specialty personal lines for corporations, middle markets, and small customers through retail brokers, agents, and other channels. The company's Global Reinsurance segment offers traditional and specialty reinsurance under the Chubb Tempest Re brand to property and casualty companies. Its Life Insurance segment provides protection and savings products comprising whole life, endowment plans, individual term life, group term life, medical and health, personal accident, credit life, universal life, and unit linked contracts. Chubb has collaboration with Marsh to secure insurance coverage for the COVAX no-fault compensation program. The company was formerly known as ACE Limited and changed its name to Chubb Limited in January 2016. Chubb Limited was incorporated in 1985 and is headquartered in Zurich, Switzerland."
city,Zurich
phone,41 43 456 76 00
country,Switzerland
companyOfficers,[]
website,https://www.chubb.com/us-en
maxAge,1
address1,Baerengasse 32
industry,Insurance—Property & Casualty
ebitdaMargins,0.20225
profitMargins,0.2085
grossMargins,0.27733
operatingCashflow,
revenueGrowth,0.087
operatingMargins,0.19521
ebitda,8282999808
targetLowPrice,
recommendationKey,none
grossProfits,11358000000
freeCashflow,
targetMedianPrice,
currentPrice,204.71
earningsGrowth,-0.071
currentRatio,0.301
returnOnAssets,0.02557
numberOfAnalystOpinions,
targetMeanPrice,
debtToEquity,30.658
returnOnEquity,0.14332
targetHighPrice,
totalCash,4805000192
totalDebt,18307000320
totalRevenue,40954998784
totalCashPerShare,11.264
financialCurrency,USD
revenuePerShare,93.086
quickRatio,0.145
recommendationMean,
exchange,NYQ
shortName,Chubb Limited
longName,Chubb Limited
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,CB
messageBoardId,finmb_203028
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.462
beta3Year,
enterpriseToEbitda,12.173
52WeekChange,0.21446371
morningStarRiskRating,
forwardEps,16.21
revenueQuarterlyGrowth,
sharesOutstanding,416276000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,139.986
sharesShort,2702780
sharesPercentSharesOut,0.0064999997
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.90015
netIncomeToCommon,8538999808
trailingEps,19.27
lastDividendValue,0.8
SandP52WeekChange,0.12185478
priceToBook,1.4623606
heldPercentInsiders,0.0047299997
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,1.46
sharesShortPreviousMonthDate,1640908800
floatShares,424145414
beta,0.787667
enterpriseValue,100825677824
priceHint,2
threeYearAverageReturn,
lastSplitDate,888883200
lastSplitFactor,3:1
legalType,
lastDividendDate,1639612800
morningStarOverallRating,
earningsQuarterlyGrowth,-0.115
priceToSalesTrailing12Months,2.0807195
dateShortInterest,1643587200
pegRatio,0.44
ytdReturn,
forwardPE,12.628626
lastCapGain,
shortPercentOfFloat,0.0064999997
sharesShortPriorMonth,2208989
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,203.63
regularMarketOpen,202.9
twoHundredDayAverage,181.7307
trailingAnnualDividendYield,0.015616559
payoutRatio,0.165
volume24Hr,
regularMarketDayHigh,205.56
navPrice,
averageDailyVolume10Day,2209960
regularMarketPreviousClose,203.63
fiftyDayAverage,197.0264
trailingAnnualDividendRate,3.18
open,202.9
toCurrency,
averageVolume10days,2209960
expireDate,
algorithm,
dividendRate,3.2
exDividendDate,1639612800
circulatingSupply,
startDate,
regularMarketDayLow,202.65
currency,USD
trailingPE,10.623249
regularMarketVolume,1883894
lastMarket,
maxSupply,
openInterest,
marketCap,85215862784
volumeAllCurrencies,
strikePrice,
averageVolume,1952082
dayLow,202.65
ask,228.76
askSize,800
volume,1883894
fiftyTwoWeekHigh,211.78
fromCurrency,
fiveYearAvgDividendYield,2.04
fiftyTwoWeekLow,155.07
bid,175
tradeable,False
dividendYield,0.0156
bidSize,800
dayHigh,205.56
regularMarketPrice,204.71
preMarketPrice,
logo_url,https://logo.clearbit.com/chubb.com
