,info
zip,47202-3005
sector,Industrials
fullTimeEmployees,59900
longBusinessSummary,"Cummins Inc. designs, manufactures, distributes, and services diesel and natural gas engines, electric and hybrid powertrains, and related components worldwide. It operates through five segments: Engine, Distribution, Components, Power Systems, and New Power. The company offers diesel and natural gas-powered engines under the Cummins and other customer brands for the heavy and medium-duty truck, bus, recreational vehicle, light-duty automotive, construction, mining, marine, rail, oil and gas, defense, and agricultural markets; and offers new parts and services, as well as remanufactured parts and engines. It also provides power generation systems, high-horsepower engines, heavy and medium duty engines, application engineering services, custom-designed assemblies, retail and wholesale aftermarket parts, and in-shop and field-based repair services. In addition, the company offers emission solutions; turbochargers; air and fuel filters, fuel water separators, lube and hydraulic filters, coolants, fuel additives, and other filtration systems; and electronic control modules, sensors, and supporting software, as well as new, replacement, and remanufactured fuel systems. Further, it provides automated transmissions; standby and prime power generators, controls, paralleling systems, and transfer switches, as well as A/C generator/alternator products under the Stamford and AVK brands; and electrified power systems with components and subsystems, including battery, fuel cell, and hydrogen production technologies. Additionally, it offers filtration, aftertreatment, controls systems, air handling systems, automated transmissions, electric power generation systems, and batteries. The company sells its products to original equipment manufacturers, distributors, dealers, and other customers. The company was formerly known as Cummins Engine Company and changed its name to Cummins Inc. in 2001. Cummins Inc. was founded in 1919 and is headquartered in Columbus, Indiana."
city,Columbus
phone,812 377 5000
state,IN
country,United States
companyOfficers,[]
website,https://www.cummins.com
maxAge,1
address1,500 Jackson Street
industry,Specialty Industrial Machinery
address2,Box 3005
ebitdaMargins,0.1236
profitMargins,0.08871
grossMargins,0.23708001
operatingCashflow,2256000000
revenueGrowth,0.003
operatingMargins,0.09616999
ebitda,2968999936
targetLowPrice,244
recommendationKey,buy
grossProfits,5695000000
freeCashflow,923374976
targetMedianPrice,270.95
currentPrice,218.05
earningsGrowth,-0.186
currentRatio,1.738
returnOnAssets,0.062319998
numberOfAnalystOpinions,18
targetMeanPrice,272.1
debtToEquity,49.271
returnOnEquity,0.23535
targetHighPrice,304
totalCash,3187000064
totalDebt,4632000000
totalRevenue,24021000192
totalCashPerShare,22.376
financialCurrency,USD
revenuePerShare,166.12
quickRatio,1.027
recommendationMean,2.3
exchange,NYQ
shortName,Cummins Inc.
longName,Cummins Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,CMI
messageBoardId,finmb_265253
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.392
beta3Year,
enterpriseToEbitda,11.259
52WeekChange,-0.12524569
morningStarRiskRating,
forwardEps,20.22
revenueQuarterlyGrowth,
sharesOutstanding,142427008
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,59.467
sharesShort,3245966
sharesPercentSharesOut,0.0228
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.83339
netIncomeToCommon,2131000064
trailingEps,14.61
lastDividendValue,1.45
SandP52WeekChange,0.12185478
priceToBook,3.6667397
heldPercentInsiders,0.00368
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,2.95
sharesShortPreviousMonthDate,1640908800
floatShares,141764451
beta,1.026355
enterpriseValue,33428150272
priceHint,2
threeYearAverageReturn,
lastSplitDate,1199318400
lastSplitFactor,2:1
legalType,
lastDividendDate,1645056000
morningStarOverallRating,
earningsQuarterlyGrowth,-0.214
priceToSalesTrailing12Months,1.2928774
dateShortInterest,1643587200
pegRatio,1.19
ytdReturn,
forwardPE,10.783878
lastCapGain,
shortPercentOfFloat,0.023
sharesShortPriorMonth,2347628
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,218.69
regularMarketOpen,217.37
twoHundredDayAverage,234.5041
trailingAnnualDividendYield,0.025607023
payoutRatio,0.3833
volume24Hr,
regularMarketDayHigh,221.9
navPrice,
averageDailyVolume10Day,1057000
regularMarketPreviousClose,218.69
fiftyDayAverage,222.9712
trailingAnnualDividendRate,5.6
open,217.37
toCurrency,
averageVolume10days,1057000
expireDate,
algorithm,
dividendRate,5.8
exDividendDate,1645056000
circulatingSupply,
startDate,
regularMarketDayLow,217
currency,USD
trailingPE,14.924709
regularMarketVolume,830308
lastMarket,
maxSupply,
openInterest,
marketCap,31056209920
volumeAllCurrencies,
strikePrice,
averageVolume,1098351
dayLow,217
ask,227.08
askSize,800
volume,830308
fiftyTwoWeekHigh,277.09
fromCurrency,
fiveYearAvgDividendYield,2.69
fiftyTwoWeekLow,203.38
bid,216.65
tradeable,False
dividendYield,0.026600001
bidSize,900
dayHigh,221.9
regularMarketPrice,218.05
preMarketPrice,
logo_url,https://logo.clearbit.com/cummins.com
