,info
zip,33487
sector,Real Estate
fullTimeEmployees,300
longBusinessSummary,"DigitalBridge (NYSE: DBRG) is a leading global digital infrastructure REIT. With a heritage of over 25 years investing in and operating businesses across the digital ecosystem including towers, data centers, fiber, small cells, and edge infrastructure, the DigitalBridge team manages a $35 billion portfolio of digital infrastructure assets on behalf of its limited partners and shareholders. DigitalBridge, structured as a REIT, is headquartered in Boca Raton with key offices in Los Angeles, New York, London and Singapore. For more information on DigitalBridge, visit www.digitalbridge.com."
city,Boca Raton
phone,561- 544-7475
state,FL
country,United States
companyOfficers,[]
website,https://www.clny.com
maxAge,1
address1,750 Park Of Commerce Drive
industry,REIT—Diversified
address2,Suite 210
ebitdaMargins,0.42504
profitMargins,-0.22559999
grossMargins,0.69749
operatingCashflow,181419008
revenueGrowth,1.152
operatingMargins,0.064330004
ebitda,809636992
targetLowPrice,8.5
recommendationKey,buy
grossProfits,849557000
freeCashflow,-141844368
targetMedianPrice,10
currentPrice,7.04
earningsGrowth,
currentRatio,1.705
returnOnAssets,0.0044400003
numberOfAnalystOpinions,7
targetMeanPrice,10.11
debtToEquity,83.959
returnOnEquity,-0.32259
targetHighPrice,13
totalCash,1277732992
totalDebt,5068134912
totalRevenue,1904855040
totalCashPerShare,2.485
financialCurrency,USD
revenuePerShare,3.984
quickRatio,0.335
recommendationMean,2.2
exchange,NYQ
shortName,"DigitalBridge Group, Inc."
longName,"DigitalBridge Group, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,DBRG
messageBoardId,finmb_60839208
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,6.461
beta3Year,
enterpriseToEbitda,15.2
52WeekChange,0.19322038
morningStarRiskRating,
forwardEps,-0.16
revenueQuarterlyGrowth,
sharesOutstanding,566809024
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,2.307
sharesShort,31823368
sharesPercentSharesOut,0.0561
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.89852
netIncomeToCommon,-1548999936
trailingEps,-1.057
lastDividendValue,0.11
SandP52WeekChange,0.12185478
priceToBook,3.0515823
heldPercentInsiders,0.04321
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,6.78
sharesShortPreviousMonthDate,1640908800
floatShares,494529544
beta,1.951765
enterpriseValue,12306702336
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1585526400
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,2.097285
dateShortInterest,1643587200
pegRatio,
ytdReturn,
forwardPE,-44
lastCapGain,
shortPercentOfFloat,0.0704
sharesShortPriorMonth,25455031
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,7.42
regularMarketOpen,7.34
twoHundredDayAverage,7.25695
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,7.46
navPrice,
averageDailyVolume10Day,4081510
regularMarketPreviousClose,7.42
fiftyDayAverage,7.6898
trailingAnnualDividendRate,0
open,7.34
toCurrency,
averageVolume10days,4081510
expireDate,
algorithm,
dividendRate,
exDividendDate,1585526400
circulatingSupply,
startDate,
regularMarketDayLow,7.02
currency,USD
regularMarketVolume,2887337
lastMarket,
maxSupply,
openInterest,
marketCap,3995024128
volumeAllCurrencies,
strikePrice,
averageVolume,4671933
dayLow,7.02
ask,7.06
askSize,4000
volume,2887337
fiftyTwoWeekHigh,8.695
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,5.53
bid,7.05
tradeable,False
dividendYield,
bidSize,1300
dayHigh,7.46
regularMarketPrice,7.04
preMarketPrice,
logo_url,https://logo.clearbit.com/clny.com
