,info
zip,98119
sector,Consumer Cyclical
fullTimeEmployees,14800
longBusinessSummary,"Expedia Group, Inc. operates as an online travel company in the United States and internationally. The company operates through Retail, B2B, and trivago segments. Its brand portfolio include Brand Expedia, a full-service online travel brand with localized websites; Hotels.com for marketing and distributing lodging accommodations; Vrbo, an online marketplace for the alternative accommodations; Orbitz, Travelocity, and CheapTickets travel websites; ebookers, an online EMEA travel agent for travelers an array of travel options; Hotwire, which offers travel booking services; CarRentals.com, an online car rental booking service; Classic Vacations, a luxury travel specialist; and Expedia Cruise, a provider of advice for travelers booking cruises. The company's brand portfolio also comprise Expedia Partner Solutions, a business-to-business brand that provides travel and non-travel vertical, which includes corporate travel management, airlines, travel agents, online retailers and financial institutions; and Egencia that provides corporate travel management services. In addition, its brand portfolio consists of Trivago, a hotel metasearch website, which send referrals to online travel companies and travel service providers from hotel metasearch websites; and Expedia Group Media solutions. Further, the company provides online travel services through its Wotif.com, lastminute.com.au, travel.com.au, Wotif.co.nz, and lastminute.co.nz brands; loyalty programs; hotel accommodations and alternative accommodations; and advertising and media services. It serves leisure and corporate travelers. The company was formerly known as Expedia, Inc. and changed its name to Expedia Group, Inc. in March 2018. Expedia Group, Inc. was founded in 1996 and is headquartered in Seattle, Washington."
city,Seattle
phone,206 481 7200
state,WA
country,United States
companyOfficers,[]
website,https://www.expediagroup.com
maxAge,1
address1,1111 Expedia Group Way West
industry,Travel Services
ebitdaMargins,0.056760002
profitMargins,0.0014
grossMargins,0.82298
operatingCashflow,3748000000
revenueGrowth,1.477
operatingMargins,0.030469999
ebitda,488000000
targetLowPrice,155
recommendationKey,buy
grossProfits,7076000000
freeCashflow,2238374912
targetMedianPrice,215
currentPrice,209.17
earningsGrowth,
currentRatio,0.866
returnOnAssets,0.0081400005
numberOfAnalystOpinions,26
targetMeanPrice,213.5
debtToEquity,250.197
returnOnEquity,0.00396
targetHighPrice,265
totalCash,4311000064
totalDebt,8887000064
totalRevenue,8597999616
totalCashPerShare,27.678
financialCurrency,USD
revenuePerShare,57.422
quickRatio,0.599
recommendationMean,2.5
exchange,NMS
shortName,"Expedia Group, Inc."
longName,"Expedia Group, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,EXPE
messageBoardId,finmb_25915843
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.495
beta3Year,
enterpriseToEbitda,79.201
52WeekChange,0.3023473
morningStarRiskRating,
forwardEps,10.66
revenueQuarterlyGrowth,
sharesOutstanding,150231008
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,13.216
sharesShort,7288019
sharesPercentSharesOut,0.0468
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.97803
netIncomeToCommon,-269000000
trailingEps,-1.8
lastDividendValue,0.34
SandP52WeekChange,0.12185478
priceToBook,15.827028
heldPercentInsiders,0.00815
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,3.48
sharesShortPreviousMonthDate,1640908800
floatShares,136727405
beta,1.575832
enterpriseValue,38650138624
priceHint,2
threeYearAverageReturn,
lastSplitDate,1324425600
lastSplitFactor,1:2
legalType,
lastDividendDate,1583712000
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,3.7891445
dateShortInterest,1643587200
pegRatio,1.18
ytdReturn,
forwardPE,19.621952
lastCapGain,
shortPercentOfFloat,0.056700002
sharesShortPriorMonth,8908398
impliedSharesOutstanding,5523450
category,
fiveYearAverageReturn,
previousClose,209.31
regularMarketOpen,208.88
twoHundredDayAverage,167.79095
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,211.25
navPrice,
averageDailyVolume10Day,4343120
regularMarketPreviousClose,209.31
fiftyDayAverage,181.4274
trailingAnnualDividendRate,0
open,208.88
toCurrency,
averageVolume10days,4343120
expireDate,
algorithm,
dividendRate,
exDividendDate,1583712000
circulatingSupply,
startDate,
regularMarketDayLow,204.78
currency,USD
regularMarketVolume,2206471
lastMarket,
maxSupply,
openInterest,
marketCap,32579063808
volumeAllCurrencies,
strikePrice,
averageVolume,2690604
dayLow,204.78
ask,208.89
askSize,1100
volume,2206471
fiftyTwoWeekHigh,217.72
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,136.77
bid,206.38
tradeable,False
dividendYield,
bidSize,2200
dayHigh,211.25
regularMarketPrice,209.17
preMarketPrice,
logo_url,https://logo.clearbit.com/expediagroup.com
