,info
zip,10022
sector,Financial Services
fullTimeEmployees,5556
longBusinessSummary,"Jefferies Financial Group Inc. engages in the investment banking and capital markets, and asset management businesses in the Americas, Europe, the Middle East, Africa, and Asia. The company operates in Investment Banking and Capital Markets, Asset Management, Merchant Banking, and Corporate segments. It provides investment banking, advisory services with respect to mergers or acquisitions, restructurings or recapitalizations and private capital advisory transactions; equity and debt underwriting; and corporate lending. In addition, the company offers financing, securities lending, and other prime brokerage services; equities research and finance; and wealth management services. Further, it provides clients with sales and trading of investment grade corporate bonds, U.S. and European government and agency securities, municipal bonds, mortgage-backed and asset-backed securities, leveraged loans, consumer loans, high yield and distressed securities, emerging markets debt, interest rate, and credit derivative products, as well as foreign exchange trade execution and securitization; and manages, invests in, and provides services to a diverse group of alternative asset management platforms across a spectrum of investment strategies and asset classes. The company was formerly known as Leucadia National Corporation and changed its name to Jefferies Financial Group Inc. in May 2018. Jefferies Financial Group Inc. was founded in 1962 and is headquartered in New York, New York."
city,New York
phone,212 460 1900
state,NY
country,United States
companyOfficers,[]
website,https://www.jefferies.com
maxAge,1
address1,520 Madison Avenue
industry,Financial Conglomerates
ebitdaMargins,0.30239
profitMargins,0.2065
grossMargins,0.74703
operatingCashflow,1573017984
revenueGrowth,-0.026
operatingMargins,0.28965
ebitda,2475180544
targetLowPrice,40
recommendationKey,buy
grossProfits,6057068000
freeCashflow,
targetMedianPrice,44.5
currentPrice,37.115
earningsGrowth,0.087
currentRatio,1.752
returnOnAssets,0.02955
numberOfAnalystOpinions,4
targetMeanPrice,45.25
debtToEquity,263.37
returnOnEquity,0.16510999
targetHighPrice,52
totalCash,45650812928
totalDebt,28259680256
totalRevenue,8108244992
totalCashPerShare,188.752
financialCurrency,USD
revenuePerShare,30.76
quickRatio,1.752
recommendationMean,2.4
exchange,NYQ
shortName,Jefferies Financial Group Inc.
longName,Jefferies Financial Group Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,JEF
messageBoardId,finmb_285359
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,-0.996
beta3Year,
enterpriseToEbitda,-3.263
52WeekChange,0.34240282
morningStarRiskRating,
forwardEps,4.28
revenueQuarterlyGrowth,
sharesOutstanding,241856000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,43.335
sharesShort,5062871
sharesPercentSharesOut,0.0209
fundFamily,
lastFiscalYearEnd,1638230400
heldPercentInstitutions,0.67574
netIncomeToCommon,1664391040
trailingEps,6.131
lastDividendValue,0.3
SandP52WeekChange,0.14334297
priceToBook,0.8564671
heldPercentInsiders,0.23281
nextFiscalYearEnd,1701302400
yield,
mostRecentQuarter,1638230400
shortRatio,2.29
sharesShortPreviousMonthDate,1640908800
floatShares,193414699
beta,1.446544
enterpriseValue,-8077527552
priceHint,2
threeYearAverageReturn,
lastSplitDate,1569542400
lastSplitFactor,1068:1000
legalType,
lastDividendDate,1644537600
morningStarOverallRating,
earningsQuarterlyGrowth,0.061
priceToSalesTrailing12Months,1.1070812
dateShortInterest,1643587200
pegRatio,0.54
ytdReturn,
forwardPE,8.671729
lastCapGain,
shortPercentOfFloat,0.0238
sharesShortPriorMonth,4514071
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,37.99
regularMarketOpen,37.65
twoHundredDayAverage,36.506
trailingAnnualDividendYield,0.023690443
payoutRatio,0.1468
volume24Hr,
regularMarketDayHigh,37.8117
navPrice,
averageDailyVolume10Day,1383250
regularMarketPreviousClose,37.99
fiftyDayAverage,37.9424
trailingAnnualDividendRate,0.9
open,37.65
toCurrency,
averageVolume10days,1383250
expireDate,
algorithm,
dividendRate,1.2
exDividendDate,1644537600
circulatingSupply,
startDate,
regularMarketDayLow,36.925
currency,USD
trailingPE,6.053662
regularMarketVolume,242901
lastMarket,
maxSupply,
openInterest,
marketCap,8976485376
volumeAllCurrencies,
strikePrice,
averageVolume,1588656
dayLow,36.925
ask,37.05
askSize,800
volume,242901
fiftyTwoWeekHigh,44.47
fromCurrency,
fiveYearAvgDividendYield,2.15
fiftyTwoWeekLow,28.08
bid,37.03
tradeable,False
dividendYield,0.0318
bidSize,800
dayHigh,37.8117
regularMarketPrice,37.115
preMarketPrice,
logo_url,https://logo.clearbit.com/jefferies.com
