,info
zip,97005-6453
sector,Consumer Cyclical
fullTimeEmployees,73300
longBusinessSummary,"NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells athletic footwear, apparel, equipment, and accessories worldwide. The company offers NIKE brand products in six categories, including running, NIKE basketball, the Jordan brand, football, training, and sportswear. It also markets products designed for kids, as well as for other athletic and recreational uses, such as American football, baseball, cricket, golf, lacrosse, skateboarding, tennis, volleyball, walking, wrestling, and other outdoor activities; and apparel with licensed college and professional team, and league logos, as well as sells sports apparel. In addition, the company sells a line of performance equipment and accessories comprising bags, socks, sport balls, eyewear, timepieces, digital devices, bats, gloves, protective equipment, and other equipment for sports activities; and various plastic products to other manufacturers. Further, it provides athletic and casual footwear, apparel, and accessories under the Jumpman trademark; and casual sneakers, apparel, and accessories under the Converse, Chuck Taylor, All Star, One Star, Star Chevron, and Jack Purcell trademarks. Additionally, the company licenses agreements that permit unaffiliated parties to manufacture and sell apparel, digital devices, and applications and other equipment for sports activities under NIKE-owned trademarks. It sells its products to footwear stores; sporting goods stores; athletic specialty stores; department stores; skate, tennis, and golf shops; and other retail accounts through NIKE-owned retail stores, digital platforms, independent distributors, licensees, and sales representatives. The company was formerly known as Blue Ribbon Sports, Inc. and changed its name to NIKE, Inc. in 1971. NIKE, Inc. was founded in 1964 and is headquartered in Beaverton, Oregon."
city,Beaverton
phone,503 671 6453
state,OR
country,United States
companyOfficers,[]
website,https://www.nike.com
maxAge,1
address1,One Bowerman Drive
industry,Footwear & Accessories
ebitdaMargins,0.17238002
profitMargins,0.13322
grossMargins,0.45981
operatingCashflow,7169999872
revenueGrowth,0.01
operatingMargins,0.15739
ebitda,7982000128
targetLowPrice,130
recommendationKey,buy
grossProfits,20001000000
freeCashflow,4678624768
targetMedianPrice,185
currentPrice,142.95
earningsGrowth,0.064
currentRatio,3.068
returnOnAssets,0.12352
numberOfAnalystOpinions,34
targetMeanPrice,183.44
debtToEquity,85.252
returnOnEquity,0.48263
targetHighPrice,203
totalCash,15102999552
totalDebt,12723000320
totalRevenue,46306000896
totalCashPerShare,9.551
financialCurrency,USD
revenuePerShare,29.3
quickRatio,2.128
recommendationMean,2.1
exchange,NYQ
shortName,"Nike, Inc."
longName,"NIKE, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,NKE
messageBoardId,finmb_291981
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.83
beta3Year,
enterpriseToEbitda,28.021
52WeekChange,0.045950055
morningStarRiskRating,
forwardEps,4.8
revenueQuarterlyGrowth,
sharesOutstanding,1276290048
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,9.428
sharesShort,8133540
sharesPercentSharesOut,0.0050999997
fundFamily,
lastFiscalYearEnd,1622419200
heldPercentInstitutions,0.83606005
netIncomeToCommon,6168999936
trailingEps,3.81
lastDividendValue,0.305
SandP52WeekChange,0.12185478
priceToBook,15.162282
heldPercentInsiders,0.012209999
nextFiscalYearEnd,1685491200
yield,
mostRecentQuarter,1638230400
shortRatio,1.27
sharesShortPreviousMonthDate,1640908800
floatShares,1259501685
beta,0.961213
enterpriseValue,223666159616
priceHint,2
threeYearAverageReturn,
lastSplitDate,1450915200
lastSplitFactor,2:1
legalType,
lastDividendDate,1638489600
morningStarOverallRating,
earningsQuarterlyGrowth,0.069
priceToSalesTrailing12Months,4.881588
dateShortInterest,1643587200
pegRatio,2.42
ytdReturn,
forwardPE,29.781248
lastCapGain,
shortPercentOfFloat,0.0081
sharesShortPriorMonth,9314584
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,142.8
regularMarketOpen,143.37
twoHundredDayAverage,155.9471
trailingAnnualDividendYield,0.007913165
payoutRatio,0.29659998
volume24Hr,
regularMarketDayHigh,143.94
navPrice,
averageDailyVolume10Day,5596880
regularMarketPreviousClose,142.8
fiftyDayAverage,153.7976
trailingAnnualDividendRate,1.13
open,143.37
toCurrency,
averageVolume10days,5596880
expireDate,
algorithm,
dividendRate,1.16
exDividendDate,1646352000
circulatingSupply,
startDate,
regularMarketDayLow,141.81
currency,USD
trailingPE,37.519684
regularMarketVolume,5018263
lastMarket,
maxSupply,
openInterest,
marketCap,226046820352
volumeAllCurrencies,
strikePrice,
averageVolume,5964024
dayLow,141.81
ask,142.85
askSize,900
volume,5018263
fiftyTwoWeekHigh,179.1
fromCurrency,
fiveYearAvgDividendYield,0.98
fiftyTwoWeekLow,125.44
bid,142.07
tradeable,False
dividendYield,0.0081
bidSize,800
dayHigh,143.94
regularMarketPrice,142.95
preMarketPrice,
logo_url,https://logo.clearbit.com/nike.com
