,info
zip,01886-4105
sector,Technology
fullTimeEmployees,2397
longBusinessSummary,"NetScout Systems, Inc. provides service assurance and cybersecurity solutions for protect digital business services against disruptions in the United States, Europe, the Asia Pacific, and internationally. The company offers nGeniusONE management software that enables customers to predict, preempt, and resolve network and service delivery problems, as well as facilitate the optimization and capacity planning of their network infrastructures; and specialized platforms and analytic modules that enable its customers to analyze and troubleshoot traffic in radio access and Wi-Fi networks. It also provides nGeniusPULSE, an active testing tool that enables enterprises to identify infrastructure performance issues and determine application availability, reliability, and performance; and nGenius Business Analytics solution, which enables service providers to analyze their network traffic. In addition, the company offers ISNG, an advanced passive network probe; packet flow systems that deliver targeted network traffic access to various monitoring and security tools and systems; and a suite of test access points that enable non-disruptive access to network traffic. Further, it provides cybersecurity solutions to protect their networks against distributed denial of service attacks under the Arbor brand, such as Arbor Sightline, Arbor Threat Mitigation System, Arbor Insight, Arbor Edge Defense, and Arbor Cloud. The company also offers advanced threat detection solutions, such as Omnis Cyber Investigator. It serves enterprise customers in various industries, including financial services, technology, manufacturing, healthcare, utilities, education, transportation, and retail; mobile operators, wireline operators, cable operators, Internet service providers, and cloud providers; and governmental agencies through a direct sales force, and indirect reseller and distribution channels. The company was incorporated in 1984 and is headquartered in Westford, Massachusetts."
city,Westford
phone,978 614 4000
state,MA
country,United States
companyOfficers,[]
website,https://www.netscout.com
maxAge,1
address1,310 Littleton Road
fax,978 614 4004
industry,Software—Infrastructure
ebitdaMargins,0.17785
profitMargins,0.04384
grossMargins,0.74385
operatingCashflow,204614000
revenueGrowth,0.032
operatingMargins,0.05843
ebitda,150158000
targetLowPrice,33
recommendationKey,hold
grossProfits,609185000
freeCashflow,194040496
targetMedianPrice,34.75
currentPrice,31.4
earningsGrowth,
currentRatio,1.892
returnOnAssets,0.01012
numberOfAnalystOpinions,4
targetMeanPrice,34.88
debtToEquity,20.917
returnOnEquity,0.0188
targetHighPrice,37
totalCash,475816992
totalDebt,418136000
totalRevenue,844318016
totalCashPerShare,6.441
financialCurrency,USD
revenuePerShare,11.437
quickRatio,1.723
recommendationMean,3
exchange,NMS
shortName,"NetScout Systems, Inc."
longName,"NetScout Systems, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,NTCT
messageBoardId,finmb_32039
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.679
beta3Year,
enterpriseToEbitda,15.064
52WeekChange,0.073871374
morningStarRiskRating,
forwardEps,1.98
revenueQuarterlyGrowth,
sharesOutstanding,73874704
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,26.934
sharesShort,2467760
sharesPercentSharesOut,0.0334
fundFamily,
lastFiscalYearEnd,1617148800
heldPercentInstitutions,0.9188
netIncomeToCommon,37013000
trailingEps,0.491
lastDividendValue,
SandP52WeekChange,0.16484392
priceToBook,1.1658127
heldPercentInsiders,0.039
nextFiscalYearEnd,1680220800
yield,
mostRecentQuarter,1632960000
shortRatio,6.62
sharesShortPreviousMonthDate,1639526400
floatShares,69944577
beta,0.680182
enterpriseValue,2261985024
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,2.7473838
dateShortInterest,1642118400
pegRatio,10.14
ytdReturn,
forwardPE,15.858585
lastCapGain,
shortPercentOfFloat,0.0402
sharesShortPriorMonth,2862954
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,29.34
regularMarketOpen,30
twoHundredDayAverage,29.0635
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,31.72
navPrice,
averageDailyVolume10Day,436580
regularMarketPreviousClose,29.34
fiftyDayAverage,31.5752
trailingAnnualDividendRate,
open,30
toCurrency,
averageVolume10days,436580
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,29.65
currency,USD
trailingPE,63.95112
regularMarketVolume,622876
lastMarket,
maxSupply,
openInterest,
marketCap,2319665664
volumeAllCurrencies,
strikePrice,
averageVolume,760158
dayLow,29.65
ask,0
askSize,800
volume,622876
fiftyTwoWeekHigh,34.87
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,24.82
bid,26.35
tradeable,False
dividendYield,
bidSize,1000
dayHigh,31.72
regularMarketPrice,31.4
preMarketPrice,31.25
logo_url,https://logo.clearbit.com/netscout.com
