,info
zip,60603
sector,Healthcare
fullTimeEmployees,4000
longBusinessSummary,"Oak Street Health, Inc., together with its subsidiaries, offers healthcare services to the patients in the United States. The company operates primary care centers for Medicare beneficiaries. As of December 31, 2020, it operated 79 centers in Illinois, Indiana, Michigan, Mississippi, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, Tennessee, and Texas. The company was founded in 2012 and is headquartered in Chicago, Illinois."
city,Chicago
phone,312 733 9730
state,IL
country,United States
companyOfficers,[]
website,https://www.oakstreethealth.com
maxAge,1
address1,30 West Monroe Street
industry,Medical Care Facilities
address2,Suite 1200
ebitdaMargins,-0.26416
profitMargins,-0.27812
grossMargins,0.049310002
operatingCashflow,-180819008
revenueGrowth,0.784
operatingMargins,-0.27568
ebitda,-340023008
targetLowPrice,18
recommendationKey,buy
grossProfits,78473000
freeCashflow,-116836000
targetMedianPrice,44
currentPrice,16.2
earningsGrowth,
currentRatio,2.78
returnOnAssets,-0.17044
numberOfAnalystOpinions,16
targetMeanPrice,43.79
debtToEquity,696.146
returnOnEquity,-1.17004
targetHighPrice,68
totalCash,1013000000
totalDebt,1065800000
totalRevenue,1287165056
totalCashPerShare,4.205
financialCurrency,USD
revenuePerShare,5.809
quickRatio,2.712
recommendationMean,1.9
exchange,NYQ
shortName,"Oak Street Health, Inc."
longName,"Oak Street Health, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,OSH
messageBoardId,finmb_225323712
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.307
beta3Year,
enterpriseToEbitda,-12.519
52WeekChange,-0.70762783
morningStarRiskRating,
forwardEps,-1.75
revenueQuarterlyGrowth,
sharesOutstanding,240927008
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,0.627
sharesShort,22807208
sharesPercentSharesOut,0.0947
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.93412
netIncomeToCommon,-358024000
trailingEps,-1.616
lastDividendValue,
SandP52WeekChange,0.14334297
priceToBook,25.837322
heldPercentInsiders,0.109
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,5.82
sharesShortPreviousMonthDate,1640908800
floatShares,103312054
beta,
enterpriseValue,4256672768
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,
priceToSalesTrailing12Months,3.032259
dateShortInterest,1643587200
pegRatio,-0.33
ytdReturn,
forwardPE,-9.257143
lastCapGain,
shortPercentOfFloat,0.2189
sharesShortPriorMonth,17545662
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,17.44
regularMarketOpen,17.21
twoHundredDayAverage,44.3831
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,17.27
navPrice,
averageDailyVolume10Day,3488170
regularMarketPreviousClose,17.44
fiftyDayAverage,25.0768
trailingAnnualDividendRate,0
open,17.21
toCurrency,
averageVolume10days,3488170
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,16.1
currency,USD
regularMarketVolume,417966
lastMarket,
maxSupply,
openInterest,
marketCap,3903017728
volumeAllCurrencies,
strikePrice,
averageVolume,2890572
dayLow,16.1
ask,16.25
askSize,800
volume,417966
fiftyTwoWeekHigh,65.22
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,14.41
bid,16.22
tradeable,False
dividendYield,
bidSize,800
dayHigh,17.27
regularMarketPrice,16.2
preMarketPrice,17.44
logo_url,https://logo.clearbit.com/oakstreethealth.com
