,info
zip,SW1Y 4AD
sector,Basic Materials
fullTimeEmployees,47500
longBusinessSummary,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide. The company offers aluminum, copper, diamonds, gold, borates, titanium dioxide, salt, iron ore, and uranium. It also owns and operates open pit and underground mines, mills, refineries, smelters, power stations, and research and service facilities. The company was founded in 1873 and is headquartered in London, the United Kingdom."
city,London
phone,44 20 7781 2000
country,United Kingdom
companyOfficers,[]
website,https://www.riotinto.com
maxAge,1
address1,6 St Jamesâs Square
industry,Other Industrial Metals & Mining
ebitdaMargins,0.54826
profitMargins,0.32171002
grossMargins,0.50261
operatingCashflow,23907999744
revenueGrowth,0.709
operatingMargins,0.47362
ebitda,31981000704
targetLowPrice,70
recommendationKey,buy
grossProfits,18702000000
freeCashflow,15279250432
targetMedianPrice,70
currentPrice,77.63
earningsGrowth,2.714
currentRatio,2.134
returnOnAssets,0.18372
numberOfAnalystOpinions,3
targetMeanPrice,78.67
debtToEquity,23.222
returnOnEquity,0.39316002
targetHighPrice,96
totalCash,16940000256
totalDebt,13507999744
totalRevenue,58332000256
totalCashPerShare,10.469
financialCurrency,USD
revenuePerShare,36.056
quickRatio,1.765
recommendationMean,2
exchange,NYQ
shortName,Rio Tinto Plc
longName,Rio Tinto Group
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,RIO
messageBoardId,finmb_299199
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.184
beta3Year,
enterpriseToEbitda,3.983
52WeekChange,-0.14097601
morningStarRiskRating,
forwardEps,4.21
revenueQuarterlyGrowth,
sharesOutstanding,1619430016
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,32.739
sharesShort,14165634
sharesPercentSharesOut,0.0087
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.09517
netIncomeToCommon,18766000128
trailingEps,11.523
lastDividendValue,5.61
SandP52WeekChange,0.12185478
priceToBook,2.3711782
heldPercentInsiders,0
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1625011200
shortRatio,2.87
sharesShortPreviousMonthDate,1640908800
floatShares,1419364958
beta,0.569362
enterpriseValue,127375106048
priceHint,2
threeYearAverageReturn,
lastSplitDate,1272585600
lastSplitFactor,4:1
legalType,
lastDividendDate,1628726400
morningStarOverallRating,
earningsQuarterlyGrowth,2.713
priceToSalesTrailing12Months,2.1551867
dateShortInterest,1643587200
pegRatio,
ytdReturn,
forwardPE,18.439428
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,13232312
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,76.68
regularMarketOpen,77.6
twoHundredDayAverage,74.93175
trailingAnnualDividendYield,0.09027126
payoutRatio,0.4027
volume24Hr,
regularMarketDayHigh,77.93
navPrice,
averageDailyVolume10Day,4143310
regularMarketPreviousClose,76.68
fiftyDayAverage,71.7032
trailingAnnualDividendRate,6.922
open,77.6
toCurrency,
averageVolume10days,4143310
expireDate,
algorithm,
dividendRate,6.85
exDividendDate,1628726400
circulatingSupply,
startDate,
regularMarketDayLow,77.19
currency,USD
trailingPE,6.736961
regularMarketVolume,2470189
lastMarket,
maxSupply,
openInterest,
marketCap,125716348928
volumeAllCurrencies,
strikePrice,
averageVolume,4072462
dayLow,77.19
ask,77.57
askSize,1200
volume,2470189
fiftyTwoWeekHigh,95.97
fromCurrency,
fiveYearAvgDividendYield,6.03
fiftyTwoWeekLow,59.58
bid,77.56
tradeable,False
dividendYield,0.088199995
bidSize,800
dayHigh,77.93
regularMarketPrice,77.63
preMarketPrice,
logo_url,https://logo.clearbit.com/riotinto.com
