,info
zip,46204
sector,Real Estate
longBusinessSummary,"Simon is a real estate investment trust engaged in the ownership of premier shopping, dining, entertainment and mixed-use destinations and an S&P 100 company (Simon Property Group, NYSE: SPG). Our properties across North America, Europe and Asia provide community gathering places for millions of people every day and generate billions in annual sales."
city,Indianapolis
phone,317-636-1600
state,IN
country,United States
companyOfficers,[]
website,https://www.simon.com
maxAge,1
address1,225 West Washington Street
industry,REIT—Retail
ebitdaMargins,0.73831004
profitMargins,0.44569
grossMargins,0.80762
operatingCashflow,
revenueGrowth,0.161
operatingMargins,0.47809
ebitda,3726677760
targetLowPrice,150
recommendationKey,buy
grossProfits,4076490000
freeCashflow,
targetMedianPrice,172
currentPrice,140.95
earningsGrowth,0.796
currentRatio,0.483
returnOnAssets,0.04399
numberOfAnalystOpinions,17
targetMeanPrice,173.18
debtToEquity,586.902
returnOnEquity,0.63748
targetHighPrice,200
totalCash,533936000
totalDebt,25827952640
totalRevenue,5047554048
totalCashPerShare,1.625
financialCurrency,USD
revenuePerShare,15.361
quickRatio,0.483
recommendationMean,2.2
exchange,NYQ
shortName,"Simon Property Group, Inc."
longName,"Simon Property Group, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,SPG
messageBoardId,finmb_34378
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,14.402
beta3Year,
enterpriseToEbitda,19.506
52WeekChange,0.24988914
morningStarRiskRating,
forwardEps,6.78
revenueQuarterlyGrowth,
sharesOutstanding,328612000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,10.102
sharesShort,10064751
sharesPercentSharesOut,0.0306
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.90166
netIncomeToCommon,2246294016
trailingEps,6.836
lastDividendValue,1.65
SandP52WeekChange,0.12185478
priceToBook,13.952682
heldPercentInsiders,0.00492
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,4.94
sharesShortPreviousMonthDate,1640908800
floatShares,325721200
beta,1.512182
enterpriseValue,72693989376
priceHint,2
threeYearAverageReturn,
lastSplitDate,1401321600
lastSplitFactor,1063:1000
legalType,
lastDividendDate,1639008000
morningStarOverallRating,
earningsQuarterlyGrowth,0.851
priceToSalesTrailing12Months,10.496537
dateShortInterest,1643587200
pegRatio,2.56
ytdReturn,
forwardPE,20.789085
lastCapGain,
shortPercentOfFloat,0.041199997
sharesShortPriorMonth,11500899
impliedSharesOutstanding,8000
category,
fiveYearAverageReturn,
previousClose,143.67
regularMarketOpen,143.24
twoHundredDayAverage,140.41705
trailingAnnualDividendYield,0.040718313
payoutRatio,0.8553
volume24Hr,
regularMarketDayHigh,144.11
navPrice,
averageDailyVolume10Day,2596520
regularMarketPreviousClose,143.67
fiftyDayAverage,151.3944
trailingAnnualDividendRate,5.85
open,143.24
toCurrency,
averageVolume10days,2596520
expireDate,
algorithm,
dividendRate,6.6
exDividendDate,1646784000
circulatingSupply,
startDate,
regularMarketDayLow,140.49
currency,USD
trailingPE,20.618782
regularMarketVolume,1751083
lastMarket,
maxSupply,
openInterest,
marketCap,52981837824
volumeAllCurrencies,
strikePrice,
averageVolume,2245537
dayLow,140.49
ask,140.9
askSize,800
volume,1751083
fiftyTwoWeekHigh,171.12
fromCurrency,
fiveYearAvgDividendYield,5.62
fiftyTwoWeekLow,104.12
bid,140
tradeable,False
dividendYield,0.0468
bidSize,1100
dayHigh,144.11
regularMarketPrice,140.95
preMarketPrice,
logo_url,https://logo.clearbit.com/simon.com
