,info
zip,V7X 1G4
sector,Basic Materials
longBusinessSummary,"SSR Mining Inc., together with its subsidiaries, engages in the acquisition, exploration, development, and operation of precious metal resource properties in Turkey and the Americas. The company explores for gold, silver, lead, and zinc deposits. Its projects include the ÃÃ¶pler Gold mine located in Erzincan, Turkey; the Marigold mine located in Humboldt and Lander Counties, Nevada, the United States; the Seabee Gold Operation located in Saskatchewan, Canada; and the Puna Operations in Jujuy, Argentina. The company was formerly known as Silver Standard Resources Inc. and changed its name to SSR Mining Inc. in August 2017. SSR Mining Inc. was incorporated in 1946 and is based in Vancouver, Canada."
city,Vancouver
phone,604 689 3846
state,BC
country,Canada
companyOfficers,[]
website,https://www.ssrmining.com
maxAge,1
address1,1055 Dunsmuir Street
fax,604 689 3847
industry,Gold
address2,Suite 800 PO Box 49088 Bentall Postal Station
ebitdaMargins,0.51671004
profitMargins,0.17621
grossMargins,0.58225
operatingCashflow,699078976
revenueGrowth,0.432
operatingMargins,0.35455
ebitda,742521984
targetLowPrice,21
recommendationKey,buy
grossProfits,408291000
freeCashflow,206163376
targetMedianPrice,25
currentPrice,18.5
earningsGrowth,0.367
currentRatio,6.391
returnOnAssets,0.061979998
numberOfAnalystOpinions,4
targetMeanPrice,25.19
debtToEquity,11.811
returnOnEquity,0.07052
targetHighPrice,29.75
totalCash,881569024
totalDebt,459991008
totalRevenue,1437009024
totalCashPerShare,4.162
financialCurrency,USD
revenuePerShare,6.59
quickRatio,4.195
recommendationMean,2
exchange,NMS
shortName,SSR Mining Inc.
longName,SSR Mining Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,SSRM
messageBoardId,finmb_412632
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.759
beta3Year,
enterpriseToEbitda,5.34
52WeekChange,0.17162764
morningStarRiskRating,
forwardEps,1.11
revenueQuarterlyGrowth,
sharesOutstanding,211811008
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,16.178
sharesShort,4464237
sharesPercentSharesOut,0.0211
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.63732
netIncomeToCommon,253210000
trailingEps,1.128
lastDividendValue,0.05
SandP52WeekChange,0.12185478
priceToBook,1.1435283
heldPercentInsiders,0.0034599998
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,3.72
sharesShortPreviousMonthDate,1640908800
floatShares,210688812
beta,1.043395
enterpriseValue,3964743168
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1636675200
morningStarOverallRating,
earningsQuarterlyGrowth,1.137
priceToSalesTrailing12Months,2.7347515
dateShortInterest,1643587200
pegRatio,-0.37
ytdReturn,
forwardPE,16.666666
lastCapGain,
shortPercentOfFloat,0.0222
sharesShortPriorMonth,5188379
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,18.57
regularMarketOpen,18.61
twoHundredDayAverage,16.72745
trailingAnnualDividendYield,0.008077545
payoutRatio,0.1181
volume24Hr,
regularMarketDayHigh,18.61
navPrice,
averageDailyVolume10Day,1614290
regularMarketPreviousClose,18.57
fiftyDayAverage,17.0626
trailingAnnualDividendRate,0.15
open,18.61
toCurrency,
averageVolume10days,1614290
expireDate,
algorithm,
dividendRate,0.2
exDividendDate,1636675200
circulatingSupply,
startDate,
regularMarketDayLow,18.215
currency,USD
trailingPE,16.40071
regularMarketVolume,1723140
lastMarket,
maxSupply,
openInterest,
marketCap,3929862400
volumeAllCurrencies,
strikePrice,
averageVolume,1399330
dayLow,18.215
ask,18.5
askSize,900
volume,1723140
fiftyTwoWeekHigh,20.06
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,13.68
bid,18.01
tradeable,False
dividendYield,0.0108
bidSize,3000
dayHigh,18.61
regularMarketPrice,18.5
preMarketPrice,
logo_url,https://logo.clearbit.com/ssrmining.com
