,info
sector,Technology
longBusinessSummary,"STMicroelectronics N.V., together with its subsidiaries, designs, develops, manufactures, and markets semiconductor products in Europe, the Middle East, Africa, the Americas, and the Asia Pacific. It operates through Automotive and Discrete Group; Analog, MEMS and Sensors Group; and Microcontrollers and Digital ICs Group segments. The Automotive and Discrete Group segment offers automotive integrated circuits (ICs); and discrete and power transistor products. The Analog, MEMS and Sensors Group segment provides industrial application-specific integrated circuits (ASICs) and application-specific standard products (ASSPs); general purpose analog products; custom analog ICs; wireless charging solutions; galvanic isolated gate drivers; low and high voltage amplifiers, comparators, and current-sense amplifiers; MasterGaN, a solution that integrates a silicon driver and GaN power transistors in a single package; wireline and wireless connectivity ICs; touch screen controllers; micro-electro-mechanical systems (MEMS) products, including sensors or actuators; and optical sensing solutions. The Microcontrollers and Digital ICs Group segment offers general purpose and secure microcontrollers; radio frequency (RF) and electrically erasable programmable read-only memories; and RF, digital, and mixed-signal ASICs. It also provides assembly and other services. The company sells its products through distributors and retailers, as well as through sales representatives. STMicroelectronics N.V. was incorporated in 1987 and is headquartered in Geneva, Switzerland."
city,Geneva
phone,41 22 929 2929
country,Switzerland
companyOfficers,[]
website,https://www.st.com
maxAge,1
address1,39 Chemin du Champ des Filles
fax,41 22 929 2988
industry,Semiconductors
address2,1228 Plan-Les-Ouates
ebitdaMargins,0.27021998
profitMargins,0.15673
grossMargins,0.41736
operatingCashflow,
revenueGrowth,0.099
operatingMargins,0.18893999
ebitda,3448333056
targetLowPrice,51
recommendationKey,buy
grossProfits,5326000000
freeCashflow,
targetMedianPrice,63.5
currentPrice,43.19
earningsGrowth,0.311
currentRatio,2.654
returnOnAssets,0.100480005
numberOfAnalystOpinions,8
targetMeanPrice,63.88
debtToEquity,27.381
returnOnEquity,0.22566
targetHighPrice,81
totalCash,3516000000
totalDebt,2539000064
totalRevenue,12760999936
totalCashPerShare,3.879
financialCurrency,USD
revenuePerShare,14.101
quickRatio,1.789
recommendationMean,2
exchange,NYQ
shortName,STMicroelectronics N.V.
longName,STMicroelectronics N.V.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,STM
messageBoardId,finmb_138644
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.997
beta3Year,
enterpriseToEbitda,11.089
52WeekChange,0.06326938
morningStarRiskRating,
forwardEps,3.45
revenueQuarterlyGrowth,
sharesOutstanding,905184000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,10.159
sharesShort,5940736
sharesPercentSharesOut,0.0066000004
fundFamily,
lastFiscalYearEnd,1640908800
heldPercentInstitutions,0.04413
netIncomeToCommon,2000000000
trailingEps,2.16
lastDividendValue,0.06
SandP52WeekChange,0.12185478
priceToBook,4.2514024
heldPercentInsiders,2.0000001e-05
nextFiscalYearEnd,1703980800
yield,
mostRecentQuarter,1640908800
shortRatio,1.38
sharesShortPreviousMonthDate,1640908800
floatShares,655321903
beta,1.252811
enterpriseValue,38239514624
priceHint,2
threeYearAverageReturn,
lastSplitDate,957830400
lastSplitFactor,3:1
legalType,
lastDividendDate,1639526400
morningStarOverallRating,
earningsQuarterlyGrowth,0.291
priceToSalesTrailing12Months,3.0837545
dateShortInterest,1643587200
pegRatio,2.73
ytdReturn,
forwardPE,12.51884
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,5825964
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,43.61
regularMarketOpen,43.83
twoHundredDayAverage,43.4915
trailingAnnualDividendYield,0
payoutRatio,0.1028
volume24Hr,
regularMarketDayHigh,43.9
navPrice,
averageDailyVolume10Day,3506480
regularMarketPreviousClose,43.61
fiftyDayAverage,47.0568
trailingAnnualDividendRate,0
open,43.83
toCurrency,
averageVolume10days,3506480
expireDate,
algorithm,
dividendRate,0.24
exDividendDate,1647820800
circulatingSupply,
startDate,
regularMarketDayLow,42.96
currency,USD
trailingPE,19.995369
regularMarketVolume,3644437
lastMarket,
maxSupply,
openInterest,
marketCap,39351791616
volumeAllCurrencies,
strikePrice,
averageVolume,3370667
dayLow,42.96
ask,43.19
askSize,800
volume,3644437
fiftyTwoWeekHigh,52.15
fromCurrency,
fiveYearAvgDividendYield,1.02
fiftyTwoWeekLow,33.3
bid,43.21
tradeable,False
dividendYield,0.0056
bidSize,1000
dayHigh,43.9
regularMarketPrice,43.19
preMarketPrice,
logo_url,https://logo.clearbit.com/st.com
