,info
zip,44105
sector,Financial Services
fullTimeEmployees,1005
longBusinessSummary,"TFS Financial Corporation, through its subsidiaries, provides retail consumer banking services in the United States. Its deposit products include savings, money market, checking, individual retirement, and other qualified plan accounts, as well as certificates of deposit. The company also provides residential real estate mortgage loans, residential construction loans, and home equity loans and lines of credit, as well as purchase mortgages and first mortgage refinance loans. In addition, it offers escrow and settlement services. The company provides its products and services through its main office in Cleveland, Ohio; and 37 full-service branches and 7 loan production offices located throughout the states of Ohio and Florida. The company was founded in 1938 and is headquartered in Cleveland, Ohio. TFS Financial Corporation operates as a subsidiary of Third Federal Savings and Loan Association of Cleveland, MHC."
city,Cleveland
phone,216 441 6000
state,OH
country,United States
companyOfficers,[]
website,https://www.thirdfederal.com
maxAge,1
address1,7007 Broadway Avenue
industry,Banks—Regional
ebitdaMargins,0
profitMargins,0.25608
grossMargins,0
operatingCashflow,
revenueGrowth,-0.173
operatingMargins,0.35017
ebitda,
targetLowPrice,
recommendationKey,buy
grossProfits,295929000
freeCashflow,
targetMedianPrice,
currentPrice,17.27
earningsGrowth,-0.346
currentRatio,
returnOnAssets,0.00503
numberOfAnalystOpinions,
targetMeanPrice,
debtToEquity,
returnOnEquity,0.0423
targetHighPrice,
totalCash,408008992
totalDebt,3216269056
totalRevenue,281723008
totalCashPerShare,1.472
financialCurrency,USD
revenuePerShare,1.017
quickRatio,
recommendationMean,2.5
exchange,NMS
shortName,TFS Financial Corporation
longName,TFS Financial Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,TFSL
messageBoardId,finmb_725377
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,26.953
beta3Year,
enterpriseToEbitda,
52WeekChange,-0.019318163
morningStarRiskRating,
forwardEps,0.25
revenueQuarterlyGrowth,
sharesOutstanding,280865984
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,6.325
sharesShort,614939
sharesPercentSharesOut,0.0022
fundFamily,
lastFiscalYearEnd,1632960000
heldPercentInstitutions,0.89918
netIncomeToCommon,70590000
trailingEps,0.255
lastDividendValue,0.283
SandP52WeekChange,0.17435467
priceToBook,2.730435
heldPercentInsiders,0.0058099995
nextFiscalYearEnd,1696032000
yield,
mostRecentQuarter,1640908800
shortRatio,3.04
sharesShortPreviousMonthDate,1639526400
floatShares,51225658
beta,0.421692
enterpriseValue,7593165824
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,1638144000
morningStarOverallRating,
earningsQuarterlyGrowth,-0.354
priceToSalesTrailing12Months,17.217464
dateShortInterest,1642118400
pegRatio,
ytdReturn,
forwardPE,69.08
lastCapGain,
shortPercentOfFloat,0.0117999995
sharesShortPriorMonth,864626
impliedSharesOutstanding,
category,
fiveYearAverageReturn,
previousClose,17.26
regularMarketOpen,17.25
twoHundredDayAverage,19.58355
trailingAnnualDividendYield,0.06517961
payoutRatio,3.8707001
volume24Hr,
regularMarketDayHigh,17.29
navPrice,
averageDailyVolume10Day,219150
regularMarketPreviousClose,17.26
fiftyDayAverage,18.1178
trailingAnnualDividendRate,1.125
open,17.25
toCurrency,
averageVolume10days,219150
expireDate,
algorithm,
dividendRate,1.13
exDividendDate,1638144000
circulatingSupply,
startDate,
regularMarketDayLow,17.1
currency,USD
trailingPE,67.725494
regularMarketVolume,51777
lastMarket,
maxSupply,
openInterest,
marketCap,4850555904
volumeAllCurrencies,
strikePrice,
averageVolume,186329
dayLow,17.1
ask,17.24
askSize,1200
volume,51777
fiftyTwoWeekHigh,22.54
fromCurrency,
fiveYearAvgDividendYield,5.15
fiftyTwoWeekLow,16.77
bid,17.21
tradeable,False
dividendYield,0.0655
bidSize,800
dayHigh,17.29
regularMarketPrice,17.27
preMarketPrice,17.39
logo_url,https://logo.clearbit.com/thirdfederal.com
