,info
zip,94588
sector,Healthcare
fullTimeEmployees,4506
longBusinessSummary,"Veeva Systems Inc. provides cloud-based software for the life sciences industry in North America, Europe, the Asia Pacific, the Middle East, Africa, and Latin America. The company offers Veeva Commercial Cloud, a suite of software, data, and analytics solutions, which include Veeva customer relationship management (CRM) and Veeva Medical CRM, Veeva CLM, Veeva CRM Approved Email, Veeva CRM Engage, Veeva Align, Veeva CRM Events Management, Veeva Nitro, Veeva Andi, Veeva OpenData, Veeva Link, Veeva Network Customer Master, Veeva Crossix, Veeva Data Cloud, and MyVeeva for Doctors; and Veeva Vault, a cloud-based enterprise content and data management applications for managing commercial functions, including sales and marketing, and medical content and communications, as well as research and development functions, such as clinical, regulatory, quality, and safety. It also provides professional and support services in the areas of implementation and deployment planning and project management; requirements analysis, solution design, and configuration; systems environment management and deployment services; services focused on advancing or transforming business and operating processes related to Veeva solutions; technical consulting services related to data migration and systems integrations; training on its solutions; and ongoing managed services that include outsourced systems administration. The company was formerly known as Verticals onDemand, Inc. and changed its name to Veeva Systems Inc. in April 2009. Veeva Systems Inc. was incorporated in 2007 and is headquartered in Pleasanton, California."
city,Pleasanton
phone,925 452 6500
state,CA
country,United States
companyOfficers,[]
website,https://www.veeva.com
maxAge,1
address1,4280 Hacienda Drive
fax,925 452 6504
industry,Health Information Services
ebitdaMargins,0.29044
profitMargins,0.24586001
grossMargins,0.72665
operatingCashflow,778760000
revenueGrowth,0.261
operatingMargins,0.27503002
ebitda,511763008
targetLowPrice,250
recommendationKey,buy
grossProfits,1056141000
freeCashflow,640859136
targetMedianPrice,306.5
currentPrice,217.9
earningsGrowth,0.083
currentRatio,4.954
returnOnAssets,0.101789996
numberOfAnalystOpinions,22
targetMeanPrice,312.82
debtToEquity,2.023
returnOnEquity,0.1777
targetHighPrice,400
totalCash,2351486976
totalDebt,56040000
totalRevenue,1762039040
totalCashPerShare,15.293
financialCurrency,USD
revenuePerShare,11.54
quickRatio,4.9
recommendationMean,2.1
exchange,NYQ
shortName,Veeva Systems Inc.
longName,Veeva Systems Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,VEEV
messageBoardId,finmb_33414482
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,17.712
beta3Year,
enterpriseToEbitda,60.985
52WeekChange,-0.2565931
morningStarRiskRating,
forwardEps,3.93
revenueQuarterlyGrowth,
sharesOutstanding,139015008
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,18.021
sharesShort,2602949
sharesPercentSharesOut,0.016900001
fundFamily,
lastFiscalYearEnd,1612051200
heldPercentInstitutions,0.90879
netIncomeToCommon,433212000
trailingEps,2.66
lastDividendValue,
SandP52WeekChange,0.12185478
priceToBook,12.091449
heldPercentInsiders,0.00774
nextFiscalYearEnd,1675123200
yield,
mostRecentQuarter,1635638400
shortRatio,2.22
sharesShortPreviousMonthDate,1640908800
floatShares,138034116
beta,0.771755
enterpriseValue,31209771008
priceHint,2
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
lastDividendDate,
morningStarOverallRating,
earningsQuarterlyGrowth,0.092
priceToSalesTrailing12Months,19.015001
dateShortInterest,1643587200
pegRatio,3.75
ytdReturn,
forwardPE,55.44529
lastCapGain,
shortPercentOfFloat,0.0189
sharesShortPriorMonth,1576709
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,219.29
regularMarketOpen,219.89
twoHundredDayAverage,287.67145
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,220.97
navPrice,
averageDailyVolume10Day,714420
regularMarketPreviousClose,219.29
fiftyDayAverage,240.2482
trailingAnnualDividendRate,0
open,219.89
toCurrency,
averageVolume10days,714420
expireDate,
algorithm,
dividendRate,
exDividendDate,
circulatingSupply,
startDate,
regularMarketDayLow,215.59
currency,USD
trailingPE,81.91729
regularMarketVolume,818139
lastMarket,
maxSupply,
openInterest,
marketCap,33505175552
volumeAllCurrencies,
strikePrice,
averageVolume,1049941
dayLow,215.59
ask,217.9
askSize,1000
volume,818139
fiftyTwoWeekHigh,343.96
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,212.49
bid,212
tradeable,False
dividendYield,
bidSize,1300
dayHigh,220.97
regularMarketPrice,217.9
preMarketPrice,
logo_url,https://logo.clearbit.com/veeva.com
