,info
zip,77056
sector,Basic Materials
fullTimeEmployees,9220
longBusinessSummary,"Westlake Chemical Corporation, together with its subsidiaries, manufactures and markets basic chemicals, vinyls, polymers, and building products worldwide. It operates through two segments, Vinyls and Olefins. The Vinyls segment provides specialty and commodity polyvinyl chloride (PVC), vinyl chloride monomers, ethylene dichloride, chlorine, caustic soda, chlorinated derivative, and ethylene products. This segment also manufactures and sells PVC compounds and building products fabricated from PVC, including residential siding, trim and molding, pipe and fittings for various water, sewer and industrial applications, profiles for windows and doors, decking products, films for various inflatables, wall covering tapes, roofing applications, and composite roof tiles. The Olefins segment offers polyethylene, styrene monomers, and various ethylene co-products, as well as sells propylene, crude butadiene, pyrolysis gasoline, and hydrogen products. Westlake Chemical Corporation offers its products to a range of customers, including chemical processors, plastics fabricators, small construction contractors, municipalities, and supply warehouses in various consumer and industrial markets, such as flexible and rigid packaging, automotive products, coatings, water treatment, refrigerants, and residential and commercial construction, as well as other durable and non-durable goods. The company was founded in 1986 and is headquartered in Houston, Texas. Westlake Chemical Corporation is a subsidiary of TTWF LP."
city,Houston
phone,713 960 9111
state,TX
country,United States
companyOfficers,[]
website,https://www.westlake.com
maxAge,1
address1,2801 Post Oak Boulevard
industry,Specialty Chemicals
address2,Suite 600
ebitdaMargins,0.28068
profitMargins,0.14498
grossMargins,0.26591998
operatingCashflow,2068000000
revenueGrowth,0.61
operatingMargins,0.2076
ebitda,2872999936
targetLowPrice,89
recommendationKey,buy
grossProfits,1023000000
freeCashflow,1321624960
targetMedianPrice,125
currentPrice,107.45
earningsGrowth,9.507
currentRatio,3.39
returnOnAssets,0.08623999
numberOfAnalystOpinions,17
targetMeanPrice,120.82
debtToEquity,71.025
returnOnEquity,0.21340999
targetHighPrice,140
totalCash,3571000064
totalDebt,5589000192
totalRevenue,10236000256
totalCashPerShare,27.937
financialCurrency,USD
revenuePerShare,79.977
quickRatio,2.747
recommendationMean,2.4
exchange,NYQ
shortName,Westlake Chemical Corporation
longName,Westlake Chemical Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,WLK
messageBoardId,finmb_701143
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.623
beta3Year,
enterpriseToEbitda,5.784
52WeekChange,0.25488853
morningStarRiskRating,
forwardEps,13.96
revenueQuarterlyGrowth,
sharesOutstanding,127822000
fundInceptionDate,
annualReportExpenseRatio,
totalAssets,
bookValue,57.095
sharesShort,1175857
sharesPercentSharesOut,0.0092
fundFamily,
lastFiscalYearEnd,1609372800
heldPercentInstitutions,0.27982
netIncomeToCommon,1476999936
trailingEps,11.479
lastDividendValue,0.298
SandP52WeekChange,0.12995231
priceToBook,1.8819511
heldPercentInsiders,0.73804003
nextFiscalYearEnd,1672444800
yield,
mostRecentQuarter,1632960000
shortRatio,1.84
sharesShortPreviousMonthDate,1640908800
floatShares,33560935
beta,1.325708
enterpriseValue,16616182784
priceHint,2
threeYearAverageReturn,
lastSplitDate,1395187200
lastSplitFactor,2:1
legalType,
lastDividendDate,1637539200
morningStarOverallRating,
earningsQuarterlyGrowth,9.649
priceToSalesTrailing12Months,1.3417813
dateShortInterest,1643587200
pegRatio,0.23
ytdReturn,
forwardPE,7.696991
lastCapGain,
shortPercentOfFloat,0.0359
sharesShortPriorMonth,1266220
impliedSharesOutstanding,0
category,
fiveYearAverageReturn,
previousClose,109.74
regularMarketOpen,108.85
twoHundredDayAverage,94.8247
trailingAnnualDividendYield,0.01008748
payoutRatio,0.096599996
volume24Hr,
regularMarketDayHigh,110.515
navPrice,
averageDailyVolume10Day,609340
regularMarketPreviousClose,109.74
fiftyDayAverage,99.434
trailingAnnualDividendRate,1.107
open,108.85
toCurrency,
averageVolume10days,609340
expireDate,
algorithm,
dividendRate,1.19
exDividendDate,1637539200
circulatingSupply,
startDate,
regularMarketDayLow,105.72
currency,USD
trailingPE,9.360571
regularMarketVolume,1053781
lastMarket,
maxSupply,
openInterest,
marketCap,13734473728
volumeAllCurrencies,
strikePrice,
averageVolume,573822
dayLow,105.72
ask,107.73
askSize,1100
volume,1053781
fiftyTwoWeekHigh,110.94
fromCurrency,
fiveYearAvgDividendYield,1.31
fiftyTwoWeekLow,78.06
bid,107.67
tradeable,False
dividendYield,0.0108
bidSize,1100
dayHigh,110.515
regularMarketPrice,107.45
preMarketPrice,
logo_url,https://logo.clearbit.com/westlake.com
