Date,Firm,To Grade,From Grade,Action
2013-05-15 08:01:16,William Blair,Market Perform,,init
2013-05-20 06:13:39,Keefe Bruyette & Woods,Market Perform,Outperform,down
2013-05-28 07:03:56,Citigroup,Neutral,Buy,down
2013-06-28 09:37:40,Sandler O'Neill,Hold,Buy,down
2013-10-09 16:49:30,Jefferies,Buy,,init
2014-02-24 08:00:00,Citigroup,Buy,Hold,up
2014-04-04 06:06:38,Keefe Bruyette & Woods,Outperform,Market Perform,up
2014-04-14 08:00:00,RBC Capital,Outperform,,init
2014-04-17 11:21:13,Sidoti & Co.,Buy,,init
2014-06-10 20:27:39,Citigroup,Buy,,main
2014-07-02 06:15:19,BMO Capital,Market Perform,,init
2014-07-09 06:42:26,Citigroup,Neutral,Buy,down
2014-07-14 06:59:01,Keefe Bruyette & Woods,Market Perform,Outperform,down
2014-09-11 09:00:00,Citigroup,Neutral,,main
2014-10-08 09:00:00,Citigroup,Neutral,,main
2014-10-14 16:00:00,Bank of America,Neutral,,main
2014-10-29 09:00:00,Keefe Bruyette & Woods,Market Perform,,main
2014-10-29 11:05:27,Bank of America,Underperform,Neutral,down
2014-12-09 09:00:00,Keefe Bruyette & Woods,Market Perform,,main
2015-01-08 09:00:00,Keefe Bruyette & Woods,Market Perform,,main
2015-02-04 05:51:12,Citigroup,Sell,Neutral,down
2015-02-11 09:00:00,Jefferies,Buy,,main
2015-02-18 09:00:00,Jefferies,Buy,,main
2015-03-05 09:00:00,Keefe Bruyette & Woods,Market Perform,,main
2015-04-08 09:00:00,Keefe Bruyette & Woods,Market Perform,,main
2015-05-01 09:00:00,Keefe Bruyette & Woods,Market Perform,,main
2015-05-04 09:00:00,Citigroup,Neutral,,main
2015-05-05 09:00:00,Citigroup,Neutral,,main
2015-06-03 04:50:21,Credit Suisse,Neutral,,init
2015-06-08 06:39:26,Goldman Sachs,Buy,,init
2015-06-10 09:00:00,Citigroup,Neutral,,main
2015-07-08 08:09:51,Bank of America,Neutral,Underperform,up
2015-07-15 11:00:00,Citigroup,Neutral,,main
2015-07-21 07:37:08,Credit Suisse,Outperform,Neutral,up
2015-09-03 05:54:46,Keefe Bruyette & Woods,Market Perform,,main
2015-09-10 15:16:25,Citigroup,Neutral,,main
2015-10-07 11:00:00,Jefferies,Buy,,main
2015-10-27 06:20:21,Goldman Sachs,Neutral,,down
2015-11-25 09:50:52,Credit Suisse,Outperform,,main
2015-12-15 06:36:33,Citigroup,Sell,Neutral,down
2016-01-11 06:59:33,Goldman Sachs,Neutral,Buy,down
2016-01-11 06:59:56,Jefferies,Hold,Buy,down
2016-01-11 12:35:23,Keefe Bruyette & Woods,Market Perform,,main
2016-02-11 07:03:00,Citigroup,Neutral,Sell,up
2016-06-28 06:47:22,Bank of America,Underperform,Neutral,down
2016-07-11 21:30:37,Jefferies,Hold,,main
2016-07-25 06:23:19,RBC Capital,Sector Perform,Outperform,down
2016-07-27 14:18:57,Keefe Bruyette & Woods,Market Perform,,main
2016-10-14 14:39:22,Keefe Bruyette & Woods,Market Perform,,main
2017-01-04 14:22:11,Goldman Sachs,Sell,Neutral,down
2017-05-01 13:15:25,Keefe Bruyette & Woods,Outperform,Market Perform,up
2017-06-30 10:28:08,RBC Capital,Outperform,,init
2017-08-02 09:59:18,Keefe Bruyette & Woods,Market Perform,Outperform,down
2017-08-04 13:44:35,Sidoti & Co.,Buy,Neutral,up
2018-02-08 16:24:09,Bank of America,Underperform,Underperform,main
2018-08-02 14:40:37,Bank of America,Underperform,Underperform,main
2018-11-01 14:09:26,Citigroup,Neutral,Neutral,main
2019-04-15 11:34:40,Citigroup,Neutral,Sell,up
2019-11-06 11:51:43,Citigroup,Buy,Neutral,up
2020-03-13 12:12:20,Citigroup,Buy,,main
2020-03-23 12:15:48,B of A Securities,Underperform,,main
2020-03-26 10:27:50,B of A Securities,Buy,Underperform,up
2020-04-29 16:24:53,B of A Securities,Buy,,main
2020-04-30 10:23:37,"Keefe, Bruyette & Woods",Outperform,Market Perform,up
2020-04-30 12:22:07,B of A Securities,Buy,,reit
2020-04-30 13:32:15,Citigroup,Buy,,main
2020-07-30 12:07:02,Citigroup,Buy,,main
2020-10-19 10:06:37,"Keefe, Bruyette & Woods",Market Perform,Outperform,down
2021-02-04 11:24:13,"Keefe, Bruyette & Woods",Outperform,Market Perform,up
2021-04-27 11:17:16,Citigroup,Neutral,Buy,down
2021-07-12 15:30:15,"Keefe, Bruyette & Woods",Market Perform,Outperform,down
2021-10-26 14:53:34,Citigroup,Neutral,,main
2021-10-28 11:47:37,RBC Capital,Outperform,,main
2021-12-22 12:21:40,Evercore ISI Group,In-Line,,init
2022-01-04 10:29:01,Goldman Sachs,Neutral,Buy,down
