Date,Firm,To Grade,From Grade,Action
2018-07-23 11:31:49,Morgan Stanley,Equal-Weight,,init
2018-07-23 11:48:43,Citigroup,Buy,,init
2018-07-23 12:13:11,JP Morgan,Neutral,,init
2018-07-23 12:29:38,Jefferies,Buy,,init
2018-07-23 12:36:51,Goldman Sachs,Neutral,,init
2018-07-23 12:39:29,Deutsche Bank,Buy,,init
2018-07-23 12:51:42,Baird,Outperform,,init
2018-07-23 13:00:03,Nomura,Buy,,init
2018-07-23 13:07:22,Bank of America,Buy,,init
2018-08-29 11:45:28,Citigroup,Buy,Buy,main
2018-10-11 13:11:01,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-18 10:48:27,Oppenheimer,Perform,,init
2018-11-23 12:32:58,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-01-22 12:15:58,Wells Fargo,Outperform,Market Perform,up
2019-03-07 13:52:35,Nomura,Buy,Buy,main
2019-03-20 12:36:26,Evercore ISI Group,Outperform,,init
2019-03-21 11:35:56,Gordon Haskett,Buy,Accumulate,up
2019-04-01 12:23:34,Citigroup,Buy,Buy,main
2019-07-11 11:48:34,Goldman Sachs,Buy,,init
2019-08-23 12:12:04,Deutsche Bank,Buy,,main
2019-08-23 12:17:26,UBS,Buy,,main
2019-08-23 13:01:18,Morgan Stanley,Equal-Weight,,main
2019-11-08 11:26:20,Nomura,Buy,,init
2019-11-22 15:01:00,Deutsche Bank,Buy,,main
2020-01-09 12:10:03,Gordon Haskett,Hold,Buy,down
2020-01-23 12:43:13,B of A Securities,Neutral,Buy,down
2020-02-13 12:11:47,Credit Suisse,Outperform,,init
2020-03-06 10:50:26,JP Morgan,Overweight,Neutral,up
2020-03-06 13:49:09,Baird,Outperform,,main
2020-03-06 14:27:26,Nomura,Buy,,main
2020-03-06 14:44:06,Morgan Stanley,Equal-Weight,,main
2020-03-06 15:43:35,Credit Suisse,Outperform,,main
2020-03-17 08:52:09,Gordon Haskett,Buy,Hold,up
2020-03-19 13:58:38,Nomura,Buy,,main
2020-04-06 13:44:44,Deutsche Bank,Buy,,main
2020-04-15 12:29:00,Citigroup,Neutral,Buy,down
2020-04-30 12:38:36,Morgan Stanley,Equal-Weight,,main
2020-05-13 12:18:33,B of A Securities,Buy,,main
2020-05-14 12:31:56,Credit Suisse,Outperform,,main
2020-05-20 12:25:18,Wells Fargo,Overweight,,main
2020-05-22 11:16:56,Barclays,Equal-Weight,,main
2020-05-22 12:56:29,Deutsche Bank,Buy,,main
2020-05-22 13:19:34,Jefferies,Buy,,main
2020-05-22 13:21:28,Bank of America,Buy,,reit
2020-05-22 13:40:39,UBS,Buy,,main
2020-05-22 13:46:04,Nomura Instinet,Buy,,main
2020-05-26 11:52:10,Morgan Stanley,Equal-Weight,,main
2020-07-30 09:56:32,MKM Partners,Sell,,init
2020-08-13 10:51:12,Deutsche Bank,Hold,Buy,down
2020-08-14 12:51:19,DA Davidson,Buy,,init
2020-08-21 10:42:47,Credit Suisse,Outperform,,main
2020-08-21 11:43:51,Morgan Stanley,Equal-Weight,,main
2020-08-21 13:17:05,MKM Partners,Sell,,main
2020-08-21 13:36:10,Deutsche Bank,Hold,,main
2020-10-29 12:13:09,MKM Partners,Neutral,Sell,up
2020-12-14 11:53:42,JP Morgan,Neutral,Overweight,down
2021-01-28 13:37:11,Gordon Haskett,Neutral,Buy,down
2021-05-13 11:11:05,JP Morgan,Overweight,Neutral,up
2021-07-19 12:31:37,Argus Research,Hold,,init
2021-08-18 10:51:43,Wells Fargo,Overweight,,main
2021-09-28 11:30:26,Wells Fargo,Overweight,,main
2021-10-28 11:29:19,B of A Securities,Neutral,Buy,down
2021-11-10 18:01:51,Deutsche Bank,Hold,,main
2021-11-11 15:55:05,Gordon Haskett,Buy,Hold,up
2021-11-19 14:04:59,Citigroup,Neutral,,main
2021-11-22 13:16:33,Morgan Stanley,Equal-Weight,,main
2022-01-14 10:09:25,JP Morgan,Underweight,Overweight,down
2022-01-18 14:06:30,Morgan Stanley,Equal-Weight,,main
2022-02-04 10:58:43,Deutsche Bank,Buy,Hold,up
