Date,Firm,To Grade,From Grade,Action
2021-07-19 09:20:35,JP Morgan,Overweight,,init
2021-07-19 10:20:31,Goldman Sachs,Neutral,,init
2021-07-19 10:22:00,Piper Sandler,Overweight,,init
2021-07-19 10:35:58,SVB Leerink,Outperform,,init
2021-07-19 11:31:15,Canaccord Genuity,Buy,,init
2021-07-19 11:32:17,William Blair,Outperform,,init
2021-07-19 12:14:39,Needham,Buy,,init
2021-07-19 12:22:04,Raymond James,Outperform,,init
2021-07-19 13:06:58,Morgan Stanley,Equal-Weight,,init
2021-08-11 11:24:42,Raymond James,Outperform,,main
2021-08-26 09:39:04,JP Morgan,Neutral,Overweight,down
2021-08-31 11:38:18,Morgan Stanley,Equal-Weight,,main
2021-11-10 11:37:35,SVB Leerink,Outperform,,main
2021-11-10 11:49:17,Needham,Buy,,main
2021-11-10 14:08:27,Raymond James,Outperform,,main
2021-11-17 10:09:53,Baird,Outperform,,init
2021-12-02 09:56:20,Jefferies,Buy,,init
2021-12-14 10:15:29,JP Morgan,Underweight,Neutral,down
2021-12-17 14:08:37,Morgan Stanley,Equal-Weight,,main
2022-02-09 11:57:07,Needham,Buy,,main
2022-02-09 12:25:35,Raymond James,Outperform,,main
2022-02-11 11:30:09,Goldman Sachs,Buy,,init
