Date,Firm,To Grade,From Grade,Action
2012-10-09 12:29:00,Barclays,Equal-Weight,,main
2012-12-19 09:45:36,Barclays,Overweight,Equal-Weight,up
2013-09-03 06:23:01,Keefe Bruyette & Woods,Outperform,Market Perform,up
2013-12-05 16:00:00,Goldman Sachs,Neutral,,init
2014-07-21 07:25:36,SunTrust Robinson Humphrey,Buy,,init
2014-09-24 17:49:03,PiperJaffray,Neutral,,init
2014-10-24 09:00:00,Keefe Bruyette & Woods,Outperform,,main
2014-12-16 04:28:29,Keefe Bruyette & Woods,Market Perform,Outperform,down
2014-12-16 09:00:00,Keefe Bruyette & Woods,Market Perform,,main
2015-01-13 09:00:00,Barclays,Overweight,,main
2015-02-13 09:00:00,Barclays,Overweight,,main
2015-04-24 09:00:00,Barclays,Overweight,,main
2015-07-16 07:17:44,Janney Capital,Neutral,Buy,down
2015-09-25 12:50:48,PiperJaffray,Neutral,,main
2015-10-26 15:30:53,Keefe Bruyette & Woods,Market Perform,,main
2016-01-13 06:28:53,Goldman Sachs,Sell,Neutral,down
2016-02-12 11:48:29,Barclays,Overweight,,main
2017-10-27 16:05:57,Barclays,Overweight,,main
2018-01-08 19:08:38,Stephens & Co.,Overweight,Equal-Weight,up
2018-02-09 16:45:36,Barclays,Overweight,Overweight,main
2018-07-17 11:44:04,Keefe Bruyette & Woods,Outperform,Market Perform,up
2018-07-27 14:20:00,PiperJaffray,Neutral,Neutral,main
2019-01-24 12:38:32,Compass Point,Buy,,init
2019-04-01 10:35:57,PiperJaffray,Overweight,Neutral,up
2019-04-29 11:25:04,Compass Point,Neutral,Buy,down
2019-06-19 11:29:53,Susquehanna,Positive,,init
2019-12-09 11:09:47,"Keefe, Bruyette & Woods",Market Perform,Outperform,down
2020-02-14 11:28:24,Stephens & Co.,Overweight,,main
2020-03-05 10:56:56,Compass Point,Buy,Neutral,up
2020-04-07 20:10:10,SunTrust Robinson Humphrey,Buy,,main
2020-04-08 09:46:17,"Keefe, Bruyette & Woods",Outperform,Market Perform,up
2020-05-01 17:09:24,SunTrust Robinson Humphrey,Buy,,main
2020-07-24 11:20:09,Barclays,Overweight,,main
2020-10-09 11:52:43,Barclays,Overweight,,main
2021-05-03 11:23:50,Credit Suisse,Outperform,,init
2021-07-09 11:27:16,Barclays,Overweight,,main
2021-07-23 14:51:04,Barclays,Overweight,,main
2022-02-02 10:07:13,BTIG,Buy,,init
2022-02-11 12:04:13,Barclays,Overweight,,main
