Date,Firm,To Grade,From Grade,Action
2022-01-10 15:16:28,Cowen & Co.,Outperform,,init
2022-01-10 15:16:31,Keybanc,Sector Weight,,init
2022-01-10 15:16:33,Goldman Sachs,Neutral,,init
2022-01-10 15:16:35,JP Morgan,Neutral,,init
2022-01-10 15:16:37,William Blair,Outperform,,init
2022-01-10 15:16:40,B of A Securities,Buy,,init
2022-01-10 15:16:44,JMP Securities,Market Outperform,,init
2022-01-10 15:16:46,Morgan Stanley,Equal-Weight,,init
2022-01-10 15:16:48,Stifel,Buy,,init
2022-01-10 15:16:51,Wolfe Research,Outperform,,init
2022-01-10 15:16:53,Citigroup,Neutral,,init
