Date,Firm,To Grade,From Grade,Action
2012-05-11 06:13:00,Compass Point,Buy,,main
2012-10-02 07:42:00,Compass Point,Buy,,main
2013-04-04 06:30:21,Compass Point,Buy,,main
2013-05-06 08:22:16,JMP Securities,Market Outperform,,init
2013-05-13 06:46:21,Compass Point,Buy,,main
2013-11-21 08:17:56,Compass Point,Buy,,main
2014-03-11 06:26:28,Compass Point,Buy,,main
2014-04-08 08:17:19,JMP Securities,Market Outperform,,main
2014-04-21 07:57:25,Compass Point,Buy,,main
2014-05-16 20:16:37,JMP Securities,Market Outperform,,main
2015-08-14 15:21:05,JMP Securities,Market Outperform,,main
2016-05-13 07:08:25,Citigroup,Buy,,init
2016-08-10 08:55:27,Citigroup,Buy,,main
2018-07-02 13:44:13,Jefferies,Buy,,init
2018-08-13 12:56:02,Citigroup,Buy,Buy,main
2018-11-13 13:14:46,Citigroup,Buy,Buy,main
2020-04-13 12:32:55,Piper Sandler,Neutral,,main
2020-08-11 10:16:24,Piper Sandler,Overweight,Neutral,up
2020-08-24 14:14:46,Jefferies,Buy,,main
2021-02-16 14:03:23,BWS Financial,Buy,,main
2021-03-01 16:21:12,Piper Sandler,Overweight,,main
2022-01-31 11:26:06,JP Morgan,Overweight,,init
