Date,Firm,To Grade,From Grade,Action
2012-03-13 13:45:00,Bank of America,Underperform,,main
2012-05-08 11:36:00,Brean Capital,Buy,,up
2013-01-25 06:55:00,Citigroup,Neutral,,main
2013-03-11 10:06:24,UBS,Neutral,,main
2013-05-13 07:54:48,Brean Capital,Hold,Buy,down
2013-08-12 08:28:22,Brean Capital,Buy,Hold,up
2014-01-03 16:00:00,Bank of America,Neutral,Underperform,up
2014-03-25 21:12:14,Barclays,Underweight,,main
2014-04-02 07:09:26,Jefferies,Hold,,init
2014-05-09 06:33:15,Brean Capital,Hold,Buy,down
2014-08-11 06:23:32,Brean Capital,Buy,Hold,up
2015-01-26 09:00:00,Citigroup,Neutral,,main
2015-06-17 06:12:07,Jefferies,Buy,Hold,up
2015-10-08 06:08:15,Jefferies,Hold,Buy,down
2016-03-30 07:38:56,BB&T Capital,Hold,,init
2016-07-25 06:08:25,Jefferies,Underperform,Hold,down
2016-07-27 12:22:42,Citigroup,Neutral,,main
2016-10-13 11:07:53,Jefferies,Hold,Underperform,up
2016-12-20 10:59:58,UBS,Neutral,,init
2017-03-06 16:02:37,Bank of America,Buy,Neutral,down
2017-07-12 12:04:25,Jefferies,Hold,Underperform,up
2017-11-08 15:27:58,UBS,Neutral,,main
2017-11-20 13:48:06,Citigroup,Neutral,,main
2017-12-19 15:25:30,UBS,Buy,Neutral,up
2018-03-02 13:35:48,UBS,Buy,Buy,main
2018-03-27 12:57:50,Citigroup,Neutral,Neutral,main
2018-03-28 12:35:18,Citigroup,Neutral,Neutral,main
2018-05-05 13:32:15,Argus,Hold,Buy,down
2018-05-05 13:32:15,Argus,Buy,Hold,up
2018-06-05 14:10:26,Bank of America,Neutral,Neutral,main
2018-07-30 12:58:45,Bank of America,Underperform,Neutral,down
2018-10-03 11:12:21,Citigroup,Neutral,Neutral,main
2019-01-15 13:24:54,Wells Fargo,Market Perform,,init
2019-03-01 14:50:44,Wells Fargo,Market Perform,Market Perform,main
2019-03-29 11:09:46,UBS,Neutral,Buy,down
2019-07-17 11:24:17,JP Morgan,Overweight,,init
2020-01-31 12:56:24,UBS,Neutral,,main
2020-03-02 12:50:34,Wells Fargo,Equal-Weight,,main
2020-03-18 09:21:23,Jefferies,Buy,Hold,up
2020-04-01 10:30:53,UBS,Buy,Neutral,up
2020-04-14 09:52:43,Wells Fargo,Underweight,Equal-Weight,down
2020-04-23 13:34:19,JP Morgan,Overweight,,main
2020-04-24 09:02:06,Jefferies,Hold,Buy,down
2020-04-28 12:46:09,Citigroup,Neutral,,main
2020-05-11 15:08:36,Wells Fargo,Underweight,,main
2020-07-24 13:25:07,Jefferies,Hold,,main
2020-08-19 10:25:50,Wells Fargo,Equal-Weight,Underweight,up
2020-09-23 13:32:46,B of A Securities,Neutral,,main
2021-01-29 14:07:13,JP Morgan,Neutral,Overweight,down
2021-06-30 11:21:59,Wells Fargo,Equal-Weight,,main
