Date,Firm,To Grade,From Grade,Action
2019-03-22 14:33:11,Jefferies,Buy,,main
2019-03-29 10:39:49,Morgan Stanley,Equal-Weight,Overweight,down
2019-04-11 10:08:39,Cowen & Co.,Outperform,,init
2019-05-03 10:59:59,Goldman Sachs,Neutral,Buy,down
2019-08-02 16:41:21,Raymond James,Outperform,,main
2019-11-01 12:08:31,Citigroup,Neutral,Buy,down
2019-11-01 12:10:52,Raymond James,Outperform,,main
2019-11-04 10:05:44,KeyBanc,Overweight,,main
2019-12-05 11:34:02,Goldman Sachs,Buy,Neutral,up
2019-12-17 13:27:39,Roth Capital,Buy,,init
2020-02-14 11:58:01,Citigroup,Neutral,,main
2020-03-03 10:21:07,Citigroup,Buy,Neutral,up
2020-04-17 09:34:46,Stifel,Hold,Buy,down
2020-04-22 13:09:39,Morgan Stanley,Equal-Weight,,main
2020-04-29 09:43:55,BTIG,Buy,,init
2020-05-08 12:32:31,Citigroup,Buy,,main
2020-05-08 13:10:56,Raymond James,Outperform,,main
2020-05-08 13:11:50,Morgan Stanley,Equal-Weight,,main
2020-05-11 10:06:14,KeyBanc,Overweight,,main
2020-06-05 08:47:23,KeyBanc,Overweight,,main
2020-06-16 11:49:42,Raymond James,Outperform,,main
2020-06-23 11:48:55,Piper Sandler,Overweight,,main
2020-07-07 11:52:34,Goldman Sachs,Neutral,Buy,down
2020-07-24 15:22:07,Stifel,Hold,,main
2020-08-07 08:48:36,KeyBanc,Overweight,,main
2020-08-07 13:03:20,Raymond James,Outperform,,main
2020-08-10 13:40:51,Morgan Stanley,Equal-Weight,,main
2020-08-17 11:36:51,Berenberg,Hold,Buy,down
2020-09-11 08:41:46,KeyBanc,Overweight,,main
2020-11-06 09:05:27,KeyBanc,Overweight,,main
2020-11-06 14:48:55,Raymond James,Outperform,,main
2020-11-09 14:15:18,Morgan Stanley,Equal-Weight,,main
2021-01-04 14:14:14,Raymond James,Outperform,,main
2021-01-15 12:15:30,Citigroup,Neutral,Buy,down
2021-02-04 14:18:04,Morgan Stanley,Equal-Weight,,main
2021-02-09 15:53:09,Piper Sandler,Overweight,,main
2021-02-12 12:40:39,Raymond James,Outperform,,main
2021-02-12 13:59:40,Morgan Stanley,Equal-Weight,,main
2021-02-12 14:19:19,Piper Sandler,Overweight,,main
2021-02-12 14:53:01,Citigroup,Buy,Neutral,up
2021-04-06 11:01:12,Credit Suisse,Outperform,,init
2021-04-22 12:48:15,Citigroup,Buy,,main
2021-05-04 14:04:16,Jefferies,Buy,,main
2021-05-14 10:15:13,Keybanc,Overweight,,main
2021-05-14 11:41:15,Raymond James,Outperform,,main
2021-05-14 12:38:02,Citigroup,Buy,,main
2021-05-14 13:49:54,B of A Securities,Buy,,main
2021-05-14 13:53:44,Credit Suisse,Outperform,,main
2021-05-14 14:51:48,Roth Capital,Neutral,,main
2021-06-24 09:11:07,UBS,Neutral,,init
2021-07-14 09:34:46,Goldman Sachs,Buy,,init
2021-08-02 12:04:57,Baird,Outperform,,main
2021-08-03 10:52:24,Piper Sandler,Overweight,,main
2021-08-06 12:57:11,Roth Capital,Neutral,,main
2021-08-06 13:52:07,Credit Suisse,Outperform,,main
2021-08-06 16:25:46,Raymond James,Outperform,,main
2021-08-09 08:50:50,Keybanc,Overweight,,main
2021-10-13 14:09:57,Piper Sandler,Overweight,,main
2021-11-12 12:53:53,BTIG,Buy,,main
2021-11-12 13:59:59,UBS,Neutral,,main
2022-02-18 12:27:18,Raymond James,Outperform,,main
2022-02-18 13:05:35,Jefferies,Buy,,main
2022-02-18 14:46:56,Baird,Outperform,,main
