2022-2,Value
palmOil,False
controversialWeapons,False
gambling,False
socialScore,10.27
nuclear,False
furLeather,False
alcoholic,False
gmo,False
catholic,False
socialPercentile,
peerCount,89
governanceScore,11.63
environmentPercentile,
animalTesting,False
tobacco,False
totalEsg,22.61
highestControversy,1
esgPerformance,AVG_PERF
coal,False
pesticides,False
adult,False
percentile,33.09
peerGroup,Diversified Financials
smallArms,False
environmentScore,0.71
governancePercentile,
militaryContract,False
